Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.0,36.201453,[145  35] ; [34 45],[124.4015444  55.5984556] ; [54.5984556 24.4015444],1
r3,1,0.0,26.537214,[163  15] ; [52 27],[148.91050584  29.08949416] ; [66.08949416 12.91050584],1
n5,1,4e-06,21.483103,[128  51] ; [32 46],[111.43968872  67.56031128] ; [48.56031128 29.43968872],1
v4,1,5e-06,20.71357,[162  17] ; [52 25],[149.6328125  29.3671875] ; [64.3671875 12.6328125],1
p10,1,7e-06,20.233652,[131  46] ; [35 43],[115.22352941  61.77647059] ; [50.77647059 27.22352941],1
p2,1,1.9e-05,18.307279,[131  48] ; [36 43],[115.86434109  63.13565891] ; [51.13565891 27.86434109],1
p9,1,8e-05,15.568956,[129  45] ; [38 40],[115.30952381  58.69047619] ; [51.69047619 26.30952381],1
v2,1,0.000825,11.18449,[90 85] ; [21 53],[78.01204819 96.98795181] ; [32.98795181 41.01204819],1
p8,1,0.00129,10.356555,[ 74 105] ; [16 62],[ 62.6848249 116.3151751] ; [27.3151751 50.6848249],0
r4,1,0.001751,9.793308,[141  39] ; [47 32],[130.65637066  49.34362934] ; [57.34362934 21.65637066],0
d1,1,0.001854,9.688636,[97 83] ; [26 53],[85.48262548 94.51737452] ; [37.51737452 41.48262548],0
n4,1,0.002793,8.937835,[128  52] ; [41 38],[117.45173745  62.54826255] ; [51.54826255 27.45173745],0
p7,1,0.006454,7.418881,[85 93] ; [23 55],[ 75.09375 102.90625] ; [32.90625 45.09375],0
p4,1,0.010179,6.603335,[ 71 108] ; [18 60],[ 61.98832685 117.01167315] ; [27.01167315 50.98832685],0
b1,1,0.010281,6.585614,[ 65 115] ; [42 37],[ 74.36293436 105.63706564] ; [32.63706564 46.36293436],0
a1,1,0.012635,6.219483,[  5 175] ; [ 8 71],[  9.03474903 170.96525097] ; [ 3.96525097 75.03474903],0
s8,1,0.01534,5.876981,[ 32 148] ; [ 5 74],[ 25.71428571 154.28571429] ; [11.28571429 67.71428571],0
s1,1,0.015411,5.868829,[  3 177] ; [ 6 72],[  6.27906977 173.72093023] ; [ 2.72093023 75.27906977],0
s5,1,0.056564,3.635384,[ 23 152] ; [ 4 74],[ 18.67588933 156.32411067] ; [ 8.32411067 69.67588933],0
p3,1,0.057816,3.598965,[ 62 117] ; [18 61],[ 55.50387597 123.49612403] ; [24.49612403 54.50387597],0
n2,1,0.091219,2.85273,[34 14] ; [15 14],[30.54545455 17.45454545] ; [18.45454545 10.54545455],0
r2,1,0.093355,2.815541,[156  20] ; [63 15],[151.7480315  24.2519685] ; [67.2519685 10.7480315],0
d4,1,0.099846,2.708005,[139  40] ; [53 25],[133.72762646  45.27237354] ; [58.27237354 19.72762646],0
v1,1,0.109252,2.565008,[ 70 105] ; [23 55],[ 64.32806324 110.67193676] ; [28.67193676 49.32806324],0
p5,1,0.113686,2.502214,[ 10 167] ; [ 1 77],[  7.63529412 169.36470588] ; [ 3.36470588 74.63529412],0
s3,1,0.139446,2.184057,[ 42 136] ; [25 52],[ 46.76862745 131.23137255] ; [20.23137255 56.76862745],0
d5,1,0.185833,1.750345,[133  47] ; [52 27],[128.57142857  51.42857143] ; [56.42857143 22.57142857],0
d2,1,0.213339,1.54862,[82 95] ; [30 49],[77.4375 99.5625] ; [34.5625 44.4375],0
s7,1,0.220575,1.500626,[ 31 141] ; [ 8 61],[ 27.8340249 144.1659751] ; [11.1659751 57.8340249],0
u1,1,0.234323,1.414425,[ 17 163] ; [ 4 75],[ 14.59459459 165.40540541] ; [ 6.40540541 72.59459459],0
n3,1,0.253175,1.3057,[33 15] ; [15 12],[30.72 17.28] ; [17.28  9.72],0
d3,1,0.266691,1.233687,[109  71] ; [42 37],[104.94208494  75.05791506] ; [46.05791506 32.94208494],0
v3,1,0.275087,1.191203,[ 54 119] ; [18 56],[ 50.4291498 122.5708502] ; [21.5708502 52.4291498],0
b2,1,0.288218,1.127925,[39 68] ; [13 34],[36.12987013 70.87012987] ; [15.87012987 31.12987013],0
b3,1,0.288218,1.127925,[39 68] ; [13 34],[36.12987013 70.87012987] ; [15.87012987 31.12987013],0
b5,1,0.357798,0.845609,[100  80] ; [39 40],[96.6023166 83.3976834] ; [42.3976834 36.6023166],0
a3,1,0.362444,0.829407,[111  68] ; [53 25],[114.22568093  64.77431907] ; [49.77431907 28.22568093],0
a8,1,0.376196,0.783096,[ 19 144] ; [ 6 70],[ 17.05020921 145.94979079] ; [ 7.94979079 68.05020921],0
a5,1,0.387089,0.748066,[115  65] ; [46 33],[111.89189189  68.10810811] ; [49.10810811 29.89189189],0
a2,1,0.474373,0.511771,[ 29 151] ; [10 69],[ 27.1042471 152.8957529] ; [11.8957529 67.1042471],0
n1,1,0.476283,0.507363,[15 33] ; [11 17],[16.42105263 31.57894737] ; [ 9.57894737 18.42105263],0
u3,1,0.48551,0.486461,[29 40] ; [13 13],[30.50526316 38.49473684] ; [11.49473684 14.50526316],0
a6,1,0.571012,0.320993,[116  64] ; [48 31],[113.97683398  66.02316602] ; [50.02316602 28.97683398],0
a7,1,0.592558,0.286367,[115  64] ; [48 31],[113.08914729  65.91085271] ; [49.91085271 29.08914729],0
a4,1,0.625349,0.238421,[ 69 110] ; [33 46],[ 70.76744186 108.23255814] ; [31.23255814 47.76744186],0
s4,1,0.680557,0.1695,[ 14 166] ; [ 5 74],[ 13.2046332 166.7953668] ; [ 5.7953668 73.2046332],0
r1,1,0.712354,0.135937,[122  57] ; [52 27],[120.72093023  58.27906977] ; [53.27906977 25.72093023],0
u2,1,0.759087,0.094052,[29 39] ; [12 14],[29.65957447 38.34042553] ; [11.34042553 14.65957447],0
s2,1,0.770143,0.085373,[ 30 148] ; [12 66],[ 29.203125 148.796875] ; [12.796875 65.203125],0
p1,1,0.775296,0.081484,[ 12 167] ; [ 6 72],[ 12.53696498 166.46303502] ; [ 5.46303502 72.53696498],0
b4,1,0.898832,0.016164,[101  79] ; [45 34],[101.46718147  78.53281853] ; [44.53281853 34.46718147],0
