Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,6.8e-05,15.856624,[ 3 85] ; [11 30],[ 9.5503876 78.4496124] ; [ 4.4496124 36.5503876],1
p7,1,0.000101,15.122316,[43 44] ; [35  6],[53.015625 33.984375] ; [24.984375 16.015625],1
p4,1,0.000336,12.85932,[39 49] ; [32  9],[48.43410853 39.56589147] ; [22.56589147 18.43410853],1
p12,1,0.002123,9.440216,[ 2 86] ; [ 7 34],[ 6.13953488 81.86046512] ; [ 2.86046512 38.13953488],0
s5,1,0.004672,8.002218,[15 71] ; [16 23],[21.328 64.672] ; [ 9.672 29.328],0
p1,1,0.008119,7.007076,[ 8 80] ; [11 30],[12.96124031 75.03875969] ; [ 6.03875969 34.96124031],0
s7,1,0.009189,6.785631,[33 49] ; [25 13],[39.63333333 42.36666667] ; [18.36666667 19.63333333],0
p3,1,0.020409,5.376601,[34 53] ; [25 16],[40.1015625 46.8984375] ; [18.8984375 22.1015625],0
a4,1,0.045662,3.994033,[16 72] ; [14 27],[20.46511628 67.53488372] ; [ 9.53488372 31.46511628],0
b2,1,0.064838,3.409091,[10 40] ; [10 15],[13.33333333 36.66666667] ; [ 6.66666667 18.33333333],0
b3,1,0.064838,3.409091,[10 40] ; [10 15],[13.33333333 36.66666667] ; [ 6.66666667 18.33333333],0
u2,1,0.081607,3.032609,[20 26] ; [11  5],[23. 23.] ; [8. 8.],0
v3,1,0.098629,2.727577,[25 61] ; [18 23],[29.11811024 56.88188976] ; [13.88188976 27.11811024],0
p8,1,0.109274,2.564686,[42 45] ; [26 15],[46.21875 40.78125] ; [21.78125 19.21875],0
v2,1,0.123946,2.36674,[35 47] ; [23 17],[38.98360656 43.01639344] ; [19.01639344 20.98360656],0
s2,1,0.134382,2.241133,[32 54] ; [21 20],[35.88976378 50.11023622] ; [17.11023622 23.88976378],0
n5,1,0.138559,2.193885,[67 21] ; [35  5],[70.125 17.875] ; [31.875  8.125],0
a3,1,0.160811,1.966584,[42 46] ; [25 16],[45.70542636 42.29457364] ; [21.29457364 19.70542636],0
a6,1,0.163845,1.93838,[51 37] ; [29 12],[54.57364341 33.42635659] ; [25.42635659 15.57364341],0
b4,1,0.166436,1.914758,[40 48] ; [24 17],[43.65891473 44.34108527] ; [20.34108527 20.65891473],0
u1,1,0.166943,1.91018,[ 2 86] ; [ 3 38],[ 3.41085271 84.58914729] ; [ 1.58914729 39.41085271],0
n2,1,0.166994,1.909722,[21  3] ; [6 3],[19.63636364  4.36363636] ; [7.36363636 1.63636364],0
n3,1,0.166994,1.909722,[21  3] ; [6 3],[19.63636364  4.36363636] ; [7.36363636 1.63636364],0
a5,1,0.183257,1.771012,[47 41] ; [27 14],[50.48062016 37.51937984] ; [23.51937984 17.48062016],0
a8,1,0.242908,1.363636,[ 5 75] ; [ 5 35],[ 6.66666667 73.33333333] ; [ 3.33333333 36.66666667],0
n4,1,0.248597,1.33117,[60 28] ; [32  9],[62.75968992 25.24031008] ; [29.24031008 11.75968992],0
b1,1,0.280466,1.164832,[32 56] ; [19 22],[34.79069767 53.20930233] ; [16.20930233 24.79069767],0
d5,1,0.305317,1.050825,[46 42] ; [17 23],[43.3125 44.6875] ; [19.6875 20.3125],0
r4,1,0.312789,1.018864,[75 13] ; [32  9],[72.99224806 15.00775194] ; [34.00775194  6.99224806],0
d1,1,0.326388,0.963175,[ 3 85] ; [ 3 38],[ 4.09302326 83.90697674] ; [ 1.90697674 39.09302326],0
r2,1,0.395745,0.721218,[79  8] ; [39  2],[80.203125  6.796875] ; [37.796875  3.203125],0
p9,1,0.395745,0.721218,[79  8] ; [39  2],[80.203125  6.796875] ; [37.796875  3.203125],0
