Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.2e-05,19.222104,[59 20] ; [ 2 12],[51.8172043 27.1827957] ; [9.1827957 4.8172043],1
v4,1,3e-05,17.429665,[78  1] ; [10  4],[74.75268817  4.24731183] ; [13.24731183  0.75268817],1
r4,1,0.00035,12.782195,[75  4] ; [9 5],[71.35483871  7.64516129] ; [12.64516129  1.35483871],1
a5,1,0.000722,11.43063,[72  7] ; [8 6],[67.95698925 11.04301075] ; [12.04301075  1.95698925],1
p9,1,0.003318,8.623694,[72  7] ; [8 5],[68.69565217 10.30434783] ; [11.30434783  1.69565217],0
p11,1,0.003719,8.415974,[59 20] ; [5 9],[54.3655914 24.6344086] ; [9.6344086 4.3655914],0
r1,1,0.015735,5.83226,[67 12] ; [8 6],[63.70967742 15.29032258] ; [11.29032258  2.70967742],0
n4,1,0.016729,5.724555,[59 20] ; [6 8],[55.21505376 23.78494624] ; [9.78494624 4.21505376],0
p2,1,0.023936,5.099272,[66 13] ; [8 6],[62.86021505 16.13978495] ; [11.13978495  2.86021505],0
b1,1,0.02553,4.98759,[26 53] ; [9 5],[29.7311828 49.2688172] ; [5.2688172 8.7311828],0
a6,1,0.030686,4.670421,[57 22] ; [6 8],[53.51612903 25.48387097] ; [9.48387097 4.51612903],0
p4,1,0.046154,3.975973,[60 19] ; [7 7],[56.91397849 22.08602151] ; [10.08602151  3.91397849],0
n1,1,0.049535,3.857143,[ 5 16] ; [4 2],[ 7. 14.] ; [2. 4.],0
a7,1,0.078329,3.099245,[58 21] ; [7 7],[55.21505376 23.78494624] ; [9.78494624 4.21505376],0
b5,1,0.082717,3.010693,[53 26] ; [6 8],[50.11827957 28.88172043] ; [8.88172043 5.11827957],0
b3,1,0.107847,2.585491,[12 31] ; [5 4],[14.05769231 28.94230769] ; [2.94230769 6.05769231],0
b2,1,0.107847,2.585491,[12 31] ; [5 4],[14.05769231 28.94230769] ; [2.94230769 6.05769231],0
r2,1,0.144427,2.13015,[77  1] ; [12  1],[76.28571429  1.71428571] ; [12.71428571  0.28571429],0
a2,1,0.161448,1.960608,[26 53] ; [ 2 12],[23.78494624 55.21505376] ; [4.21505376 9.78494624],0
p8,1,0.17993,1.798202,[45 32] ; [5 8],[42.77777778 34.22222222] ; [7.22222222 5.77777778],0
p10,1,0.182339,1.778455,[71  8] ; [10  3],[69.55434783  9.44565217] ; [11.44565217  1.55434783],0
u1,1,0.216203,1.529395,[24 55] ; [ 2 12],[22.08602151 56.91397849] ; [ 3.91397849 10.08602151],0
v1,1,0.264285,1.246173,[41 38] ; [5 9],[39.07526882 39.92473118] ; [6.92473118 7.07526882],0
r3,1,0.306144,1.047237,[73  5] ; [12  2],[72.06521739  5.93478261] ; [12.93478261  1.06521739],0
s3,1,0.325678,0.966006,[58 21] ; [12  2],[59.46236559 19.53763441] ; [10.53763441  3.46236559],0
p7,1,0.392126,0.73234,[53 24] ; [8 6],[51.61538462 25.38461538] ; [9.38461538 4.61538462],0
d3,1,0.410571,0.677146,[73  6] ; [12  2],[72.20430108  6.79569892] ; [12.79569892  1.20430108],0
n2,1,0.455924,0.555882,[14  7] ; [3 3],[13.22222222  7.77777778] ; [3.77777778 2.22222222],0
s6,1,0.473509,0.513776,[71  7] ; [11  2],[70.28571429  7.71428571] ; [11.71428571  1.28571429],0
d2,1,0.55482,0.348753,[56 23] ; [11  3],[56.91397849 22.08602151] ; [10.08602151  3.91397849],0
p5,1,0.555884,0.346881,[10 69] ; [ 1 13],[ 9.34408602 69.65591398] ; [ 1.65591398 12.34408602],0
s5,1,0.562927,0.334661,[43 30] ; [6 6],[42.08235294 30.91764706] ; [6.91764706 5.08235294],0
v2,1,0.63581,0.224264,[41 36] ; [6 7],[40.21111111 36.78888889] ; [6.78888889 6.21111111],0
s2,1,0.63866,0.220499,[61 18] ; [10  4],[60.31182796 18.68817204] ; [10.68817204  3.31182796],0
n3,1,0.638729,0.220408,[16  5] ; [4 2],[15.55555556  5.44444444] ; [4.44444444 1.55555556],0
p1,1,0.643363,0.214371,[ 8 71] ; [ 2 12],[ 8.49462366 70.50537634] ; [ 1.50537634 12.49462366],0
s8,1,0.661642,0.191536,[50 29] ; [8 6],[49.2688172 29.7311828] ; [8.7311828 5.2688172],0
p3,1,0.670853,0.180606,[46 33] ; [9 5],[46.72043011 32.27956989] ; [8.27956989 5.72043011],0
a3,1,0.740824,0.109404,[65 14] ; [11  3],[64.55913978 14.44086022] ; [11.44086022  2.55913978],0
v3,1,0.786468,0.073387,[27 51] ; [4 9],[26.57142857 51.42857143] ; [4.42857143 8.57142857],0
p6,1,0.81963,0.051994,[42 36] ; [8 6],[42.39130435 35.60869565] ; [7.60869565 6.39130435],0
s7,1,0.865011,0.0289,[51 26] ; [7 4],[50.75 26.25] ; [7.25 3.75],0
b4,1,0.86901,0.027197,[47 32] ; [8 6],[46.72043011 32.27956989] ; [8.27956989 5.72043011],0
s1,1,0.909057,0.013048,[ 5 74] ; [ 1 13],[ 5.09677419 73.90322581] ; [ 0.90322581 13.09677419],0
a4,1,0.919961,0.010097,[44 35] ; [8 6],[44.17204301 34.82795699] ; [7.82795699 6.17204301],0
