Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000104,15.069285,[22 31] ; [ 39 189],[11.50533808 41.49466192] ; [ 49.49466192 178.50533808],1
s2,1,0.000642,11.651061,[25 26] ; [ 61 182],[14.91836735 36.08163265] ; [ 71.08163265 171.91836735],1
s5,1,0.001842,9.701053,[18 30] ; [ 42 198],[10. 38.] ; [ 50. 190.],0
s6,1,0.002732,8.978326,[32 17] ; [101 140],[22.47241379 26.52758621] ; [110.52758621 130.47241379],0
d3,1,0.006351,7.447963,[30 22] ; [ 90 152],[21.2244898 30.7755102] ; [ 98.7755102 143.2244898],0
s3,1,0.012326,6.263328,[29 23] ; [ 88 150],[20.97931034 31.02068966] ; [ 96.02068966 141.97931034],0
n4,1,0.036884,4.355782,[28 25] ; [165  78],[34.55743243 18.44256757] ; [158.44256757  84.55743243],0
b3,1,0.093025,2.821223,[ 4 23] ; [40 90],[ 7.56687898 19.43312102] ; [36.43312102 93.56687898],0
b2,1,0.093025,2.821223,[ 4 23] ; [40 90],[ 7.56687898 19.43312102] ; [36.43312102 93.56687898],0
a8,1,0.095338,2.781843,[ 2 47] ; [ 28 201],[ 5.28776978 43.71223022] ; [ 24.71223022 204.28776978],0
b1,1,0.141654,2.159895,[17 36] ; [105 139],[21.77104377 31.22895623] ; [100.22895623 143.77104377],0
p1,1,0.289921,1.119988,[ 2 51] ; [ 19 221],[ 3.79863481 49.20136519] ; [ 17.20136519 222.79863481],0
s1,1,0.294938,1.096944,[ 1 50] ; [ 13 227],[ 2.45360825 48.54639175] ; [ 11.54639175 228.45360825],0
n6,1,0.317392,0.999662,[40 12] ; [168  72],[37.04109589 14.95890411] ; [170.95890411  69.04109589],0
p5,1,0.327157,0.960117,[ 2 51] ; [ 18 221],[ 3.63013699 49.36986301] ; [ 16.36986301 222.63013699],0
a2,1,0.328228,0.955875,[ 1 52] ; [ 12 232],[ 2.31986532 50.68013468] ; [ 10.68013468 233.31986532],0
v2,1,0.399074,0.711114,[18 34] ; [ 95 137],[20.69014085 31.30985915] ; [ 92.30985915 139.69014085],0
p2,1,0.409047,0.68157,[41 12] ; [173  68],[38.57823129 14.42176871] ; [175.42176871  65.57823129],0
a5,1,0.416609,0.659861,[24 29] ; [125 118],[26.67905405 26.32094595] ; [122.32094595 120.67905405],0
v4,1,0.464971,0.533903,[47  5] ; [208  32],[45.4109589  6.5890411] ; [209.5890411  30.4109589],0
n2,1,0.485636,0.48618,[14  3] ; [49 17],[12.90361446  4.09638554] ; [50.09638554 15.90361446],0
n1,1,0.49038,0.475693,[ 5 12] ; [25 40],[ 6.2195122 10.7804878] ; [23.7804878 41.2195122],0
a1,1,0.500094,0.454737,[ 2 51] ; [ 15 229],[ 3.03367003 49.96632997] ; [ 13.96632997 230.03367003],0
v3,1,0.501539,0.451679,[12 39] ; [ 67 171],[13.94117647 37.05882353] ; [ 65.05882353 172.94117647],0
u3,1,0.519094,0.415692,[15 14] ; [55 67],[13.44370861 15.55629139] ; [56.55629139 65.44370861],0
r2,1,0.543497,0.369098,[44  9] ; [207  33],[45.40273038  7.59726962] ; [205.59726962  34.40273038],0
a3,1,0.57082,0.321313,[24 29] ; [119 121],[25.8668942 27.1331058] ; [117.1331058 122.8668942],0
v1,1,0.612048,0.257204,[19 33] ; [ 96 142],[20.62068966 31.37931034] ; [ 94.37931034 143.62068966],0
n3,1,0.628743,0.233769,[11  6] ; [46 19],[11.81707317  5.18292683] ; [45.18292683 19.81707317],0
d2,1,0.659463,0.194177,[ 6 47] ; [ 33 210],[ 6.98310811 46.01689189] ; [ 32.01689189 210.98310811],0
p10,1,0.676636,0.173938,[35 17] ; [151  84],[33.70034843 18.29965157] ; [152.29965157  82.70034843],0
p8,1,0.677147,0.173356,[20 32] ; [ 99 139],[21.33793103 30.66206897] ; [ 97.66206897 140.33793103],0
p9,1,0.678445,0.171882,[37 14] ; [165  72],[35.77083333 15.22916667] ; [166.22916667  70.77083333],0
r1,1,0.68246,0.16737,[32 21] ; [154  89],[33.30405405 19.69594595] ; [152.69594595  90.30405405],0
a4,1,0.688632,0.16057,[13 40] ; [ 53 188],[11.89795918 41.10204082] ; [ 54.10204082 186.89795918],0
p4,1,0.742235,0.108172,[21 32] ; [101 139],[22.06825939 30.93174061] ; [ 99.93174061 140.06825939],0
b4,1,0.755104,0.097292,[31 22] ; [137 107],[29.97979798 23.02020202] ; [138.02020202 105.97979798],0
d5,1,0.772426,0.083638,[28 24] ; [126 118],[27.05405405 24.94594595] ; [126.94594595 117.05405405],0
n5,1,0.785016,0.074413,[36 17] ; [157  81],[35.15120275 17.84879725] ; [157.84879725  80.15120275],0
a6,1,0.825211,0.048774,[29 24] ; [137 106],[29.72297297 23.27702703] ; [136.27702703 106.72297297],0
p12,1,0.89166,0.018551,[ 2 51] ; [ 10 229],[ 2.17808219 50.82191781] ; [  9.82191781 229.17808219],0
