Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,55.06472,[124  40] ; [ 96 154],[87.14975845 76.85024155] ; [132.85024155 117.14975845],1
v1,1,2e-06,22.852801,[103  61] ; [ 97 153],[79.22705314 84.77294686] ; [120.77294686 129.22705314],1
s8,1,6e-06,20.413719,[83 82] ; [ 74 185],[ 61.09669811 103.90330189] ; [ 95.90330189 163.09669811],1
s2,1,0.000171,14.124382,[92 72] ; [ 97 162],[73.27659574 90.72340426] ; [115.72340426 143.27659574],1
r1,1,0.00053,12.00631,[144  22] ; [187  71],[129.58962264  36.41037736] ; [201.41037736  56.58962264],1
p3,1,0.0009,11.023216,[86 80] ; [ 92 167],[69.52470588 96.47529412] ; [108.47529412 150.52470588],1
d1,1,0.001023,10.786074,[108  59] ; [126 134],[91.5175644 75.4824356] ; [142.4824356 117.5175644],0
n6,1,0.006593,7.380748,[150  16] ; [207  50],[140.09929078  25.90070922] ; [216.90070922  40.09929078],0
d2,1,0.006932,7.290524,[95 71] ; [113 145],[81.43396226 84.56603774] ; [126.56603774 131.43396226],0
r4,1,0.007105,7.246278,[151  16] ; [210  50],[141.18735363  25.81264637] ; [219.81264637  40.18735363],0
s7,1,0.010927,6.477183,[81 75] ; [ 98 153],[68.60933661 87.39066339] ; [110.39066339 140.60933661],0
v4,1,0.011928,6.321502,[158   8] ; [226  31],[150.69503546  15.30496454] ; [233.30496454  23.69503546],0
r3,1,0.012329,6.262936,[158   8] ; [227  31],[150.73113208  15.26886792] ; [234.26886792  23.73113208],0
s5,1,0.0218,5.261644,[ 55 110] ; [ 58 193],[ 44.81971154 120.18028846] ; [ 68.18028846 182.81971154],0
n5,1,0.024749,5.041339,[148  18] ; [209  49],[139.76886792  26.23113208] ; [217.23113208  40.76886792],0
p1,1,0.026257,4.939046,[ 18 149] ; [ 13 245],[ 12.18117647 154.81882353] ; [ 18.81882353 239.18117647],0
p7,1,0.048431,3.894983,[92 70] ; [121 137],[82.15714286 79.84285714] ; [130.84285714 127.15714286],0
r2,1,0.048457,3.894078,[157   8] ; [228  26],[151.61097852  13.38902148] ; [233.38902148  20.61097852],0
a4,1,0.04942,3.86104,[85 81] ; [107 151],[75.16981132 90.83018868] ; [116.83018868 141.16981132],0
p4,1,0.051048,3.806706,[88 77] ; [113 146],[78.21933962 86.78066038] ; [122.78066038 136.21933962],0
a2,1,0.056343,3.641887,[ 46 121] ; [ 51 209],[ 37.93676815 129.06323185] ; [ 59.06323185 200.93676815],0
d5,1,0.05905,3.563858,[141  26] ; [200  60],[133.36533958  33.63466042] ; [207.63466042  52.36533958],0
a5,1,0.06893,3.308318,[132  35] ; [185  75],[123.97892272  43.02107728] ; [193.02107728  66.97892272],0
a3,1,0.076825,3.130831,[126  41] ; [174  84],[117.88235294  49.11764706] ; [182.11764706  75.88235294],0
s4,1,0.098403,2.731239,[ 17 149] ; [ 41 217],[ 22.70754717 143.29245283] ; [ 35.29245283 222.70754717],0
s6,1,0.099455,2.714263,[107  56] ; [148 109],[98.96428571 64.03571429] ; [156.03571429 100.96428571],0
n3,1,0.109503,2.561373,[25  6] ; [44 24],[21.60606061  9.39393939] ; [47.39393939 20.60606061],0
s3,1,0.117747,2.447035,[94 68] ; [129 128],[86.21957041 75.78042959] ; [136.78042959 120.21957041],0
p10,1,0.130192,2.290218,[134  31] ; [194  65],[127.64150943  37.35849057] ; [200.35849057  58.64150943],0
