Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,4e-06,21.129721,[12  1] ; [ 9 33],[4.96363636 8.03636364] ; [16.03636364 25.96363636],1
p5,1,0.001683,9.866809,[5 8] ; [ 2 39],[ 1.68518519 11.31481481] ; [ 5.31481481 35.68518519],0
d5,1,0.00431,8.148391,[12  1] ; [20 22],[7.56363636 5.43636364] ; [24.43636364 17.56363636],0
b4,1,0.008367,6.953089,[4 9] ; [30 12],[8.03636364 4.96363636] ; [25.96363636 16.03636364],0
n4,1,0.0637,3.438339,[10  3] ; [20 22],[7.09090909 5.90909091] ; [22.90909091 19.09090909],0
n5,1,0.071956,3.237834,[11  2] ; [24 18],[8.27272727 4.72727273] ; [26.72727273 15.27272727],0
r4,1,0.080254,3.059753,[6 7] ; [ 9 33],[3.54545455 9.45454545] ; [11.45454545 30.54545455],0
n6,1,0.087179,2.925713,[10  3] ; [21 21],[7.32727273 5.67272727] ; [23.67272727 18.32727273],0
d1,1,0.096378,2.764485,[5 8] ; [ 7 35],[ 2.83636364 10.16363636] ; [ 9.16363636 32.83636364],0
s5,1,0.108131,2.581334,[4 9] ; [ 5 37],[ 2.12727273 10.87272727] ; [ 6.87272727 35.12727273],0
v4,1,0.116961,2.457547,[10  3] ; [22 20],[7.56363636 5.43636364] ; [24.43636364 17.56363636],0
a4,1,0.121124,2.402731,[6 7] ; [10 32],[3.78181818 9.21818182] ; [12.21818182 29.78181818],0
p7,1,0.136385,2.218284,[8 5] ; [16 26],[5.67272727 7.32727273] ; [18.32727273 23.67272727],0
u3,1,0.148454,2.088068,[3 3] ; [ 5 19],[1.6 4.4] ; [ 6.4 17.6],0
v3,1,0.178126,1.813187,[4 9] ; [ 6 36],[ 2.36363636 10.63636364] ; [ 7.63636364 34.36363636],0
u2,1,0.197213,1.662896,[2 4] ; [15  9],[3.4 2.6] ; [13.6 10.4],0
p1,1,0.197455,1.6611,[ 2 11] ; [ 2 40],[ 0.94545455 12.05454545] ; [ 3.05454545 38.94545455],0
s8,1,0.20425,1.611722,[ 1 12] ; [10 32],[ 2.6 10.4] ; [ 8.4 33.6],0
s7,1,0.209123,1.577488,[4 7] ; [ 7 31],[2.46938776 8.53061224] ; [ 8.53061224 29.46938776],0
p9,1,0.209435,1.575329,[10  3] ; [23 17],[8.09433962 4.90566038] ; [24.90566038 15.09433962],0
v1,1,0.217948,1.517833,[5 8] ; [ 9 33],[3.30909091 9.69090909] ; [10.69090909 31.30909091],0
r3,1,0.231617,1.430902,[10  3] ; [24 17],[8.18518519 4.81481481] ; [25.81481481 15.18518519],0
b5,1,0.238414,1.38995,[5 8] ; [24 18],[6.85454545 6.14545455] ; [22.14545455 19.85454545],0
p8,1,0.26044,1.266417,[6 7] ; [12 29],[4.33333333 8.66666667] ; [13.66666667 27.33333333],0
s4,1,0.318067,0.996878,[ 3 10] ; [ 5 37],[ 1.89090909 11.10909091] ; [ 6.10909091 35.89090909],0
s3,1,0.335869,0.926136,[ 3 10] ; [ 5 36],[ 1.92592593 11.07407407] ; [ 6.07407407 34.92592593],0
p6,1,0.335869,0.926136,[ 3 10] ; [ 5 36],[ 1.92592593 11.07407407] ; [ 6.07407407 34.92592593],0
a8,1,0.374742,0.787879,[ 3 10] ; [ 5 34],[ 2. 11.] ; [ 6. 33.],0
r1,1,0.401066,0.705128,[6 7] ; [14 28],[4.72727273 8.27272727] ; [15.27272727 26.72727273],0
v2,1,0.418343,0.654966,[5 7] ; [12 29],[3.8490566 8.1509434] ; [13.1509434 27.8490566],0
p10,1,0.422444,0.643507,[8 5] ; [20 21],[6.74074074 6.25925926] ; [21.25925926 19.74074074],0
p11,1,0.436906,0.604396,[9 4] ; [24 18],[7.8 5.2] ; [25.2 16.8],0
d2,1,0.500111,0.4547,[5 8] ; [12 30],[4.01818182 8.98181818] ; [12.98181818 29.01818182],0
p2,1,0.529007,0.3963,[9 4] ; [25 17],[8.03636364 4.96363636] ; [25.96363636 16.03636364],0
b1,1,0.529007,0.3963,[9 4] ; [25 17],[8.03636364 4.96363636] ; [25.96363636 16.03636364],0
a3,1,0.530969,0.392537,[7 6] ; [18 23],[6.01851852 6.98148148] ; [18.98148148 22.01851852],0
s1,1,0.684319,0.165305,[ 1 12] ; [ 2 40],[ 0.70909091 12.29090909] ; [ 2.29090909 39.70909091],0
u1,1,0.684319,0.165305,[ 1 12] ; [ 2 40],[ 0.70909091 12.29090909] ; [ 2.29090909 39.70909091],0
a6,1,0.716854,0.131527,[6 7] ; [17 25],[5.43636364 7.56363636] ; [17.56363636 24.43636364],0
d4,1,0.778884,0.078834,[8 5] ; [24 18],[7.56363636 5.43636364] ; [24.43636364 17.56363636],0
d3,1,0.778884,0.078834,[5 8] ; [18 24],[5.43636364 7.56363636] ; [17.56363636 24.43636364],0
b2,1,0.816571,0.053804,[3 6] ; [ 7 17],[2.72727273 6.27272727] ; [ 7.27272727 16.72727273],0
b3,1,0.816571,0.053804,[3 6] ; [ 7 17],[2.72727273 6.27272727] ; [ 7.27272727 16.72727273],0
n1,1,0.865215,0.028812,[1 2] ; [ 6 15],[0.875 2.125] ; [ 6.125 14.875],0
n3,1,0.873382,0.025397,[2 1] ; [13  8],[1.875 1.125] ; [13.125  7.875],0
a5,1,0.926327,0.00855,[6 7] ; [20 22],[6.14545455 6.85454545] ; [19.85454545 22.14545455],0
a2,1,0.946849,0.004444,[ 1 12] ; [ 3 39],[ 0.94545455 12.05454545] ; [ 3.05454545 38.94545455],0
p12,1,0.946849,0.004444,[ 1 12] ; [ 3 39],[ 0.94545455 12.05454545] ; [ 3.05454545 38.94545455],0
a7,1,0.953792,0.003358,[7 6] ; [23 19],[7.09090909 5.90909091] ; [22.90909091 19.09090909],0
s6,1,0.990037,0.000156,[4 9] ; [13 29],[4.01818182 8.98181818] ; [12.98181818 29.01818182],0
