Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,5e-06,20.978542,[37 29] ; [ 8 45],[24.95798319 41.04201681] ; [20.04201681 32.95798319],1
p3,1,0.008902,6.842341,[33 33] ; [14 39],[26.06722689 39.93277311] ; [20.93277311 32.06722689],0
p2,1,0.008953,6.832251,[56 10] ; [34 19],[49.91596639 16.08403361] ; [40.08403361 12.91596639],0
a5,1,0.01574,5.831707,[50 16] ; [29 24],[43.81512605 22.18487395] ; [35.18487395 17.81512605],0
a8,1,0.017027,5.693581,[ 9 49] ; [ 1 48],[ 5.42056075 52.57943925] ; [ 4.57943925 44.42056075],0
r3,1,0.017867,5.609192,[61  4] ; [42 11],[56.73728814  8.26271186] ; [46.26271186  6.73728814],0
p4,1,0.020575,5.362473,[39 27] ; [20 33],[32.72268908 33.27731092] ; [26.27731092 26.72268908],0
p8,1,0.032488,4.572584,[30 36] ; [14 39],[24.40336134 41.59663866] ; [19.59663866 33.40336134],0
s6,1,0.041602,4.151334,[48 15] ; [31 22],[42.90517241 20.09482759] ; [36.09482759 16.90517241],0
n6,1,0.046978,3.946168,[54 11] ; [35 17],[49.44444444 15.55555556] ; [39.55555556 12.44444444],0
n3,1,0.050045,3.839963,[17  3] ; [12  9],[14.14634146  5.85365854] ; [14.85365854  6.14634146],0
n4,1,0.065839,3.383817,[48 18] ; [30 23],[43.2605042 22.7394958] ; [34.7394958 18.2605042],0
r4,1,0.077642,3.113589,[58  8] ; [40 13],[54.35294118 11.64705882] ; [43.64705882  9.35294118],0
r1,1,0.080041,3.064064,[55 11] ; [37 16],[51.02521008 14.97478992] ; [40.97478992 12.02521008],0
a3,1,0.080497,3.054831,[49 16] ; [32 21],[44.61864407 20.38135593] ; [36.38135593 16.61864407],0
a4,1,0.133466,2.251719,[34 32] ; [20 33],[29.94957983 36.05042017] ; [24.05042017 28.94957983],0
d5,1,0.138693,2.192405,[55 10] ; [39 14],[51.77966102 13.22033898] ; [42.22033898 10.77966102],0
d2,1,0.182161,1.779908,[38 28] ; [24 29],[34.38655462 31.61344538] ; [27.61344538 25.38655462],0
a2,1,0.182773,1.774927,[18 48] ; [ 9 44],[14.97478992 51.02521008] ; [12.02521008 40.97478992],0
s4,1,0.210288,1.569443,[19 47] ; [10 43],[16.08403361 49.91596639] ; [12.91596639 40.08403361],0
n5,1,0.225497,1.469039,[45 20] ; [31 22],[41.86440678 23.13559322] ; [34.13559322 18.86440678],0
u3,1,0.256839,1.285714,[10  5] ; [10 11],[8.33333333 6.66666667] ; [11.66666667  9.33333333],0
a1,1,0.259353,1.272208,[ 4 62] ; [ 1 52],[ 2.77310924 63.22689076] ; [ 2.22689076 50.77310924],0
p1,1,0.316135,1.004868,[ 4 61] ; [ 6 47],[ 5.50847458 59.49152542] ; [ 4.49152542 48.50847458],0
a6,1,0.341255,0.905709,[43 23] ; [30 23],[40.48739496 25.51260504] ; [32.51260504 20.48739496],0
u1,1,0.346741,0.885347,[13 53] ; [ 7 46],[11.09243697 54.90756303] ; [ 8.90756303 44.09243697],0
