Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2e-06,22.916726,[103   1] ; [46 14],[94.48780488  9.51219512] ; [54.51219512  5.48780488],1
v3,1,0.000159,14.265756,[56 46] ; [15 46],[44.42944785 57.57055215] ; [26.57055215 34.42944785],1
d4,1,0.001493,10.087291,[92 13] ; [41 20],[84.12650602 20.87349398] ; [48.87349398 12.12650602],0
p7,1,0.003926,8.317858,[60 40] ; [21 37],[51.26582278 48.73417722] ; [29.73417722 28.26582278],0
d3,1,0.005967,7.560199,[71 34] ; [28 33],[62.62048193 42.37951807] ; [36.37951807 24.62048193],0
r4,1,0.015857,5.818679,[94 11] ; [46 15],[88.55421687 16.44578313] ; [51.44578313  9.55421687],0
v4,1,0.024628,5.049843,[100   4] ; [52  8],[96.3902439  7.6097561] ; [55.6097561  4.3902439],0
p6,1,0.033735,4.508092,[26 74] ; [ 7 52],[20.75471698 79.24528302] ; [12.24528302 46.75471698],0
d5,1,0.039279,4.248757,[84 21] ; [40 21],[78.43373494 26.56626506] ; [45.56626506 15.43373494],0
d1,1,0.042132,4.129912,[55 50] ; [22 39],[48.70481928 56.29518072] ; [28.29518072 32.70481928],0
n1,1,0.057775,3.600139,[ 7 17] ; [14 11],[10.28571429 13.71428571] ; [10.71428571 14.28571429],0
s8,1,0.061929,3.484945,[47 58] ; [18 42],[41.36363636 63.63636364] ; [23.63636364 36.36363636],0
p3,1,0.062342,3.473952,[37 67] ; [13 47],[31.70731707 72.29268293] ; [18.29268293 41.70731707],0
r1,1,0.063588,3.441249,[88 17] ; [43 17],[83.36363636 21.63636364] ; [47.63636364 12.36363636],0
a6,1,0.100947,2.690513,[68 36] ; [32 29],[63.03030303 40.96969697] ; [36.96969697 24.03030303],0
s1,1,0.119565,2.423016,[  4 100] ; [ 6 55],[ 6.3030303 97.6969697] ; [ 3.6969697 57.3030303],0
n6,1,0.134243,2.242735,[82 22] ; [41 19],[78. 26.] ; [45. 15.],0
s7,1,0.182728,1.775299,[48 54] ; [21 37],[43.9875 58.0125] ; [25.0125 32.9875],0
s2,1,0.18498,1.757157,[52 52] ; [24 37],[47.9030303 56.0969697] ; [28.0969697 32.9030303],0
a5,1,0.203176,1.619399,[77 28] ; [39 22],[73.37349398 31.62650602] ; [42.62650602 18.37349398],0
p12,1,0.23028,1.439134,[ 4 99] ; [ 5 55],[ 5.68711656 97.31288344] ; [ 3.31288344 56.68711656],0
p11,1,0.232626,1.424735,[78 27] ; [40 21],[74.63855422 30.36144578] ; [43.36144578 17.63855422],0
