Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,4e-06,21.278352,[ 5 96] ; [12 22],[12.71851852 88.28148148] ; [ 4.28148148 29.71851852],1
p3,1,1.9e-05,18.323543,[11 91] ; [15 19],[19.5 82.5] ; [ 6.5 27.5],1
a8,1,0.0003,13.06885,[ 5 95] ; [ 9 24],[10.52631579 89.47368421] ; [ 3.47368421 29.52631579],1
p8,1,0.000721,11.434037,[ 9 94] ; [11 23],[15.03649635 87.96350365] ; [ 4.96350365 29.03649635],1
v2,1,0.000949,10.924159,[32 63] ; [22 11],[40.078125 54.921875] ; [13.921875 19.078125],1
r4,1,0.001897,9.647008,[61 42] ; [30  4],[68.41605839 34.58394161] ; [22.58394161 11.41605839],0
s3,1,0.002484,9.152063,[32 67] ; [21 13],[39.45112782 59.54887218] ; [13.54887218 20.45112782],0
r3,1,0.003199,8.690114,[71 32] ; [32  2],[77.4379562 25.5620438] ; [25.5620438  8.4379562],0
s2,1,0.0045,8.07033,[27 75] ; [18 16],[33.75 68.25] ; [11.25 22.75],0
b5,1,0.007973,7.03948,[52 51] ; [26  8],[58.64233577 44.35766423] ; [19.35766423 14.64233577],0
a4,1,0.014036,6.033548,[48 53] ; [ 8 26],[41.8962963 59.1037037] ; [14.1037037 19.8962963],0
v4,1,0.033569,4.516544,[72 31] ; [30  4],[76.68613139 26.31386861] ; [25.31386861  8.68613139],0
r2,1,0.080232,3.060199,[82 19] ; [31  2],[85.17164179 15.82835821] ; [27.82835821  5.17164179],0
a2,1,0.081602,3.032706,[23 80] ; [ 3 31],[19.54744526 83.45255474] ; [ 6.45255474 27.54744526],0
p10,1,0.091196,2.853138,[45 55] ; [21 13],[49.25373134 50.74626866] ; [16.74626866 17.25373134],0
r1,1,0.091662,2.844945,[59 44] ; [25  9],[63.15328467 39.84671533] ; [20.84671533 13.15328467],0
s6,1,0.099166,2.71891,[39 63] ; [18 15],[43.06666667 58.93333333] ; [13.93333333 19.06666667],0
d2,1,0.105327,2.622976,[50 51] ; [11 22],[45.97761194 55.02238806] ; [15.02238806 17.97761194],0
a1,1,0.132964,2.257559,[12 91] ; [ 1 33],[ 9.77372263 93.22627737] ; [ 3.22627737 30.77372263],0
a7,1,0.14086,2.168542,[58 45] ; [24 10],[61.64963504 41.35036496] ; [20.35036496 13.64963504],0
b3,1,0.167096,1.908804,[27 37] ; [ 5 15],[24.38095238 39.61904762] ; [ 7.61904762 12.38095238],0
b2,1,0.167096,1.908804,[27 37] ; [ 5 15],[24.38095238 39.61904762] ; [ 7.61904762 12.38095238],0
s7,1,0.186424,1.745656,[29 68] ; [14 19],[32.08461538 64.91538462] ; [10.91538462 22.08461538],0
p9,1,0.198876,1.650613,[47 49] ; [21 13],[50.21538462 45.78461538] ; [17.78461538 16.21538462],0
a5,1,0.211989,1.557791,[64 39] ; [17 17],[60.89781022 42.10218978] ; [20.10218978 13.89781022],0
n4,1,0.227269,1.457871,[64 39] ; [25  9],[66.91240876 36.08759124] ; [22.08759124 11.91240876],0
p1,1,0.275202,1.190631,[13 90] ; [ 2 32],[11.27737226 91.72262774] ; [ 3.72262774 30.27737226],0
a6,1,0.29282,1.106611,[58 45] ; [22 11],[60.58823529 42.41176471] ; [19.41176471 13.58823529],0
n1,1,0.309132,1.03438,[25 26] ; [2 5],[23.74137931 27.25862069] ; [3.25862069 3.74137931],0
n6,1,0.322356,0.979362,[63 40] ; [24 10],[65.40875912 37.59124088] ; [21.59124088 12.40875912],0
u1,1,0.335647,0.926988,[12 91] ; [ 2 32],[10.52554745 92.47445255] ; [ 3.47445255 30.52554745],0
v1,1,0.33794,0.91823,[30 72] ; [13 21],[32.25 69.75] ; [10.75 23.25],0
d3,1,0.372298,0.795978,[56 47] ; [15 18],[53.77205882 49.22794118] ; [17.22794118 15.77205882],0
n3,1,0.421318,0.646636,[26 21] ; [5 2],[26.98148148 20.01851852] ; [4.01851852 2.98148148],0
a3,1,0.428594,0.626632,[67 34] ; [20 14],[65.08888889 35.91111111] ; [21.91111111 12.08888889],0
s1,1,0.485065,0.487455,[ 8 94] ; [ 4 30],[ 9. 93.] ; [ 3. 31.],0
s8,1,0.49039,0.47567,[25 78] ; [10 23],[26.50735294 76.49264706] ; [ 8.49264706 24.50735294],0
n5,1,0.497807,0.459608,[63 40] ; [23 11],[64.65693431 38.34306569] ; [21.34306569 12.65693431],0
p12,1,0.501469,0.451827,[ 6 96] ; [ 1 33],[ 5.25 96.75] ; [ 1.75 32.25],0
u2,1,0.5744,0.315375,[16 20] ; [5 9],[15.12 20.88] ; [5.88 8.12],0
v3,1,0.73776,0.112105,[29 67] ; [11 22],[29.76744186 66.23255814] ; [10.23255814 22.76744186],0
s5,1,0.760058,0.093272,[19 79] ; [ 7 25],[19.6 78.4] ; [ 6.4 25.6],0
d1,1,0.801025,0.063514,[48 55] ; [15 19],[47.3649635 55.6350365] ; [15.6350365 18.3649635],0
s4,1,0.801196,0.063403,[20 82] ; [ 6 28],[19.5 82.5] ; [ 6.5 27.5],0
d5,1,0.882555,0.021825,[67 36] ; [21 12],[66.64705882 36.35294118] ; [21.35294118 11.64705882],0
b4,1,0.886397,0.02041,[59 44] ; [19 15],[58.64233577 44.35766423] ; [19.35766423 14.64233577],0
u3,1,0.919134,0.010307,[16 20] ; [6 8],[15.84 20.16] ; [6.16 7.84],0
d4,1,0.921666,0.00967,[74 29] ; [24  9],[74.22058824 28.77941176] ; [23.77941176  9.22058824],0
p11,1,0.958495,0.002708,[49 54] ; [16 18],[48.86861314 54.13138686] ; [16.13138686 17.86861314],0
b1,1,0.960849,0.00241,[52 51] ; [17 17],[51.87591241 51.12408759] ; [17.12408759 16.87591241],0
