Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,31.319373,[119  32] ; [29 42],[100.66666667  50.33333333] ; [47.33333333 23.66666667],1
a6,1,0.0,25.848796,[111  40] ; [27 44],[93.86486486 57.13513514] ; [44.13513514 26.86486486],1
a5,1,0.000821,11.193596,[118  33] ; [40 31],[107.46846847  43.53153153] ; [50.53153153 20.46846847],1
a2,1,0.002624,9.051842,[ 42 109] ; [ 7 64],[ 33.32882883 117.67117117] ; [15.67117117 55.32882883],0
u1,1,0.003038,8.78426,[ 29 122] ; [ 3 68],[ 21.76576577 129.23423423] ; [10.23423423 60.76576577],0
d1,1,0.019634,5.444189,[87 64] ; [29 42],[78.9009009 72.0990991] ; [37.0990991 33.9009009],0
b5,1,0.020094,5.403749,[105  46] ; [38 33],[97.26576577 53.73423423] ; [45.73423423 25.26576577],0
b1,1,0.024447,5.062629,[ 41 110] ; [30 41],[ 48.29279279 102.70720721] ; [22.70720721 48.29279279],0
r4,1,0.028762,4.781828,[137  14] ; [57 14],[131.95495495  19.04504505] ; [62.04504505  8.95495495],0
p2,1,0.035522,4.419911,[125  26] ; [50 21],[119.03153153  31.96846847] ; [55.96846847 15.03153153],0
s6,1,0.040584,4.193308,[107  40] ; [40 28],[100.50697674  46.49302326] ; [46.49302326 21.50697674],0
n6,1,0.070394,3.27381,[125  25] ; [51 19],[120.  30.] ; [56. 14.],0
u2,1,0.090115,2.872325,[28 15] ; [10 13],[24.75757576 18.24242424] ; [13.24242424  9.75757576],0
d4,1,0.099054,2.720716,[125  26] ; [52 19],[120.39189189  30.60810811] ; [56.60810811 14.39189189],0
d5,1,0.112662,2.516479,[119  32] ; [49 22],[114.27027027  36.72972973] ; [53.72972973 17.27027027],0
p8,1,0.131351,2.276464,[68 78] ; [25 45],[62.86111111 83.13888889] ; [30.13888889 39.86111111],0
b2,1,0.144691,2.127346,[31 60] ; [22 25],[34.94927536 56.05072464] ; [18.05072464 28.94927536],0
b3,1,0.144691,2.127346,[31 60] ; [22 25],[34.94927536 56.05072464] ; [18.05072464 28.94927536],0
p9,1,0.152789,2.044183,[125  22] ; [54 16],[121.25806452  25.74193548] ; [57.74193548 12.25806452],0
a8,1,0.167295,1.907021,[ 24 110] ; [ 7 60],[ 20.66666667 113.33333333] ; [10.33333333 56.66666667],0
p1,1,0.187261,1.739039,[ 14 137] ; [ 3 68],[ 11.56306306 139.43693694] ; [ 5.43693694 65.56306306],0
v3,1,0.188461,1.729604,[65 80] ; [24 44],[60.58685446 84.41314554] ; [28.41314554 39.58685446],0
p4,1,0.270309,1.215177,[71 79] ; [28 43],[67.19457014 82.80542986] ; [31.80542986 39.19457014],0
n3,1,0.271979,1.206739,[23 13] ; [20  6],[24.96774194 11.03225806] ; [18.03225806  7.96774194],0
p7,1,0.276669,1.18338,[71 71] ; [40 29],[74.7014218 67.2985782] ; [36.2985782 32.7014218],0
v2,1,0.301101,1.069313,[92 52] ; [39 30],[88.56338028 55.43661972] ; [42.43661972 26.56338028],0
n1,1,0.306457,1.045884,[12 24] ; [12 14],[13.93548387 22.06451613] ; [10.06451613 15.93548387],0
u3,1,0.324237,0.97178,[26 17] ; [11 12],[24.10606061 18.89393939] ; [12.89393939 10.10606061],0
r1,1,0.364354,0.822831,[126  22] ; [57 14],[123.67123288  24.32876712] ; [59.32876712 11.67123288],0
r3,1,0.381354,0.766334,[141   8] ; [65  6],[139.51818182   9.48181818] ; [66.48181818  4.51818182],0
s8,1,0.447741,0.576363,[66 84] ; [27 43],[63.40909091 86.59090909] ; [29.59090909 40.40909091],0
b4,1,0.451664,0.566472,[91 60] ; [39 32],[88.42342342 62.57657658] ; [41.57657658 29.42342342],0
r2,1,0.463155,0.538258,[141   9] ; [63  6],[139.7260274  10.2739726] ; [64.2739726  4.7260274],0
p11,1,0.489055,0.478606,[117  34] ; [52 19],[114.95045045  36.04954955] ; [54.04954955 16.95045045],0
a3,1,0.503179,0.448225,[108  42] ; [48 23],[105.88235294  44.11764706] ; [50.11764706 20.88235294],0
a1,1,0.578004,0.309472,[  6 145] ; [ 4 67],[  6.8018018 144.1981982] ; [ 3.1981982 67.8018018],0
v4,1,0.586165,0.296373,[141   8] ; [64  5],[140.1146789   8.8853211] ; [64.8853211  4.1146789],0
a4,1,0.588276,0.293044,[67 83] ; [34 36],[68.86363636 81.13636364] ; [32.13636364 37.86363636],0
n2,1,0.591871,0.287431,[27  9] ; [21  5],[27.87096774  8.12903226] ; [20.12903226  5.87096774],0
n4,1,0.654568,0.200189,[112  38] ; [51 20],[110.63348416  39.36651584] ; [52.36651584 18.63348416],0
n5,1,0.665686,0.18669,[110  40] ; [54 17],[111.31221719  38.68778281] ; [52.68778281 18.31221719],0
s1,1,0.667714,0.184288,[  6 141] ; [ 2 67],[  5.44444444 141.55555556] ; [ 2.55555556 66.44444444],0
s4,1,0.677146,0.173356,[ 22 127] ; [ 9 62],[ 20.99545455 128.00454545] ; [10.00454545 60.99545455],0
s7,1,0.694425,0.154337,[66 79] ; [29 39],[64.6713615 80.3286385] ; [30.3286385 37.6713615],0
s5,1,0.696247,0.152406,[48 97] ; [21 48],[46.75233645 98.24766355] ; [22.24766355 46.75233645],0
