Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.48653,[192  23] ; [5 7],[186.58590308  28.41409692] ; [10.41409692  1.58590308],1
r2,1,7e-06,20.251115,[198  14] ; [6 5],[193.93721973  18.06278027] ; [10.06278027  0.93721973],1
p10,1,6.5e-05,15.960869,[173  39] ; [4 8],[167.51785714  44.48214286] ; [9.48214286 2.51785714],1
n6,1,0.003126,8.732686,[180  35] ; [6 6],[176.16740088  38.83259912] ; [9.83259912 2.16740088],0
u4,1,0.004532,8.057229,[  1 214] ; [ 1 11],[  1.89427313 213.10572687] ; [ 0.10572687 11.89427313],0
p2,1,0.005156,7.823731,[176  37] ; [6 6],[172.29333333  40.70666667] ; [9.70666667 2.29333333],0
p7,1,0.005812,7.607547,[137  75] ; [3 9],[132.5  79.5] ; [7.5 4.5],0
v3,1,0.01834,5.563372,[108 101] ; [ 2 10],[104.02714932 104.97285068] ; [5.97285068 6.02714932],0
a3,1,0.019361,5.468583,[157  58] ; [5 7],[153.43612335  61.56387665] ; [8.56387665 3.43612335],0
a6,1,0.019361,5.468583,[157  58] ; [5 7],[153.43612335  61.56387665] ; [8.56387665 3.43612335],0
n5,1,0.020727,5.349616,[155  58] ; [5 7],[151.46666667  61.53333333] ; [8.53333333 3.46666667],0
p9,1,0.023353,5.142061,[175  38] ; [6 5],[172.11160714  40.88839286] ; [8.88839286 2.11160714],0
s1,1,0.029317,4.748916,[  2 212] ; [ 1 11],[  2.84070796 211.15929204] ; [ 0.15929204 11.84070796],0
r1,1,0.038999,4.260898,[177  38] ; [7 5],[174.27312775  40.72687225] ; [9.72687225 2.27312775],0
u3,1,0.050259,3.832813,[31 27] ; [1 6],[28.55384615 29.44615385] ; [3.44615385 3.55384615],0
p8,1,0.053887,3.716202,[112  97] ; [3 9],[108.75565611 100.24434389] ; [6.24434389 5.75565611],0
p3,1,0.062921,3.458672,[112 101] ; [3 9],[108.86666667 104.13333333] ; [6.13333333 5.86666667],0
b2,1,0.105869,2.614835,[50 82] ; [1 8],[47.74468085 84.25531915] ; [3.25531915 5.74468085],0
b3,1,0.105869,2.614835,[50 82] ; [1 8],[47.74468085 84.25531915] ; [3.25531915 5.74468085],0
s5,1,0.153471,2.037412,[ 57 155] ; [ 1 11],[ 54.89285714 157.10714286] ; [3.10714286 8.89285714],0
p6,1,0.159301,1.980844,[ 77 133] ; [ 2 10],[ 74.72972973 135.27027027] ; [4.27027027 7.72972973],0
v1,1,0.166156,1.917283,[141  73] ; [5 6],[138.86222222  75.13777778] ; [7.13777778 3.86222222],0
u2,1,0.21226,1.555948,[30 26] ; [2 5],[28.44444444 27.55555556] ; [3.55555556 3.44444444],0
s7,1,0.288983,1.124354,[ 62 137] ; [ 2 10],[ 60.36018957 138.63981043] ; [3.63981043 8.36018957],0
d3,1,0.304814,1.053015,[155  60] ; [7 5],[153.43612335  61.56387665] ; [8.56387665 3.43612335],0
p11,1,0.309461,1.032976,[170  45] ; [8 4],[168.59030837  46.40969163] ; [9.40969163 2.59030837],0
s8,1,0.368824,0.807624,[ 61 152] ; [ 2 10],[ 59.64 153.36] ; [3.36 8.64],0
s2,1,0.43594,0.606946,[ 36 177] ; [ 1 11],[ 35.02666667 177.97333333] ; [ 1.97333333 10.02666667],0
d1,1,0.451267,0.567468,[131  84] ; [6 6],[129.75770925  85.24229075] ; [7.24229075 4.75770925],0
d2,1,0.452309,0.564859,[101 113] ; [7 5],[102.26548673 111.73451327] ; [5.73451327 6.26548673],0
n1,1,0.488052,0.480819,[12 35] ; [2 3],[12.65384615 34.34615385] ; [1.34615385 3.65384615],0
d5,1,0.507477,0.439265,[182  33] ; [11  1],[182.79735683  32.20264317] ; [10.20264317  1.79735683],0
a2,1,0.529848,0.394684,[ 53 162] ; [ 2 10],[ 52.09251101 162.90748899] ; [2.90748899 9.09251101],0
a7,1,0.611031,0.258676,[157  57] ; [8 4],[156.23893805  57.76106195] ; [8.76106195 3.23893805],0
n2,1,0.62673,0.236522,[32 14] ; [4 1],[32.47058824 13.52941176] ; [3.52941176 1.47058824],0
r3,1,0.631202,0.230434,[203  11] ; [11  1],[202.63716814  11.36283186] ; [11.36283186  0.63716814],0
b5,1,0.645902,0.211106,[129  86] ; [8 4],[129.75770925  85.24229075] ; [7.24229075 4.75770925],0
