Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,130.544274,[173  63] ; [ 17 122],[119.57333333 116.42666667] ; [70.42666667 68.57333333],1
d5,1,0.0,116.813026,[230   5] ; [73 66],[190.38770053  44.61229947] ; [112.61229947  26.38770053],1
d3,1,0.0,113.055037,[210  26] ; [51 88],[164.256  71.744] ; [96.744 42.256],1
d4,1,0.0,93.174985,[230   5] ; [83 56],[196.67112299  38.32887701] ; [116.32887701  22.67112299],1
a5,1,0.0,46.079161,[210  27] ; [81 58],[183.42287234  53.57712766] ; [107.57712766  31.42287234],1
a3,1,0.0,39.632654,[198  37] ; [75 63],[171.99731903  63.00268097] ; [101.00268097  36.99731903],1
a2,1,0.0,37.777159,[ 82 155] ; [  9 130],[ 57.35904255 179.64095745] ; [ 33.64095745 105.35904255],1
a4,1,0.0,30.657175,[133 103] ; [ 37 101],[107.27272727 128.72727273] ; [62.72727273 75.27272727],1
u1,1,0.0,29.765379,[ 64 173] ; [  6 133],[ 44.12234043 192.87765957] ; [ 25.87765957 113.12234043],1
v1,1,6.4e-05,15.988142,[165  68] ; [68 68],[147.12466125  85.87533875] ; [85.87533875 50.12466125],1
r1,1,0.000213,13.711825,[210  25] ; [104  35],[197.29946524  37.70053476] ; [116.70053476  22.29946524],1
p4,1,0.000707,11.470214,[196  39] ; [95 44],[182.84759358  52.15240642] ; [108.15240642  30.84759358],1
n4,1,0.000786,11.273499,[222  15] ; [115  24],[212.41755319  24.58244681] ; [124.58244681  14.41755319],1
s8,1,0.001458,10.130549,[138  94] ; [59 80],[123.19137466 108.80862534] ; [73.80862534 65.19137466],0
r2,1,0.001622,9.93464,[228   5] ; [125  13],[221.69541779  11.30458221] ; [131.30458221   6.69541779],0
n6,1,0.007205,7.22126,[225  10] ; [122  16],[218.61930295  16.38069705] ; [128.38069705   9.61930295],0
p3,1,0.011166,6.438689,[164  71] ; [79 60],[152.68716578  82.31283422] ; [90.31283422 48.68716578],0
s2,1,0.017197,5.676193,[138  94] ; [65 74],[126.94339623 105.05660377] ; [76.05660377 62.94339623],0
a7,1,0.022766,5.186245,[182  55] ; [91 47],[172.536  64.464] ; [100.464  37.536],0
v3,1,0.025024,5.022209,[115 115] ; [52 85],[104.65940054 125.34059946] ; [62.34059946 74.65940054],0
a6,1,0.027506,4.858744,[168  67] ; [84 55],[158.34224599  76.65775401] ; [93.65775401 45.34224599],0
u4,1,0.036204,4.387465,[ 11 225] ; [  1 138],[  7.552 228.448] ; [  4.448 134.552],0
a1,1,0.036473,4.374866,[ 17 220] ; [  3 136],[ 12.60638298 224.39361702] ; [  7.39361702 131.60638298],0
r4,1,0.037822,4.312999,[225  12] ; [124  15],[219.98138298  17.01861702] ; [129.01861702   9.98138298],0
s5,1,0.046092,3.978211,[100 126] ; [45 89],[ 91.02777778 134.97222222] ; [53.97222222 80.02777778],0
p6,1,0.069526,3.294168,[131 104] ; [64 75],[122.52673797 112.47326203] ; [72.47326203 66.52673797],0
s3,1,0.076398,3.139913,[146  87] ; [73 64],[137.91081081  95.08918919] ; [81.08918919 55.91081081],0
v2,1,0.09856,2.728694,[147  85] ; [72 60],[139.58241758  92.41758242] ; [79.41758242 52.58241758],0
n2,1,0.112522,2.518436,[28  9] ; [22  2],[30.32786885  6.67213115] ; [19.67213115  4.32786885],0
p2,1,0.123206,2.376085,[222  15] ; [124  15],[218.09042553  18.90957447] ; [127.90957447  11.09042553],0
u3,1,0.162582,1.950048,[25 14] ; [32 32],[21.58252427 17.41747573] ; [35.41747573 28.58252427],0
p12,1,0.235224,1.408992,[ 30 206] ; [ 12 126],[ 26.5026738 209.4973262] ; [ 15.4973262 122.5026738],0
b3,1,0.322568,0.978507,[66 90] ; [27 49],[62.53448276 93.46551724] ; [30.46551724 45.53448276],0
b2,1,0.322568,0.978507,[66 90] ; [27 49],[62.53448276 93.46551724] ; [30.46551724 45.53448276],0
n1,1,0.341707,0.904018,[15 21] ; [13 11],[16.8 19.2] ; [11.2 12.8],0
n3,1,0.439231,0.598291,[22 14] ; [17  7],[23.4 12.6] ; [15.6  8.4],0
p11,1,0.442954,0.588618,[205  32] ; [124  15],[207.375  29.625] ; [121.625  17.375],0
p1,1,0.457761,0.551364,[ 32 205] ; [ 15 123],[ 29.704 207.296] ; [ 17.296 120.704],0
p5,1,0.513952,0.426012,[ 51 186] ; [ 26 113],[ 48.53457447 188.46542553] ; [ 28.46542553 110.53457447],0
r3,1,0.518469,0.416938,[224  10] ; [131   8],[222.7077748  11.2922252] ; [132.2922252   6.7077748],0
s7,1,0.531176,0.392142,[130  94] ; [71 59],[127.18644068  96.81355932] ; [73.81355932 56.18644068],0
b1,1,0.595852,0.281298,[ 94 143] ; [59 80],[ 96.43882979 140.56117021] ; [56.56117021 82.43882979],0
v4,1,0.639474,0.219431,[230   5] ; [134   4],[229.32975871   5.67024129] ; [134.67024129   3.32975871],0
b4,1,0.666362,0.185887,[135 102] ; [76 63],[132.99734043 104.00265957] ; [78.00265957 60.99734043],0
p9,1,0.747948,0.103263,[214  21] ; [127  11],[214.83914209  20.16085791] ; [126.16085791  11.83914209],0
p7,1,0.757785,0.095105,[194  39] ; [114  25],[192.91397849  40.08602151] ; [115.08602151  23.91397849],0
a8,1,0.803694,0.061786,[ 37 175] ; [ 21 107],[ 36.16470588 175.83529412] ; [ 21.83529412 106.16470588],0
s6,1,0.813477,0.055669,[165  64] ; [95 39],[164.02203857  64.97796143] ; [95.97796143 38.02203857],0
s1,1,0.850879,0.035343,[  6 229] ; [  4 135],[  6.28342246 228.71657754] ; [  3.71657754 135.28342246],0
u2,1,0.864548,0.0291,[22 17] ; [35 29],[21.58252427 17.41747573] ; [35.41747573 28.58252427],0
b5,1,0.87414,0.025091,[131 106] ; [78 61],[131.73670213 105.26329787] ; [77.26329787 61.73670213],0
p10,1,0.900642,0.015588,[213  23] ; [126  13],[213.344  22.656] ; [125.656  13.344],0
s4,1,0.92907,0.007924,[ 41 190] ; [ 25 113],[ 41.31707317 189.68292683] ; [ 24.68292683 113.31707317],0
