Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,5e-06,20.659202,[11 65] ; [16 11],[19.9223301 56.0776699] ; [ 7.0776699 19.9223301],1
s2,1,1.5e-05,18.749008,[15 61] ; [17  9],[23.84313725 52.15686275] ; [ 8.15686275 17.84313725],1
s6,1,0.000198,13.846581,[21 54] ; [18  8],[28.96039604 46.03960396] ; [10.03960396 15.96039604],1
p7,1,0.000505,12.096708,[11 63] ; [13 14],[17.58415842 56.41584158] ; [ 6.41584158 20.58415842],1
s8,1,0.00163,9.925614,[13 62] ; [13 14],[19.11764706 55.88235294] ; [ 6.88235294 20.11764706],0
p11,1,0.00266,9.027154,[28 48] ; [19  8],[34.67961165 41.32038835] ; [12.32038835 14.67961165],0
r3,1,0.004848,7.935357,[45 31] ; [24  3],[50.91262136 25.08737864] ; [18.08737864  8.91262136],0
v1,1,0.00488,7.923443,[18 58] ; [13 11],[23.56 52.44] ; [ 7.44 16.56],0
s3,1,0.005049,7.861765,[21 52] ; [16 11],[27.01 45.99] ; [ 9.99 17.01],0
r4,1,0.007784,7.082562,[43 33] ; [23  4],[48.69902913 27.30097087] ; [17.30097087  9.69902913],0
u3,1,0.010386,6.567395,[11 19] ; [9 2],[14.63414634 15.36585366] ; [5.36585366 5.63414634],0
v4,1,0.016461,5.752958,[49 27] ; [24  3],[53.86407767 22.13592233] ; [19.13592233  7.86407767],0
p10,1,0.018469,5.551113,[25 50] ; [16 11],[30.14705882 44.85294118] ; [10.85294118 16.14705882],0
p9,1,0.019195,5.483685,[29 43] ; [18  9],[34.18181818 37.81818182] ; [12.81818182 14.18181818],0
n6,1,0.036255,4.385055,[44 32] ; [21  5],[48.43137255 27.56862745] ; [16.56862745  9.43137255],0
s5,1,0.039174,4.253319,[ 9 65] ; [ 7 16],[12.20618557 61.79381443] ; [ 3.79381443 19.20618557],0
b4,1,0.05758,3.605746,[47 29] ; [11 16],[42.7961165 33.2038835] ; [15.2038835 11.7961165],0
r1,1,0.109469,2.561875,[40 36] ; [19  8],[43.53398058 32.46601942] ; [15.46601942 11.53398058],0
s7,1,0.145824,2.115397,[17 52] ; [10 15],[19.81914894 49.18085106] ; [ 7.18085106 17.81914894],0
p8,1,0.150615,2.066006,[11 65] ; [ 7 19],[13.41176471 62.58823529] ; [ 4.58823529 21.41176471],0
b5,1,0.170016,1.8828,[42 34] ; [19  8],[45.00970874 30.99029126] ; [15.99029126 11.00970874],0
p1,1,0.171849,1.866736,[10 66] ; [ 1 26],[ 8.11650485 67.88349515] ; [ 2.88349515 24.11650485],0
s4,1,0.198431,1.653885,[ 9 66] ; [ 6 21],[11.02941176 63.97058824] ; [ 3.97058824 23.02941176],0
p6,1,0.203996,1.613531,[ 7 68] ; [ 5 22],[ 8.82352941 66.17647059] ; [ 3.17647059 23.82352941],0
n5,1,0.228462,1.450409,[52 24] ; [15 12],[49.4368932 26.5631068] ; [17.5631068  9.4368932],0
d5,1,0.234134,1.41557,[43 32] ; [19  8],[45.58823529 29.41176471] ; [16.41176471 10.58823529],0
