Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1.6e-05,18.637755,[105  35] ; [26 34],[91.7 48.3] ; [39.3 20.7],1
a6,1,0.000104,15.070644,[103  37] ; [27 33],[91. 49.] ; [39. 21.],1
a3,1,0.008797,6.863639,[93 47] ; [28 32],[84.7 55.3] ; [36.3 23.7],0
r1,1,0.0171,5.68609,[113  27] ; [39 21],[106.4  33.6] ; [45.6 14.4],0
a2,1,0.03072,4.668534,[ 26 114] ; [ 4 56],[ 21. 119.] ; [ 9. 51.],0
b5,1,0.033143,4.53837,[79 61] ; [24 36],[72.1 67.9] ; [30.9 29.1],0
n2,1,0.033345,4.527962,[22  6] ; [7 8],[18.88372093  9.11627907] ; [10.11627907  4.88372093],0
d4,1,0.043047,4.093567,[112  28] ; [40 20],[106.4  33.6] ; [45.6 14.4],0
d5,1,0.043601,4.071964,[110  30] ; [39 21],[104.3  35.7] ; [44.7 15.3],0
b1,1,0.061354,3.50041,[48 92] ; [29 31],[53.9 86.1] ; [23.1 36.9],0
p11,1,0.070402,3.273616,[118  22] ; [44 16],[113.4  26.6] ; [48.6 11.4],0
s4,1,0.082441,3.016106,[ 22 115] ; [16 44],[ 26.42639594 110.57360406] ; [11.57360406 48.42639594],0
p7,1,0.103586,2.649439,[111  25] ; [42 17],[106.70769231  29.29230769] ; [46.29230769 12.70769231],0
r2,1,0.107126,2.596109,[129   9] ; [51  8],[126.09137056  11.90862944] ; [53.90862944  5.09137056],0
u3,1,0.118097,2.44238,[25 20] ; [12 20],[21.62337662 23.37662338] ; [15.37662338 16.62337662],0
p3,1,0.12425,2.362915,[74 65] ; [39 21],[78.92964824 60.07035176] ; [34.07035176 25.92964824],0
p2,1,0.147416,2.098789,[124  15] ; [49 11],[120.83919598  18.16080402] ; [52.16080402  7.83919598],0
u1,1,0.160718,1.967459,[ 19 121] ; [ 4 56],[ 16.1 123.9] ; [ 6.9 53.1],0
v2,1,0.167185,1.90801,[61 74] ; [20 38],[56.65803109 78.34196891] ; [24.34196891 33.65803109],0
s8,1,0.186846,1.74231,[51 88] ; [28 32],[55.18090452 83.81909548] ; [23.81909548 36.18090452],0
r4,1,0.190372,1.714734,[124  16] ; [49 11],[121.1  18.9] ; [51.9  8.1],0
r3,1,0.198258,1.65516,[131   7] ; [54  6],[128.93939394   9.06060606] ; [56.06060606  3.93939394],0
n3,1,0.235392,1.407982,[20  8] ; [8 7],[18.23255814  9.76744186] ; [9.76744186 5.23255814],0
v3,1,0.268586,1.223955,[41 97] ; [13 46],[ 37.82741117 100.17258883] ; [16.17258883 42.82741117],0
a1,1,0.270289,1.215278,[  7 133] ; [ 1 59],[  5.6 134.4] ; [ 2.4 57.6],0
p1,1,0.319624,0.990484,[ 12 126] ; [ 8 52],[ 13.93939394 124.06060606] ; [ 6.06060606 53.93939394],0
b4,1,0.337542,0.919745,[78 62] ; [29 31],[74.9 65.1] ; [32.1 27.9],0
s2,1,0.413683,0.668192,[69 70] ; [26 34],[66.35678392 72.64321608] ; [28.64321608 31.35678392],0
u2,1,0.466529,0.530186,[24 23] ; [19 13],[25.58227848 21.41772152] ; [17.41772152 14.58227848],0
p6,1,0.474979,0.510368,[55 84] ; [27 33],[57.27638191 81.72361809] ; [24.72361809 35.27638191],0
d1,1,0.477809,0.50386,[73 67] ; [28 32],[70.7 69.3] ; [30.3 29.7],0
v4,1,0.493494,0.468899,[132   6] ; [56  4],[131.03030303   6.96969697] ; [56.96969697  3.03030303],0
a8,1,0.558904,0.341606,[ 18 112] ; [ 6 50],[ 16.77419355 113.22580645] ; [ 7.22580645 48.77419355],0
p9,1,0.559853,0.339959,[113  25] ; [47 13],[111.51515152  26.48484848] ; [48.48484848 11.51515152],0
p10,1,0.575721,0.313203,[112  25] ; [47 13],[110.57360406  26.42639594] ; [48.42639594 11.57360406],0
b3,1,0.641091,0.217318,[16 56] ; [ 7 31],[15.05454545 56.94545455] ; [ 7.94545455 30.05454545],0
b2,1,0.641091,0.217318,[16 56] ; [ 7 31],[15.05454545 56.94545455] ; [ 7.94545455 30.05454545],0
s6,1,0.67507,0.175728,[87 50] ; [38 19],[88.27319588 48.72680412] ; [36.72680412 20.27319588],0
s3,1,0.744024,0.106621,[76 62] ; [31 28],[74.95431472 63.04568528] ; [32.04568528 26.95431472],0
n1,1,0.74591,0.105,[ 6 21] ; [ 4 11],[ 6.42857143 20.57142857] ; [ 3.57142857 11.42857143],0
p4,1,0.784649,0.074674,[90 49] ; [37 22],[89.15656566 49.84343434] ; [37.84343434 21.15656566],0
n4,1,0.789591,0.071204,[97 42] ; [43 17],[97.78894472 41.21105528] ; [42.21105528 17.78894472],0
n5,1,0.792774,0.069017,[94 44] ; [42 18],[94.78787879 43.21212121] ; [41.21212121 18.78787879],0
d2,1,0.802504,0.062554,[58 82] ; [26 34],[58.8 81.2] ; [25.2 34.8],0
n6,1,0.822544,0.050299,[114  25] ; [50 10],[114.55276382  24.44723618] ; [49.44723618 10.55276382],0
