Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.002885,8.878672,[5 3] ; [ 2 19],[1.93103448 6.06896552] ; [ 5.06896552 15.93103448],0
a7,1,0.004345,8.133843,[7 1] ; [ 6 15],[3.5862069 4.4137931] ; [ 9.4137931 11.5862069],0
p2,1,0.030726,4.668183,[1 7] ; [12  9],[3.5862069 4.4137931] ; [ 9.4137931 11.5862069],0
a6,1,0.043742,4.066506,[6 2] ; [ 7 14],[3.5862069 4.4137931] ; [ 9.4137931 11.5862069],0
v1,1,0.044559,4.03525,[4 4] ; [ 3 18],[1.93103448 6.06896552] ; [ 5.06896552 15.93103448],0
d3,1,0.092373,2.832522,[5 3] ; [ 6 15],[3.03448276 4.96551724] ; [ 7.96551724 13.03448276],0
d1,1,0.095547,2.778345,[4 4] ; [ 4 17],[2.20689655 5.79310345] ; [ 5.79310345 15.20689655],0
s1,1,0.109716,2.558303,[2 6] ; [ 1 20],[0.82758621 7.17241379] ; [ 2.17241379 18.82758621],0
v4,1,0.121573,2.396939,[2 6] ; [12  9],[3.86206897 4.13793103] ; [10.13793103 10.86206897],0
n4,1,0.121573,2.396939,[2 6] ; [12  9],[3.86206897 4.13793103] ; [10.13793103 10.86206897],0
d2,1,0.173016,1.856614,[4 4] ; [ 5 16],[2.48275862 5.51724138] ; [ 6.51724138 14.48275862],0
n6,1,0.185116,1.756067,[2 6] ; [11 10],[3.5862069 4.4137931] ; [ 9.4137931 11.5862069],0
b3,1,0.196706,1.666667,[2 3] ; [ 2 13],[1. 4.] ; [ 3. 12.],0
b2,1,0.196706,1.666667,[2 3] ; [ 2 13],[1. 4.] ; [ 3. 12.],0
n1,1,0.261651,1.26,[2 2] ; [2 8],[1.14285714 2.85714286] ; [2.85714286 7.14285714],0
n5,1,0.268994,1.221872,[2 6] ; [10 11],[3.31034483 4.68965517] ; [ 8.68965517 12.31034483],0
d4,1,0.268994,1.221872,[6 2] ; [11 10],[4.68965517 3.31034483] ; [12.31034483  8.68965517],0
v2,1,0.277877,1.177444,[4 4] ; [ 6 15],[2.75862069 5.24137931] ; [ 7.24137931 13.75862069],0
v3,1,0.280038,1.166905,[2 6] ; [ 2 19],[1.10344828 6.89655172] ; [ 2.89655172 18.10344828],0
b5,1,0.344085,0.895153,[3 5] ; [12  9],[4.13793103 3.86206897] ; [10.86206897 10.13793103],0
p7,1,0.375728,0.784632,[2 6] ; [ 9 12],[3.03448276 4.96551724] ; [ 7.96551724 13.03448276],0
b4,1,0.408384,0.683502,[4 4] ; [14  7],[4.96551724 3.03448276] ; [13.03448276  7.96551724],0
b1,1,0.408384,0.683502,[4 4] ; [14  7],[4.96551724 3.03448276] ; [13.03448276  7.96551724],0
p3,1,0.449692,0.571429,[1 6] ; [ 6 15],[1.75 5.25] ; [ 5.25 15.75],0
a1,1,0.462336,0.540234,[1 7] ; [ 1 20],[0.55172414 7.44827586] ; [ 1.44827586 19.55172414],0
d5,1,0.473521,0.513747,[5 3] ; [10 11],[4.13793103 3.86206897] ; [10.86206897 10.13793103],0
n3,1,0.480478,0.497778,[2 2] ; [7 3],[2.57142857 1.42857143] ; [6.42857143 3.57142857],0
r1,1,0.507256,0.439724,[2 6] ; [ 8 13],[2.75862069 5.24137931] ; [ 7.24137931 13.75862069],0
p11,1,0.507256,0.439724,[2 6] ; [ 8 13],[2.75862069 5.24137931] ; [ 7.24137931 13.75862069],0
p8,1,0.594853,0.282828,[1 6] ; [ 5 16],[1.5 5.5] ; [ 4.5 16.5],0
s3,1,0.608757,0.261988,[2 6] ; [ 7 13],[2.57142857 5.42857143] ; [ 6.42857143 13.57142857],0
p4,1,0.642279,0.215774,[3 5] ; [ 6 15],[2.48275862 5.51724138] ; [ 6.51724138 14.48275862],0
p1,1,0.814041,0.055327,[1 7] ; [ 2 19],[0.82758621 7.17241379] ; [ 2.17241379 18.82758621],0
a8,1,0.846788,0.037333,[1 7] ; [ 2 18],[0.85714286 7.14285714] ; [ 2.14285714 17.85714286],0
s2,1,0.847486,0.03699,[2 6] ; [ 6 15],[2.20689655 5.79310345] ; [ 5.79310345 15.20689655],0
r3,1,0.908697,0.013152,[4 4] ; [10 11],[3.86206897 4.13793103] ; [10.13793103 10.86206897],0
s7,1,0.924899,0.008886,[1 6] ; [ 3 16],[1.07692308 5.92307692] ; [ 2.92307692 16.07692308],0
s6,1,0.976445,0.000872,[3 5] ; [ 8 13],[3.03448276 4.96551724] ; [ 7.96551724 13.03448276],0
n2,1,1.0,0.0,[2 2] ; [5 5],[2. 2.] ; [5. 5.],0
