Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.021229,5.307904,[9 3] ; [ 7 14],[5.81818182 6.18181818] ; [10.18181818 10.81818182],0
b5,1,0.033169,4.537057,[4 8] ; [15  6],[6.90909091 5.09090909] ; [12.09090909  8.90909091],0
s2,1,0.059346,3.555556,[10  2] ; [10 10],[7.5 4.5] ; [12.5  7.5],0
s3,1,0.059346,3.555556,[10  2] ; [10 10],[7.5 4.5] ; [12.5  7.5],0
p7,1,0.075391,3.161565,[10  2] ; [11 10],[7.63636364 4.36363636] ; [13.36363636  7.63636364],0
p6,1,0.088029,2.910053,[4 8] ; [ 2 19],[2.18181818 9.81818182] ; [ 3.81818182 17.18181818],0
d3,1,0.102322,2.668975,[ 2 10] ; [ 9 11],[4.125 7.875] ; [ 6.875 13.125],0
n5,1,0.106948,2.59875,[11  1] ; [14  7],[9.09090909 2.90909091] ; [15.90909091  5.09090909],0
p9,1,0.12471,2.357143,[10  2] ; [12  9],[8. 4.] ; [14.  7.],0
p8,1,0.162162,1.953947,[7 5] ; [ 7 14],[5.09090909 6.90909091] ; [ 8.90909091 12.09090909],0
s7,1,0.173872,1.849241,[8 3] ; [10 11],[6.1875 4.8125] ; [11.8125  9.1875],0
p10,1,0.19757,1.660248,[10  2] ; [13  8],[8.36363636 3.63636364] ; [14.63636364  6.36363636],0
a4,1,0.197905,1.657771,[4 8] ; [ 3 18],[2.54545455 9.45454545] ; [ 4.45454545 16.54545455],0
v1,1,0.20082,1.636401,[3 9] ; [10 11],[4.72727273 7.27272727] ; [ 8.27272727 12.72727273],0
u2,1,0.205054,1.606004,[4 3] ; [3 8],[2.72222222 4.27777778] ; [4.27777778 6.72222222],0
s8,1,0.218331,1.515306,[6 6] ; [ 6 15],[4.36363636 7.63636364] ; [ 7.63636364 13.36363636],0
p3,1,0.304979,1.052296,[3 9] ; [ 9 12],[4.36363636 7.63636364] ; [ 7.63636364 13.36363636],0
r2,1,0.408937,0.681888,[11  1] ; [17  4],[10.18181818  1.81818182] ; [17.81818182  3.18181818],0
b1,1,0.442695,0.589286,[3 9] ; [ 8 13],[4. 8.] ; [ 7. 14.],0
n4,1,0.442695,0.589286,[9 3] ; [13  8],[8. 4.] ; [14.  7.],0
p11,1,0.442695,0.589286,[9 3] ; [13  8],[8. 4.] ; [14.  7.],0
v3,1,0.442695,0.589286,[3 9] ; [ 3 18],[2.18181818 9.81818182] ; [ 3.81818182 17.18181818],0
d5,1,0.465209,0.533333,[5 7] ; [11  9],[6. 6.] ; [10. 10.],0
p4,1,0.505643,0.443072,[6 6] ; [ 8 13],[5.09090909 6.90909091] ; [ 8.90909091 12.09090909],0
p1,1,0.545323,0.365764,[ 2 10] ; [ 2 19],[ 1.45454545 10.54545455] ; [ 2.54545455 18.45454545],0
a6,1,0.553564,0.350972,[5 7] ; [11 10],[5.81818182 6.18181818] ; [10.18181818 10.81818182],0
a7,1,0.580912,0.304762,[6 6] ; [12  8],[6.75 5.25] ; [11.25  8.75],0
n3,1,0.611541,0.257937,[5 1] ; [5 2],[4.61538462 1.38461538] ; [5.38461538 1.61538462],0
n1,1,0.611541,0.257937,[1 5] ; [2 5],[1.38461538 4.61538462] ; [1.61538462 5.38461538],0
u1,1,0.679151,0.171083,[ 1 11] ; [ 1 20],[ 0.72727273 11.27272727] ; [ 1.27272727 19.72727273],0
d2,1,0.687421,0.161892,[3 9] ; [ 4 17],[2.54545455 9.45454545] ; [ 4.45454545 16.54545455],0
a3,1,0.74114,0.109127,[5 7] ; [10 11],[5.45454545 6.54545455] ; [ 9.54545455 11.45454545],0
r4,1,0.824624,0.049107,[9 3] ; [15  6],[8.72727273 3.27272727] ; [15.27272727  5.72727273],0
v2,1,0.829856,0.046176,[3 8] ; [ 5 16],[2.75 8.25] ; [ 5.25 15.75],0
r1,1,0.839931,0.040797,[7 5] ; [13  8],[7.27272727 4.72727273] ; [12.72727273  8.27272727],0
r3,1,0.854403,0.033673,[10  2] ; [18  3],[10.18181818  1.81818182] ; [17.81818182  3.18181818],0
n6,1,0.864547,0.029101,[10  2] ; [17  4],[9.81818182 2.18181818] ; [17.18181818  3.81818182],0
s1,1,0.908893,0.013095,[ 1 11] ; [ 2 19],[ 1.09090909 10.90909091] ; [ 1.90909091 19.09090909],0
u3,1,0.913906,0.011688,[4 3] ; [6 5],[3.88888889 3.11111111] ; [6.11111111 4.88888889],0
p2,1,0.938811,0.005893,[9 3] ; [16  5],[9.09090909 2.90909091] ; [15.90909091  5.09090909],0
a5,1,0.946929,0.004431,[5 7] ; [ 9 12],[5.09090909 6.90909091] ; [ 8.90909091 12.09090909],0
