Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,85.350607,[ 29 101] ; [93 21],[65. 65.] ; [57. 57.],1
s2,1,0.0,67.498551,[ 32 103] ; [89 29],[64.56521739 70.43478261] ; [56.43478261 61.56521739],1
s6,1,0.0,47.036433,[57 75] ; [99 17],[83.03225806 48.96774194] ; [72.96774194 43.03225806],1
s3,1,0.0,33.827823,[51 83] ; [88 30],[73.91269841 60.08730159] ; [65.08730159 52.91269841],1
p3,1,1.3e-05,18.987737,[45 89] ; [72 46],[62.21428571 71.78571429] ; [54.78571429 63.21428571],1
v3,1,8.4e-05,15.466606,[36 96] ; [59 55],[50.97560976 81.02439024] ; [44.02439024 69.97560976],1
p10,1,0.000281,13.191356,[86 48] ; [98 18],[98.624 35.376] ; [85.376 30.624],1
p4,1,0.000326,12.917038,[55 77] ; [76 42],[69.168 62.832] ; [61.832 56.168],1
p6,1,0.000447,12.32275,[32 99] ; [53 63],[45.08097166 85.91902834] ; [39.91902834 76.08097166],1
d1,1,0.000478,12.20129,[49 88] ; [68 50],[62.85882353 74.14117647] ; [54.14117647 63.85882353],1
a5,1,0.000676,11.555443,[78 59] ; [91 27],[90.79607843 46.20392157] ; [78.20392157 39.79607843],1
n4,1,0.000705,11.474836,[92 45] ; [100  17],[103.55905512  33.44094488] ; [88.44094488 28.55905512],1
a3,1,0.000846,11.136983,[82 54] ; [94 24],[94.23622047 41.76377953] ; [81.76377953 36.23622047],1
r4,1,0.001023,10.786055,[106  31] ; [109   9],[115.50980392  21.49019608] ; [99.49019608 18.50980392],0
r1,1,0.001063,10.713792,[86 51] ; [96 22],[97.78039216 39.21960784] ; [84.21960784 33.78039216],0
v1,1,0.001604,9.95494,[57 78] ; [71 43],[69.39759036 65.60240964] ; [58.60240964 55.39759036],0
p8,1,0.003224,8.67591,[53 81] ; [67 48],[64.57831325 69.42168675] ; [55.42168675 59.57831325],0
d4,1,0.0039,8.329636,[89 48] ; [95 22],[99.24409449 37.75590551] ; [84.75590551 32.24409449],0
d5,1,0.005628,7.665831,[90 47] ; [95 22],[99.78346457 37.21653543] ; [85.21653543 31.78346457],0
p9,1,0.006397,7.434827,[98 36] ; [101  15],[106.664  27.336] ; [92.336 23.664],0
p12,1,0.006428,7.426251,[  3 132] ; [ 12 103],[  8.1 126.9] ; [  6.9 108.1],0
n1,1,0.007247,7.210792,[13 34] ; [18 13],[18.67948718 28.32051282] ; [12.32051282 18.67948718],0
b3,1,0.009114,6.800422,[25 54] ; [44 41],[33.23780488 45.76219512] ; [35.76219512 49.23780488],0
b2,1,0.009114,6.800422,[25 54] ; [44 41],[33.23780488 45.76219512] ; [35.76219512 49.23780488],0
d2,1,0.013686,6.078243,[55 81] ; [66 52],[64.78740157 71.21259843] ; [56.21259843 61.78740157],0
n6,1,0.014517,5.974163,[102  34] ; [102  15],[109.66007905  26.33992095] ; [94.33992095 22.66007905],0
r3,1,0.020487,5.369881,[120  17] ; [113   5],[125.18039216  11.81960784] ; [107.81960784  10.18039216],0
r2,1,0.029947,4.712354,[119  16] ; [112   5],[123.75  11.25] ; [107.25   9.75],0
n5,1,0.030849,4.661336,[95 40] ; [96 21],[102.32142857  32.67857143] ; [88.67857143 28.32142857],0
p7,1,0.036606,4.368628,[74 58] ; [80 36],[81.96774194 50.03225806] ; [72.03225806 43.96774194],0
s5,1,0.039419,4.242708,[42 90] ; [50 62],[49.7704918 82.2295082] ; [42.2295082 69.7704918],0
b1,1,0.044,4.056569,[57 80] ; [64 54],[65.00784314 71.99215686] ; [55.99215686 62.00784314],0
b4,1,0.049438,3.860404,[83 54] ; [57 61],[75.21568627 61.78431373] ; [64.78431373 53.21568627],0
a6,1,0.072359,3.228679,[64 73] ; [42 76],[56.94901961 80.05098039] ; [49.05098039 68.94901961],0
p11,1,0.114328,2.493348,[100  37] ; [96 22],[105.30196078  31.69803922] ; [90.69803922 27.30196078],0
b5,1,0.126694,2.332558,[70 67] ; [49 69],[63.93333333 73.06666667] ; [55.06666667 62.93333333],0
