Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,54.365591,[64 94] ; [128  30],[96. 62.] ; [96. 62.],1
p3,1,0.0,29.671219,[ 45 117] ; [93 68],[69.21362229 92.78637771] ; [68.78637771 92.21362229],1
p4,1,3e-06,21.981734,[64 97] ; [106  55],[85. 76.] ; [85. 76.],1
p6,1,1.2e-05,19.234513,[ 30 131] ; [66 95],[ 48. 113.] ; [ 48. 113.],1
p2,1,8.1e-05,15.540417,[119  42] ; [146  15],[132.5  28.5] ; [132.5  28.5],1
p5,1,0.001467,10.119519,[  6 156] ; [ 22 139],[ 14.04334365 147.95665635] ; [ 13.95665635 147.04334365],0
s6,1,0.008385,6.949388,[85 76] ; [105  51],[96.49842271 64.50157729] ; [93.50157729 62.49842271],0
s8,1,0.009507,6.724938,[ 47 115] ; [69 92],[ 58.17956656 103.82043344] ; [ 57.82043344 103.17956656],0
n1,1,0.0175,5.645513,[21 33] ; [ 4 25],[16.26506024 37.73493976] ; [ 8.73493976 20.26506024],0
b2,1,0.018862,5.514272,[34 59] ; [19 72],[26.78804348 66.21195652] ; [26.21195652 64.78804348],0
b3,1,0.018862,5.514272,[34 59] ; [19 72],[26.78804348 66.21195652] ; [26.21195652 64.78804348],0
p10,1,0.019412,5.463991,[123  39] ; [137  22],[131.21495327  30.78504673] ; [128.78504673  30.21495327],0
b4,1,0.02406,5.090338,[105  57] ; [85 77],[95. 67.] ; [95. 67.],0
p9,1,0.047928,3.912493,[126  36] ; [138  22],[132.81987578  29.18012422] ; [131.18012422  28.81987578],0
a4,1,0.053042,3.742596,[72 90] ; [ 55 107],[63.5 98.5] ; [63.5 98.5],0
s7,1,0.102801,2.661545,[61 97] ; [74 81],[68.14696486 89.85303514] ; [66.85303514 88.14696486],0
s2,1,0.126852,2.330609,[63 97] ; [77 84],[69.78193146 90.21806854] ; [70.21806854 90.78193146],0
v4,1,0.133775,2.248147,[146  15] ; [152   8],[149.46417445  11.53582555] ; [148.53582555  11.46417445],0
p1,1,0.140441,2.173122,[  9 152] ; [ 16 144],[ 12.53894081 148.46105919] ; [ 12.46105919 147.53894081],0
a3,1,0.164356,1.933687,[110  52] ; [98 64],[104.  58.] ; [104.  58.],0
a8,1,0.168083,1.899954,[ 14 136] ; [ 22 130],[ 17.8807947 132.1192053] ; [ 18.1192053 133.8807947],0
