Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2.7e-05,17.585496,[81 14] ; [18 18],[71.79389313 23.20610687] ; [27.20610687  8.79389313],1
p9,1,2.7e-05,17.585496,[81 14] ; [18 18],[71.79389313 23.20610687] ; [27.20610687  8.79389313],1
r3,1,0.000438,12.362939,[95  3] ; [29  8],[90.01481481  7.98518519] ; [33.98518519  3.01481481],1
v2,1,0.00058,11.838451,[75 21] ; [17 19],[66.90909091 29.09090909] ; [25.09090909 10.90909091],1
r4,1,0.001085,10.677218,[93  5] ; [28  9],[87.83703704 10.16296296] ; [33.16296296  3.83703704],0
v4,1,0.001701,9.847628,[95  3] ; [30  7],[90.74074074  7.25925926] ; [34.25925926  2.74074074],0
a3,1,0.001798,9.745101,[70 27] ; [16 21],[62.25373134 34.74626866] ; [23.74626866 13.25373134],0
p6,1,0.001854,9.688331,[40 55] ; [ 5 32],[32.38636364 62.61363636] ; [12.61363636 24.38636364],0
r1,1,0.004465,8.084371,[83 15] ; [23 14],[76.94814815 21.05185185] ; [29.05185185  7.94814815],0
p3,1,0.005325,7.765573,[57 39] ; [12 25],[49.80451128 46.19548872] ; [19.19548872 17.80451128],0
n6,1,0.006209,7.488484,[86 12] ; [25 12],[80.57777778 17.42222222] ; [30.42222222  6.57777778],0
p7,1,0.009456,6.73453,[66 28] ; [17 20],[59.55725191 34.44274809] ; [23.44274809 13.55725191],0
p2,1,0.013967,6.042262,[77 19] ; [22 15],[71.45864662 24.54135338] ; [27.54135338  9.45864662],0
s7,1,0.031836,4.607308,[51 38] ; [13 23],[45.568 43.432] ; [18.432 17.568],0
v1,1,0.042003,4.135092,[62 33] ; [17 20],[56.85606061 38.14393939] ; [22.14393939 14.85606061],0
b1,1,0.068483,3.319022,[36 62] ; [20 17],[40.65185185 57.34814815] ; [15.34814815 21.65185185],0
a6,1,0.120154,2.415307,[59 38] ; [17 20],[55.01492537 41.98507463] ; [20.98507463 16.01492537],0
s8,1,0.123444,2.373068,[43 54] ; [11 26],[39.08955224 57.91044776] ; [14.91044776 22.08955224],0
p8,1,0.159013,1.983584,[52 44] ; [15 22],[48.36090226 47.63909774] ; [18.63909774 18.36090226],0
a4,1,0.162813,1.947907,[27 70] ; [ 6 31],[23.8880597 73.1119403] ; [ 9.1119403 27.8880597],0
a2,1,0.199659,1.64487,[ 9 89] ; [ 1 36],[ 7.25925926 90.74074074] ; [ 2.74074074 34.25925926],0
s1,1,0.205898,1.600039,[ 3 92] ; [ 3 33],[ 4.35114504 90.64885496] ; [ 1.64885496 34.35114504],0
n5,1,0.207963,1.585548,[78 19] ; [26 11],[75.28358209 21.71641791] ; [28.71641791  8.28358209],0
n4,1,0.207963,1.585548,[78 19] ; [26 11],[75.28358209 21.71641791] ; [28.71641791  8.28358209],0
s3,1,0.232596,1.424916,[51 42] ; [16 21],[47.93076923 45.06923077] ; [19.06923077 17.93076923],0
p4,1,0.24564,1.347932,[53 42] ; [16 20],[50.03816794 44.96183206] ; [18.96183206 17.03816794],0
u2,1,0.281374,1.16044,[17 11] ; [ 9 11],[15.16666667 12.83333333] ; [10.83333333  9.16666667],0
n2,1,0.317311,1.0,[14  4] ; [11  1],[15.  3.] ; [10.  2.],0
d3,1,0.320204,0.988113,[38 59] ; [18 19],[40.53731343 56.46268657] ; [15.46268657 21.53731343],0
a8,1,0.341134,0.906166,[10 82] ; [ 6 29],[11.59055118 80.40944882] ; [ 4.40944882 30.59055118],0
a1,1,0.346636,0.885735,[ 4 94] ; [ 3 34],[ 5.08148148 92.91851852] ; [ 1.91851852 35.08148148],0
u3,1,0.406405,0.689292,[16 12] ; [ 9 11],[14.58333333 13.41666667] ; [10.41666667  9.58333333],0
d2,1,0.409491,0.680277,[13 85] ; [ 7 30],[14.51851852 83.48148148] ; [ 5.48148148 31.51851852],0
b4,1,0.431213,0.619554,[59 39] ; [25 12],[60.97777778 37.02222222] ; [23.02222222 13.97777778],0
a5,1,0.445306,0.582572,[62 35] ; [21 16],[60.08208955 36.91791045] ; [22.91791045 14.08208955],0
s4,1,0.47306,0.514819,[12 84] ; [ 3 34],[10.82706767 85.17293233] ; [ 4.17293233 32.82706767],0
n1,1,0.473701,0.51333,[9 9] ; [4 7],[8.06896552 9.93103448] ; [4.93103448 6.06896552],0
r2,1,0.509362,0.435377,[93  5] ; [34  3],[92.19259259  5.80740741] ; [34.80740741  2.19259259],0
b5,1,0.574869,0.314603,[53 45] ; [22 15],[54.44444444 43.55555556] ; [20.55555556 16.44444444],0
p5,1,0.654963,0.1997,[16 80] ; [ 5 32],[15.15789474 80.84210526] ; [ 5.84210526 31.15789474],0
b2,1,0.70378,0.14457,[26 37] ; [7 8],[26.65384615 36.34615385] ; [6.34615385 8.65384615],0
b3,1,0.70378,0.14457,[26 37] ; [7 8],[26.65384615 36.34615385] ; [6.34615385 8.65384615],0
n3,1,0.757782,0.095107,[14  4] ; [8 3],[13.65517241  4.34482759] ; [8.34482759 2.65517241],0
s6,1,0.765319,0.089104,[62 31] ; [23 13],[61.27906977 31.72093023] ; [23.72093023 12.27906977],0
s5,1,0.779525,0.078365,[30 63] ; [11 26],[29.33076923 63.66923077] ; [11.66923077 25.33076923],0
p1,1,0.788437,0.072007,[12 84] ; [ 4 33],[11.54887218 84.45112782] ; [ 4.45112782 32.54887218],0
d4,1,0.856159,0.032857,[56 41] ; [22 15],[56.46268657 40.53731343] ; [21.53731343 15.46268657],0
d5,1,0.913097,0.01191,[54 44] ; [20 17],[53.71851852 44.28148148] ; [20.28148148 16.71851852],0
s2,1,0.939651,0.005732,[46 50] ; [18 19],[46.19548872 49.80451128] ; [17.80451128 19.19548872],0
a7,1,0.971246,0.001299,[60 36] ; [23 14],[59.90977444 36.09022556] ; [23.09022556 13.90977444],0
