Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,5.5e-05,16.271963,[32 39] ; [104  38],[45.33333333 25.66666667] ; [90.66666667 51.33333333],1
d4,1,8.9e-05,15.363237,[35 36] ; [108  34],[47.66666667 23.33333333] ; [95.33333333 46.66666667],1
a6,1,0.000155,14.307234,[21 50] ; [81 61],[34. 37.] ; [68. 74.],1
d3,1,0.000209,13.748078,[27 44] ; [92 50],[39.66666667 31.33333333] ; [79.33333333 62.66666667],1
r4,1,0.001081,10.684189,[51 20] ; [127  15],[59.33333333 11.66666667] ; [118.66666667  23.33333333],0
r3,1,0.001857,9.685944,[61 10] ; [137   4],[66.31132075  4.68867925] ; [131.68867925   9.31132075],0
d1,1,0.002579,9.083824,[13 58] ; [55 87],[22.66666667 48.33333333] ; [45.33333333 96.66666667],0
r2,1,0.002804,8.930549,[56 14] ; [132   9],[62.36966825  7.63033175] ; [125.63033175  15.36966825],0
p3,1,0.004188,8.200559,[19 52] ; [67 75],[28.66666667 42.33333333] ; [57.33333333 84.66666667],0
n3,1,0.004801,7.952796,[11 12] ; [26  5],[15.75925926  7.24074074] ; [21.24074074  9.75925926],0
v4,1,0.010557,6.538416,[61 10] ; [135   6],[65.64150943  5.35849057] ; [130.35849057  10.64150943],0
r1,1,0.03621,4.387197,[39 32] ; [98 43],[45.88207547 25.11792453] ; [91.11792453 49.88207547],0
u3,1,0.067032,3.354244,[15 25] ; [40 32],[19.64285714 20.35714286] ; [35.35714286 36.64285714],0
p2,1,0.071665,3.24447,[49 22] ; [113  28],[54.25471698 16.74528302] ; [107.74528302  33.25471698],0
u2,1,0.077749,3.111332,[15 25] ; [39 32],[19.45945946 20.54054054] ; [34.54054054 36.45945946],0
b1,1,0.124452,2.360372,[29 42] ; [43 99],[24. 47.] ; [48. 94.],0
v3,1,0.140824,2.168931,[20 49] ; [54 83],[24.78640777 44.21359223] ; [49.21359223 87.78640777],0
p10,1,0.14465,2.127782,[46 25] ; [102  35],[50.51923077 20.48076923] ; [97.48076923 39.51923077],0
b3,1,0.151915,2.052913,[ 8 35] ; [23 52],[11.29661017 31.70338983] ; [19.70338983 55.29661017],0
b2,1,0.151915,2.052913,[ 8 35] ; [23 52],[11.29661017 31.70338983] ; [19.70338983 55.29661017],0
d2,1,0.173063,1.856209,[21 50] ; [ 30 112],[17. 54.] ; [ 34. 108.],0
p11,1,0.181394,1.786164,[49 22] ; [110  32],[53. 18.] ; [106.  36.],0
s6,1,0.200395,1.639493,[37 32] ; [88 52],[41.26794258 27.73205742] ; [83.73205742 56.26794258],0
v2,1,0.202656,1.623128,[26 40] ; [67 70],[30.2364532 35.7635468] ; [62.7635468 74.2364532],0
