Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,4.5e-05,16.654946,[ 8 39] ; [32 25],[18.07692308 28.92307692] ; [21.92307692 35.07692308],1
s3,1,9.1e-05,15.317707,[15 31] ; [40 16],[24.80392157 21.19607843] ; [30.19607843 25.80392157],1
s2,1,0.000765,11.323391,[10 36] ; [31 26],[18.31067961 27.68932039] ; [22.68932039 34.31067961],1
s5,1,0.002553,9.102217,[ 3 43] ; [17 39],[ 9.01960784 36.98039216] ; [10.98039216 45.01960784],0
d1,1,0.013492,6.103477,[15 32] ; [32 25],[21.24038462 25.75961538] ; [25.75961538 31.24038462],0
s7,1,0.033169,4.537037,[10 32] ; [25 31],[15. 27.] ; [20. 36.],0
u2,1,0.066489,3.367641,[9 6] ; [19  3],[11.35135135  3.64864865] ; [16.64864865  5.35135135],0
p10,1,0.074405,3.183075,[29 17] ; [45 12],[33.04854369 12.95145631] ; [40.95145631 16.04854369],0
n3,1,0.100582,2.696287,[11  2] ; [9 7],[8.96551724 4.03448276] ; [11.03448276  4.96551724],0
s4,1,0.119131,2.428707,[ 4 43] ; [11 46],[ 6.77884615 40.22115385] ; [ 8.22115385 48.77884615],0
p9,1,0.140248,2.17524,[33 14] ; [47 10],[36.15384615 10.84615385] ; [43.84615385 13.15384615],0
d2,1,0.175751,1.833188,[13 34] ; [23 34],[16.26923077 30.73076923] ; [19.73076923 37.26923077],0
p7,1,0.208136,1.584346,[25 20] ; [36 17],[28.01020408 16.98979592] ; [32.98979592 20.01020408],0
u1,1,0.232312,1.426652,[ 2 45] ; [ 6 51],[ 3.61538462 43.38461538] ; [ 4.38461538 52.61538462],0
n5,1,0.234086,1.415859,[18 28] ; [29 28],[20.99029126 25.00970874] ; [26.00970874 30.99029126],0
a2,1,0.263973,1.2478,[ 4 43] ; [ 9 48],[ 5.875 41.125] ; [ 7.125 49.875],0
v3,1,0.268868,1.222514,[14 32] ; [11 42],[11.61616162 34.38383838] ; [13.38383838 39.61616162],0
v4,1,0.302821,1.061728,[41  5] ; [53  3],[42.39215686  3.60784314] ; [51.60784314  4.39215686],0
d4,1,0.305933,1.048152,[33 14] ; [45 12],[35.25 11.75] ; [42.75 14.25],0
a6,1,0.348314,0.879591,[28 19] ; [39 18],[30.27884615 16.72115385] ; [36.72115385 20.27884615],0
b2,1,0.355573,0.853469,[ 5 19] ; [12 26],[ 6.58064516 17.41935484] ; [10.41935484 27.58064516],0
b3,1,0.355573,0.853469,[ 5 19] ; [12 26],[ 6.58064516 17.41935484] ; [10.41935484 27.58064516],0
a4,1,0.377079,0.780203,[17 30] ; [16 41],[14.91346154 32.08653846] ; [18.08653846 38.91346154],0
p8,1,0.380656,0.768581,[19 27] ; [28 28],[21.19607843 24.80392157] ; [25.80392157 30.19607843],0
p2,1,0.392103,0.732411,[34 11] ; [47 10],[35.73529412  9.26470588] ; [45.26470588 11.73529412],0
r2,1,0.402267,0.70154,[42  5] ; [46  9],[40.54901961  6.45098039] ; [47.45098039  7.54901961],0
