Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2e-06,22.426043,[ 57 217] ; [21 16],[ 68.72025723 205.27974277] ; [ 9.27974277 27.72025723],1
p12,1,5e-06,20.843844,[  9 269] ; [ 8 30],[ 14.9556962 263.0443038] ; [ 2.0443038 35.9556962],1
p3,1,0.002592,9.074657,[128 150] ; [28 11],[136.80757098 141.19242902] ; [19.19242902 19.80757098],0
p4,1,0.008354,6.955998,[159 118] ; [31  8],[166.55063291 110.44936709] ; [23.44936709 15.55063291],0
v3,1,0.011562,6.37688,[ 96 176] ; [21 16],[102.99029126 169.00970874] ; [14.00970874 22.99029126],0
r2,1,0.017297,5.665954,[252  23] ; [31  8],[247.85031847  27.14968153] ; [35.14968153  3.85031847],0
a1,1,0.023752,5.112682,[  8 270] ; [ 4 35],[ 10.52365931 267.47634069] ; [ 1.47634069 37.52365931],0
p7,1,0.028411,4.802976,[169 106] ; [31  8],[175.15923567  99.84076433] ; [24.84076433 14.15923567],0
u2,1,0.030136,4.701534,[50 42] ; [9 1],[53.21568627 38.78431373] ; [5.78431373 4.21568627],0
b4,1,0.03924,4.250462,[151 127] ; [28 11],[156.97791798 121.02208202] ; [22.02208202 16.97791798],0
p8,1,0.046757,3.954098,[150 123] ; [28 11],[155.75 117.25] ; [22.25 16.75],0
b3,1,0.060869,3.513555,[55 96] ; [15 12],[59.38202247 91.61797753] ; [10.61797753 16.38202247],0
b2,1,0.060869,3.513555,[55 96] ; [15 12],[59.38202247 91.61797753] ; [10.61797753 16.38202247],0
p6,1,0.080489,3.054995,[ 91 185] ; [18 20],[ 95.8089172 180.1910828] ; [13.1910828 24.8089172],0
s6,1,0.080625,3.052248,[126 150] ; [22 14],[130.92307692 145.07692308] ; [17.07692308 18.92307692],0
p1,1,0.080873,3.04726,[ 20 258] ; [ 6 33],[ 22.80126183 255.19873817] ; [ 3.19873817 35.80126183],0
p11,1,0.088985,2.892641,[226  52] ; [36  3],[229.76656151  48.23343849] ; [32.23343849  6.76656151],0
s7,1,0.129958,2.293008,[ 80 185] ; [15 20],[ 83.91666667 181.08333333] ; [11.08333333 23.91666667],0
a5,1,0.1304,2.287737,[204  74] ; [33  6],[207.84227129  70.15772871] ; [29.15772871  9.84227129],0
b1,1,0.151313,2.058965,[ 89 189] ; [17 22],[ 92.95899054 185.04100946] ; [13.04100946 25.95899054],0
