Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2e-06,22.524145,[54 11] ; [ 2 10],[47.27272727 17.72727273] ; [8.72727273 3.27272727],1
d5,1,3e-05,17.404852,[59  6] ; [5 7],[54.02597403 10.97402597] ; [9.97402597 2.02597403],1
a5,1,0.003245,8.664336,[53 12] ; [5 7],[48.96103896 16.03896104] ; [9.03896104 2.96103896],0
r4,1,0.004631,8.018365,[63  2] ; [9 3],[60.77922078  4.22077922] ; [11.22077922  0.77922078],0
a3,1,0.012994,6.169872,[50 15] ; [5 7],[46.42857143 18.57142857] ; [8.57142857 3.42857143],0
d2,1,0.025274,5.005,[39 26] ; [3 9],[35.45454545 29.54545455] ; [6.54545455 5.45454545],0
p3,1,0.032802,4.556074,[38 27] ; [3 9],[34.61038961 30.38961039] ; [6.38961039 5.61038961],0
v1,1,0.032802,4.556074,[38 27] ; [3 9],[34.61038961 30.38961039] ; [6.38961039 5.61038961],0
r3,1,0.053879,3.716435,[62  2] ; [10  2],[60.63157895  3.36842105] ; [11.36842105  0.63157895],0
n5,1,0.076038,3.147608,[43 22] ; [11  1],[45.58441558 19.41558442] ; [8.41558442 3.58441558],0
r1,1,0.103232,2.654881,[52 13] ; [7 5],[49.80519481 15.19480519] ; [9.19480519 2.80519481],0
b5,1,0.108233,2.579829,[38 27] ; [4 8],[35.45454545 29.54545455] ; [6.54545455 5.45454545],0
v2,1,0.113137,2.50984,[34 30] ; [3 8],[31.57333333 32.42666667] ; [5.42666667 5.57333333],0
p6,1,0.118477,2.43734,[37 27] ; [4 8],[34.52631579 29.47368421] ; [6.47368421 5.52631579],0
a4,1,0.132381,2.26436,[37 28] ; [4 8],[34.61038961 30.38961039] ; [6.38961039 5.61038961],0
p4,1,0.19558,1.675078,[45 20] ; [6 6],[43.05194805 21.94805195] ; [7.94805195 4.05194805],0
p12,1,0.211934,1.558168,[ 4 61] ; [ 2 10],[ 5.06493506 59.93506494] ; [ 0.93506494 11.06493506],0
a6,1,0.281724,1.158754,[38 27] ; [5 7],[36.2987013 28.7012987] ; [6.7012987 5.2987013],0
u1,1,0.288603,1.126128,[14 51] ; [ 1 11],[12.66233766 52.33766234] ; [2.33766234 9.66233766],0
p9,1,0.330388,0.947378,[59  5] ; [10  2],[58.10526316  5.89473684] ; [10.89473684  1.10526316],0
a7,1,0.337042,0.921651,[42 23] ; [6 6],[40.51948052 24.48051948] ; [7.48051948 4.51948052],0
b1,1,0.373113,0.793269,[25 40] ; [3 9],[23.63636364 41.36363636] ; [4.36363636 7.63636364],0
p7,1,0.377297,0.77949,[44 18] ; [10  2],[45.24324324 16.75675676] ; [8.75675676 3.24324324],0
r2,1,0.387269,0.747499,[63  2] ; [11  1],[62.46753247  2.53246753] ; [11.53246753  0.46753247],0
n3,1,0.393921,0.726803,[11  6] ; [5 1],[11.82608696  5.17391304] ; [4.17391304 1.82608696],0
n1,1,0.393921,0.726803,[ 6 11] ; [1 5],[ 5.17391304 11.82608696] ; [1.82608696 4.17391304],0
n4,1,0.426457,0.632453,[41 24] ; [9 3],[42.20779221 22.79220779] ; [7.79220779 4.20779221],0
u2,1,0.451967,0.565714,[6 9] ; [4 3],[6.81818182 8.18181818] ; [3.18181818 3.81818182],0
v3,1,0.463631,0.537115,[23 41] ; [3 9],[21.89473684 42.10526316] ; [4.10526316 7.89473684],0
s8,1,0.518396,0.417083,[39 26] ; [6 6],[37.98701299 27.01298701] ; [7.01298701 4.98701299],0
s3,1,0.549999,0.357318,[49 16] ; [10  2],[49.80519481 15.19480519] ; [9.19480519 2.80519481],0
p1,1,0.559069,0.341319,[ 7 58] ; [ 2 10],[ 7.5974026 57.4025974] ; [ 1.4025974 10.5974026],0
s1,1,0.593883,0.284321,[ 3 62] ; [ 1 11],[ 3.37662338 61.62337662] ; [ 0.62337662 11.37662338],0
b4,1,0.615565,0.25215,[44 21] ; [9 3],[44.74025974 20.25974026] ; [8.25974026 3.74025974],0
u3,1,0.665362,0.187075,[10  5] ; [4 3],[9.54545455 5.45454545] ; [4.45454545 2.54545455],0
p11,1,0.68828,0.160953,[45 20] ; [9 3],[45.58441558 19.41558442] ; [8.41558442 3.58441558],0
p8,1,0.704831,0.143495,[33 30] ; [7 5],[33.6 29.4] ; [6.4 5.6],0
s2,1,0.788797,0.071756,[52 13] ; [10  2],[52.33766234 12.66233766] ; [9.66233766 2.33766234],0
p2,1,0.790531,0.070554,[51 14] ; [9 3],[50.64935065 14.35064935] ; [9.35064935 2.64935065],0
p10,1,0.797535,0.065812,[56  9] ; [10  2],[55.71428571  9.28571429] ; [10.28571429  1.71428571],0
p5,1,0.799428,0.06456,[ 7 58] ; [ 1 11],[ 6.75324675 58.24675325] ; [ 1.24675325 10.75324675],0
s7,1,0.804894,0.061018,[48 15] ; [8 3],[47.67567568 15.32432432] ; [8.32432432 2.67567568],0
n6,1,0.910427,0.012656,[55 10] ; [10  2],[54.87012987 10.12987013] ; [10.12987013  1.87012987],0
