Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,45.584952,[73 15] ; [10 34],[55.33333333 32.66666667] ; [27.66666667 16.33333333],1
n6,1,2e-06,23.013788,[81  7] ; [25 19],[70.66666667 17.33333333] ; [35.33333333  8.66666667],1
a3,1,0.002901,8.868664,[62 24] ; [20 24],[54.24615385 31.75384615] ; [27.75384615 16.24615385],0
a8,1,0.002979,8.820413,[19 60] ; [ 1 39],[13.27731092 65.72268908] ; [ 6.72268908 33.27731092],0
s7,1,0.003025,8.792582,[43 42] ; [10 33],[35.1953125 49.8046875] ; [17.8046875 25.1953125],0
a4,1,0.003367,8.597209,[36 51] ; [ 7 37],[28.55725191 58.44274809] ; [14.44274809 29.55725191],0
a5,1,0.019434,5.462069,[64 24] ; [23 21],[58. 30.] ; [29. 15.],0
a2,1,0.023114,5.159952,[20 68] ; [ 3 41],[15.33333333 72.66666667] ; [ 7.66666667 36.33333333],0
v4,1,0.025375,4.998123,[86  2] ; [38  5],[83.29770992  4.70229008] ; [40.70229008  2.29770992],0
v3,1,0.061225,3.50388,[34 54] ; [ 9 32],[29.33333333 58.66666667] ; [13.66666667 27.33333333],0
b1,1,0.067577,3.340909,[34 54] ; [10 34],[29.33333333 58.66666667] ; [14.66666667 29.33333333],0
d2,1,0.075689,3.155122,[38 50] ; [12 32],[33.33333333 54.66666667] ; [16.66666667 27.33333333],0
a7,1,0.097254,2.75,[60 28] ; [36  8],[64. 24.] ; [32. 12.],0
p7,1,0.101506,2.681719,[64 23] ; [23 16],[60.07142857 26.92857143] ; [26.92857143 12.07142857],0
r2,1,0.148196,2.090723,[83  4] ; [39  5],[81.02290076  5.97709924] ; [40.97709924  3.02290076],0
p5,1,0.150584,2.066321,[ 8 80] ; [ 1 42],[ 6.04580153 81.95419847] ; [ 2.95419847 40.04580153],0
n2,1,0.151317,2.058924,[18  3] ; [7 4],[16.40625  4.59375] ; [8.59375 2.40625],0
p1,1,0.152955,2.042532,[11 76] ; [ 2 41],[ 8.7 78.3] ; [ 4.3 38.7],0
r3,1,0.169686,1.885714,[85  3] ; [40  4],[83.33333333  4.66666667] ; [41.66666667  2.33333333],0
u1,1,0.186828,1.742457,[13 75] ; [ 3 41],[10.66666667 77.33333333] ; [ 5.33333333 38.66666667],0
r1,1,0.214003,1.544138,[68 19] ; [30 14],[65.08396947 21.91603053] ; [32.91603053 11.08396947],0
r4,1,0.244607,1.353846,[80  8] ; [37  7],[78. 10.] ; [39.  5.],0
p9,1,0.251797,1.313305,[75 11] ; [35  9],[72.76923077 13.23076923] ; [37.23076923  6.76923077],0
p10,1,0.263361,1.251002,[72 15] ; [32 11],[69.6 17.4] ; [34.4  8.6],0
