Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,135.111111,[35 60] ; [265  20],[75. 20.] ; [225.  60.],1
p11,1,0.0,44.214481,[48 52] ; [235  51],[73.31606218 26.68393782] ; [209.68393782  76.31606218],1
p2,1,0.0,28.607698,[63 37] ; [249  36],[81.03896104 18.96103896] ; [230.96103896  54.03896104],1
p8,1,1e-06,23.923961,[27 72] ; [159 126],[47.953125 51.046875] ; [138.046875 146.953125],1
p4,1,1.4e-05,18.89841,[37 63] ; [177 108],[55.58441558 44.41558442] ; [158.41558442 126.58441558],1
s8,1,2.5e-05,17.790459,[20 78] ; [127 159],[37.515625 60.484375] ; [109.484375 176.515625],1
s2,1,4.2e-05,16.800027,[29 70] ; [151 133],[46.52741514 52.47258486] ; [133.47258486 150.52741514],1
n6,1,0.000103,15.075814,[68 32] ; [245  41],[81.0880829 18.9119171] ; [231.9119171  54.0880829],1
s6,1,0.000157,14.288239,[47 51] ; [194  86],[62.48148148 35.51851852] ; [178.51851852 101.48148148],1
s5,1,0.000393,12.566425,[16 80] ; [100 177],[29.85522788 66.14477212] ; [ 86.14477212 190.85522788],1
s7,1,0.001273,10.380619,[28 66] ; [134 140],[41.38043478 52.61956522] ; [120.61956522 153.38043478],0
p7,1,0.001716,9.831144,[44 56] ; [172 105],[57.29442971 42.70557029] ; [158.70557029 118.29442971],0
n5,1,0.002307,9.287822,[59 41] ; [214  71],[70.90909091 29.09090909] ; [202.09090909  82.90909091],0
v1,1,0.005735,7.631742,[26 73] ; [117 162],[37.45238095 61.54761905] ; [105.54761905 173.45238095],0
d1,1,0.014525,5.973177,[40 60] ; [155 131],[50.51813472 49.48186528] ; [144.48186528 141.51813472],0
p6,1,0.01546,5.863245,[24 76] ; [106 178],[33.85416667 66.14583333] ; [ 96.14583333 187.85416667],0
n4,1,0.019566,5.450173,[63 37] ; [215  71],[72.02072539 27.97927461] ; [205.97927461  80.02072539],0
p3,1,0.026024,4.954427,[34 66] ; [133 151],[43.48958333 56.51041667] ; [123.51041667 160.48958333],0
r2,1,0.031259,4.6387,[88 11] ; [271  14],[92.5546875  6.4453125] ; [266.4453125  18.5546875],0
d4,1,0.031773,4.610679,[68 31] ; [226  59],[75.796875 23.203125] ; [218.203125  66.796875],0
p12,1,0.035983,4.39793,[ 1 98] ; [ 18 267],[ 4.8984375 94.1015625] ; [ 14.1015625 270.8984375],0
s3,1,0.03679,4.360113,[45 54] ; [163 120],[53.90575916 45.09424084] ; [154.09424084 128.90575916],0
d3,1,0.038462,4.284484,[54 45] ; [188  96],[62.5535248 36.4464752] ; [179.4464752 104.5535248],0
d5,1,0.052983,3.744458,[67 32] ; [220  64],[74.18537859 24.81462141] ; [212.81462141  71.18537859],0
a7,1,0.055767,3.658992,[59 41] ; [198  87],[66.75324675 33.24675325] ; [190.24675325  94.75324675],0
a6,1,0.0731,3.211997,[54 45] ; [185 101],[61.45714286 37.54285714] ; [177.54285714 108.45714286],0
a5,1,0.075443,3.160433,[58 42] ; [194  92],[65.28497409 34.71502591] ; [186.71502591  99.28497409],0
u2,1,0.076255,3.142973,[20 24] ; [59 37],[24.82857143 19.17142857] ; [54.17142857 41.82857143],0
b1,1,0.088483,2.901758,[50 50] ; [115 171],[42.74611399 57.25388601] ; [122.25388601 163.74611399],0
s1,1,0.096859,2.756511,[ 8 91] ; [ 11 273],[ 4.91122715 94.08877285] ; [ 14.08877285 269.91122715],0
a3,1,0.102758,2.662201,[56 42] ; [189  96],[62.68929504 35.31070496] ; [182.31070496 102.68929504],0
r3,1,0.154595,2.026316,[88 12] ; [264  21],[91.42857143  8.57142857] ; [260.57142857  24.42857143],0
n3,1,0.221065,1.497445,[23 16] ; [48 20],[25.87850467 13.12149533] ; [45.12149533 22.87850467],0
u4,1,0.268906,1.222317,[ 2 98] ; [  2 284],[ 1.03626943 98.96373057] ; [  2.96373057 283.03626943],0
p5,1,0.304122,1.056032,[ 8 92] ; [ 33 249],[10.73298429 89.26701571] ; [ 30.26701571 251.73298429],0
r4,1,0.315763,1.006414,[85 15] ; [254  32],[87.8238342 12.1761658] ; [251.1761658  34.8238342],0
n2,1,0.322005,0.980785,[28 14] ; [52 17],[30.27027027 11.72972973] ; [49.72972973 19.27027027],0
r1,1,0.392343,0.731669,[69 30] ; [212  74],[72.25714286 26.74285714] ; [208.74285714  77.25714286],0
p1,1,0.41148,0.67452,[ 6 92] ; [ 25 261],[ 7.91145833 90.08854167] ; [ 23.08854167 262.91145833],0
s4,1,0.449099,0.572924,[18 80] ; [ 62 220],[20.63157895 77.36842105] ; [ 59.36842105 222.63157895],0
a1,1,0.503082,0.448428,[ 5 95] ; [ 10 276],[ 3.88601036 96.11398964] ; [ 11.11398964 274.88601036],0
d2,1,0.527381,0.399436,[46 53] ; [122 163],[43.3125 55.6875] ; [124.6875 160.3125],0
b2,1,0.538427,0.378463,[21 46] ; [ 58 105],[23.01304348 43.98695652] ; [ 55.98695652 107.01304348],0
b3,1,0.538427,0.378463,[21 46] ; [ 58 105],[23.01304348 43.98695652] ; [ 55.98695652 107.01304348],0
u3,1,0.552119,0.353535,[28 16] ; [56 40],[26.4 17.6] ; [57.6 38.4],0
a2,1,0.621673,0.243524,[18 82] ; [ 58 228],[19.68911917 80.31088083] ; [ 56.31088083 229.68911917],0
a4,1,0.651428,0.204105,[40 59] ; [123 163],[41.91428571 57.08571429] ; [121.08571429 164.91428571],0
b5,1,0.657522,0.196547,[63 37] ; [173 113],[61.13989637 38.86010363] ; [174.86010363 111.13989637],0
u1,1,0.66829,0.183609,[15 85] ; [ 38 248],[13.73056995 86.26943005] ; [ 39.26943005 246.73056995],0
b4,1,0.761009,0.092511,[57 43] ; [158 128],[55.69948187 44.30051813] ; [159.30051813 126.69948187],0
