Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,23.303704,[34 38] ; [31  1],[45. 27.] ; [20. 12.],1
p6,1,9e-06,19.812561,[10 61] ; [18 14],[19.30097087 51.69902913] ; [ 8.69902913 23.30097087],1
s4,1,3.7e-05,17.024302,[ 8 63] ; [15 16],[16.00980392 54.99019608] ; [ 6.99019608 24.00980392],1
p12,1,0.000105,15.048767,[ 2 70] ; [ 9 23],[ 7.61538462 64.38461538] ; [ 3.38461538 28.61538462],1
s2,1,0.001688,9.860741,[30 42] ; [24  8],[37.38461538 34.61538462] ; [16.61538462 15.38461538],0
s8,1,0.007157,7.233108,[28 44] ; [21 10],[34.25242718 37.74757282] ; [14.74757282 16.25242718],0
a5,1,0.010097,6.617764,[45 27] ; [28  4],[50.53846154 21.46153846] ; [22.46153846  9.53846154],0
p1,1,0.012503,6.23808,[ 4 68] ; [ 7 25],[ 7.61538462 64.38461538] ; [ 3.38461538 28.61538462],0
v1,1,0.013116,6.153425,[27 42] ; [21 11],[32.79207921 36.20792079] ; [15.20792079 16.79207921],0
r4,1,0.020882,5.336648,[57 15] ; [31  1],[60.92307692 11.07692308] ; [27.07692308  4.92307692],0
v2,1,0.030173,4.699422,[33 35] ; [21  8],[37.8556701 30.1443299] ; [16.1443299 12.8556701],0
p5,1,0.04259,4.11162,[ 4 65] ; [ 6 26],[ 6.83168317 62.16831683] ; [ 3.16831683 28.83168317],0
s7,1,0.045826,3.987987,[27 41] ; [19 12],[31.5959596 36.4040404] ; [14.4040404 16.5959596],0
p7,1,0.066082,3.377757,[23 45] ; [17 15],[27.2 40.8] ; [12.8 19.2],0
n6,1,0.077416,3.118327,[51 21] ; [27  4],[54.52427184 17.47572816] ; [23.47572816  7.52427184],0
v4,1,0.099483,2.713805,[62 10] ; [31  1],[64.38461538  7.61538462] ; [28.61538462  3.38461538],0
s3,1,0.121723,2.39501,[34 37] ; [20 11],[37.58823529 33.41176471] ; [16.41176471 14.58823529],0
r2,1,0.129755,2.295437,[62  9] ; [31  1],[64.10679612  6.89320388] ; [28.89320388  3.10679612],0
p8,1,0.146556,2.107735,[19 53] ; [13 19],[22.15384615 49.84615385] ; [ 9.84615385 22.15384615],0
p10,1,0.153987,2.0323,[57 15] ; [29  3],[59.53846154 12.46153846] ; [26.46153846  5.53846154],0
p4,1,0.21739,1.52152,[23 48] ; [14 17],[25.75490196 45.24509804] ; [11.24509804 19.75490196],0
u2,1,0.243537,1.36,[14 11] ; [3 6],[12.5 12.5] ; [4.5 4.5],0
b5,1,0.245779,1.347138,[49 23] ; [18 14],[46.38461538 25.61538462] ; [20.61538462 11.38461538],0
n1,1,0.283274,1.151316,[15 10] ; [4 6],[13.57142857 11.42857143] ; [5.42857143 4.57142857],0
u3,1,0.33602,0.925556,[12 13] ; [6 3],[13.23529412 11.76470588] ; [4.76470588 4.23529412],0
d3,1,0.341597,0.904428,[41 30] ; [21 10],[43.15686275 27.84313725] ; [18.84313725 12.15686275],0
n3,1,0.343857,0.896,[19  6] ; [6 4],[17.85714286  7.14285714] ; [7.14285714 2.85714286],0
d4,1,0.347472,0.882667,[51 20] ; [25  6],[52.90196078 18.09803922] ; [23.09803922  7.90196078],0
u1,1,0.387592,0.746483,[14 58] ; [ 4 28],[12.46153846 59.53846154] ; [ 5.53846154 26.46153846],0
b4,1,0.405018,0.693378,[41 31] ; [21 11],[42.92307692 29.07692308] ; [19.07692308 12.92307692],0
r3,1,0.437677,0.602364,[64  8] ; [30  2],[65.07692308  6.92307692] ; [28.92307692  3.07692308],0
u4,1,0.440691,0.594482,[ 5 67] ; [ 1 31],[ 4.15384615 67.84615385] ; [ 1.84615385 30.15384615],0
v3,1,0.456422,0.554656,[25 43] ; [13 16],[26.63917526 41.36082474] ; [11.36082474 17.63917526],0
r1,1,0.474866,0.51063,[49 23] ; [24  8],[50.53846154 21.46153846] ; [22.46153846  9.53846154],0
n2,1,0.541193,0.373333,[22  3] ; [8 2],[21.42857143  3.57142857] ; [8.57142857 1.42857143],0
a3,1,0.567677,0.326585,[47 24] ; [23  9],[48.25242718 22.74757282] ; [21.74757282 10.25242718],0
a2,1,0.581429,0.30393,[17 55] ; [ 6 26],[15.92307692 56.07692308] ; [ 7.07692308 24.92307692],0
d5,1,0.597471,0.278828,[49 22] ; [23  8],[50.11764706 20.88235294] ; [21.88235294  9.11764706],0
p3,1,0.599663,0.275504,[24 48] ; [12 19],[25.16504854 46.83495146] ; [10.83495146 20.16504854],0
a8,1,0.601515,0.272717,[ 7 62] ; [ 4 25],[ 7.74489796 61.25510204] ; [ 3.25510204 25.74489796],0
d1,1,0.621598,0.243628,[39 33] ; [19 13],[40.15384615 31.84615385] ; [17.84615385 14.15384615],0
a4,1,0.622712,0.242075,[34 37] ; [17 15],[35.15533981 35.84466019] ; [15.84466019 16.15533981],0
b3,1,0.65885,0.194923,[17 31] ; [ 9 13],[17.82857143 30.17142857] ; [ 8.17142857 13.82857143],0
b2,1,0.65885,0.194923,[17 31] ; [ 9 13],[17.82857143 30.17142857] ; [ 8.17142857 13.82857143],0
d2,1,0.729198,0.119849,[34 37] ; [16 15],[34.80392157 36.19607843] ; [15.19607843 15.80392157],0
n5,1,0.767139,0.087686,[53 18] ; [23  9],[52.38834951 18.61165049] ; [23.61165049  8.38834951],0
