Feature,DoF,P Value,Chi Square,Is Significant
p5,1,0.000535,11.988101,1
a1,1,0.005381,7.74663,0
s8,1,0.005701,7.642367,0
b2,1,0.009015,6.819927,0
b3,1,0.009015,6.819927,0
s7,1,0.010403,6.564554,0
a8,1,0.018227,5.574194,0
a2,1,0.021993,5.246307,0
p4,1,0.033986,4.495432,0
p3,1,0.043836,4.062882,0
s3,1,0.054609,3.693979,0
d1,1,0.068827,3.310783,0
p12,1,0.081533,3.034077,0
s2,1,0.096594,2.760902,0
d2,1,0.097553,2.745102,0
p7,1,0.107149,2.595773,0
p8,1,0.121981,2.391696,0
u1,1,0.148204,2.090643,0
a4,1,0.204423,1.61049,0
p6,1,0.314901,1.010007,0
n4,1,0.388539,0.743508,0
d5,1,0.412511,0.671551,0
r1,1,0.579288,0.307387,0
s5,1,0.605785,0.266359,0
a7,1,0.717921,0.130493,0
a6,1,0.731738,0.117521,0
b5,1,0.801501,0.063205,0
b4,1,0.911058,0.012478,0
