Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,4e-06,21.455812,[39  4] ; [ 9 15],[30.80597015 12.19402985] ; [17.19402985  6.80597015],1
v4,1,0.000304,13.046624,[43  1] ; [16  8],[38.17647059  5.82352941] ; [20.82352941  3.17647059],1
p9,1,0.000332,12.88224,[38  5] ; [11 12],[31.92424242 11.07575758] ; [17.07575758  5.92424242],1
s6,1,0.001499,10.079525,[40  4] ; [14 10],[34.94117647  9.05882353] ; [19.05882353  4.94117647],0
b5,1,0.011777,6.3441,[32 12] ; [10 14],[27.17647059 16.82352941] ; [14.82352941  9.17647059],0
p7,1,0.012093,6.297158,[21 22] ; [ 4 19],[16.28787879 26.71212121] ; [ 8.71212121 14.28787879],0
r4,1,0.012211,6.279942,[40  4] ; [16  8],[36.23529412  7.76470588] ; [19.76470588  4.23529412],0
v1,1,0.022167,5.232653,[26 16] ; [ 7 15],[21.65625 20.34375] ; [11.34375 10.65625],0
p4,1,0.035249,4.433091,[18 25] ; [ 4 20],[14.11940299 28.88059701] ; [ 7.88059701 16.11940299],0
p6,1,0.041144,4.17008,[18 26] ; [ 4 20],[14.23529412 29.76470588] ; [ 7.76470588 16.23529412],0
u3,1,0.079839,3.068182,[10  1] ; [2 2],[8.8 2.2] ; [3.2 0.8],0
r3,1,0.092167,2.836103,[42  2] ; [20  4],[40.11764706  3.88235294] ; [21.88235294  2.11764706],0
u2,1,0.095205,2.784091,[8 3] ; [1 3],[6.6 4.4] ; [2.4 1.6],0
n1,1,0.095581,2.777778,[7 8] ; [8 2],[9. 6.] ; [6. 4.],0
p10,1,0.101419,2.683081,[34 10] ; [14 10],[31.05882353 12.94117647] ; [16.94117647  7.05882353],0
d2,1,0.146858,2.104592,[24 18] ; [18  6],[26.72727273 15.27272727] ; [15.27272727  8.72727273],0
s4,1,0.160322,1.971184,[12 32] ; [ 3 21],[ 9.70588235 34.29411765] ; [ 5.29411765 18.70588235],0
d4,1,0.169686,1.885714,[33  9] ; [22  2],[35.  7.] ; [20.  4.],0
s8,1,0.173554,1.851971,[32 11] ; [14 10],[29.52238806 13.47761194] ; [16.47761194  7.52238806],0
r2,1,0.227429,1.456867,[43  1] ; [21  2],[42.02985075  1.97014925] ; [21.97014925  1.02985075],0
