Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,58.531798,[134  30] ; [ 92 123],[97.79419525 66.20580475] ; [128.20580475  86.79419525],1
v1,1,5e-06,20.863506,[119  45] ; [106 109],[97.36147757 66.63852243] ; [127.63852243  87.36147757],1
n5,1,0.000163,14.21372,[147  18] ; [162  58],[132.42857143  32.57142857] ; [176.57142857  43.42857143],1
p12,1,0.000378,12.638069,[ 33 133] ; [ 17 205],[ 21.39175258 144.60824742] ; [ 28.60824742 193.39175258],1
n4,1,0.001124,10.611188,[146  20] ; [165  56],[133.4005168  32.5994832] ; [177.5994832  43.4005168],0
s4,1,0.001445,10.147645,[ 28 138] ; [ 68 151],[ 41.39220779 124.60779221] ; [ 54.60779221 164.39220779],0
p8,1,0.001718,9.828998,[106  59] ; [106 114],[90.85714286 74.14285714] ; [121.14285714  98.85714286],0
s8,1,0.007355,7.184195,[118  46] ; [131  92],[105.51937984  58.48062016] ; [143.48062016  79.51937984],0
p5,1,0.008807,6.861591,[ 32 134] ; [ 22 199],[ 23.1627907 142.8372093] ; [ 30.8372093 190.1627907],0
p1,1,0.011555,6.377913,[ 23 142] ; [ 14 208],[ 15.7751938 149.2248062] ; [ 21.2248062 200.7751938],0
n6,1,0.012284,6.269401,[152  11] ; [187  33],[144.27415144  18.72584856] ; [194.72584856  25.27415144],0
r1,1,0.020434,5.374471,[143  22] ; [171  50],[134.22279793  30.77720207] ; [179.77720207  41.22279793],0
d1,1,0.02474,5.042018,[118  48] ; [134  89],[107.53727506  58.46272494] ; [144.46272494  78.53727506],0
a5,1,0.027542,4.856539,[139  27] ; [166  57],[130.15424165  35.84575835] ; [174.84575835  48.15424165],0
b3,1,0.034288,4.480306,[46 51] ; [48 94],[38.15062762 58.84937238] ; [55.84937238 86.15062762],0
b2,1,0.034288,4.480306,[46 51] ; [48 94],[38.15062762 58.84937238] ; [55.84937238 86.15062762],0
p3,1,0.042278,4.124023,[100  65] ; [112 111],[90.15463918 74.84536082] ; [121.84536082 101.15463918],0
b5,1,0.05492,3.684509,[92 74] ; [145  78],[101.13624679  64.86375321] ; [135.86375321  87.13624679],0
s7,1,0.06907,3.304981,[125  37] ; [147  67],[117.19148936  44.80851064] ; [154.80851064  59.19148936],0
a1,1,0.070187,3.27865,[ 15 151] ; [ 10 213],[ 10.66838046 155.33161954] ; [ 14.33161954 208.66838046],0
u4,1,0.076721,3.133026,[  7 159] ; [  3 220],[  4.26735219 161.73264781] ; [  5.73264781 217.26735219],0
p11,1,0.087204,2.925241,[139  27] ; [171  52],[132.28791774  33.71208226] ; [177.71208226  45.28791774],0
a3,1,0.094413,2.797466,[134  31] ; [165  58],[127.15206186  37.84793814] ; [171.84793814  51.15206186],0
d5,1,0.098483,2.729944,[142  22] ; [178  44],[135.95854922  28.04145078] ; [184.04145078  37.95854922],0
d2,1,0.107599,2.589139,[95 70] ; [110 113],[87.17783505 77.82216495] ; [117.82216495 105.17783505],0
r4,1,0.109442,2.562263,[157   9] ; [201  22],[152.77120823  13.22879177] ; [205.22879177  17.77120823],0
p10,1,0.122447,2.385736,[159   7] ; [204  18],[155.30412371  10.69587629] ; [207.69587629  14.30412371],0
d4,1,0.128753,2.307479,[147  17] ; [188  35],[141.96382429  22.03617571] ; [193.03617571  29.96382429],0
p7,1,0.132463,2.263394,[118  44] ; [141  74],[111.29442971  50.70557029] ; [147.70557029  67.29442971],0
r3,1,0.141951,2.156681,[163   3] ; [211  10],[160.42377261   5.57622739] ; [213.57622739   7.42377261],0
u1,1,0.155371,2.018713,[ 42 124] ; [ 43 180],[ 36.27249357 129.72750643] ; [ 48.72750643 174.27249357],0
a4,1,0.224705,1.474069,[87 79] ; [103 120],[81.07969152 84.92030848] ; [108.92030848 114.07969152],0
a7,1,0.236918,1.398842,[116  49] ; [168  54],[121.08527132  43.91472868] ; [162.91472868  59.08527132],0
s5,1,0.248371,1.332442,[88 71] ; [104 107],[82.50810811 76.49189189] ; [109.49189189 101.50810811],0
v4,1,0.292585,1.107689,[162   3] ; [213   8],[160.29792746   4.70207254] ; [214.70207254   6.29792746],0
n3,1,0.306213,1.046941,[23 10] ; [39 10],[24.95121951  8.04878049] ; [37.04878049 11.95121951],0
a2,1,0.332941,0.937426,[ 49 117] ; [ 56 167],[ 44.80719794 121.19280206] ; [ 60.19280206 162.80719794],0
p2,1,0.391857,0.733171,[147  19] ; [190  32],[144.18041237  21.81958763] ; [192.81958763  29.18041237],0
p4,1,0.434958,0.609549,[114  51] ; [145  77],[110.42635659  54.57364341] ; [148.57364341  73.42635659],0
n1,1,0.441741,0.591755,[12 21] ; [22 27],[13.68292683 19.31707317] ; [20.31707317 28.68292683],0
r2,1,0.482025,0.494279,[162   4] ; [210   8],[160.8125   5.1875] ; [211.1875   6.8125],0
s1,1,0.589916,0.290476,[  5 159] ; [  9 211],[  5.97916667 158.02083333] ; [  8.02083333 211.97916667],0
a8,1,0.590506,0.289554,[ 23 130] ; [ 36 174],[ 24.8677686 128.1322314] ; [ 34.1322314 175.8677686],0
d3,1,0.622411,0.242494,[119  46] ; [155  67],[116.82170543  48.17829457] ; [157.17829457  64.82170543],0
u3,1,0.679026,0.171224,[22  9] ; [38 19],[21.13636364  9.86363636] ; [38.86363636 18.13636364],0
b4,1,0.70324,0.145123,[97 69] ; [126  97],[95.16195373 70.83804627] ; [127.83804627  95.16195373],0
s3,1,0.772671,0.083453,[145  19] ; [195  28],[144.08268734  19.91731266] ; [195.91731266  27.08268734],0
n2,1,0.802995,0.062236,[27  6] ; [39 10],[26.56097561  6.43902439] ; [39.43902439  9.56097561],0
a6,1,0.812272,0.056404,[110  54] ; [147  76],[108.90956072  55.09043928] ; [148.09043928  74.90956072],0
u2,1,0.838311,0.041638,[19 13] ; [32 24],[18.54545455 13.45454545] ; [32.45454545 23.54545455],0
s6,1,0.876707,0.02407,[142  18] ; [195  26],[141.52230971  18.47769029] ; [195.47769029  25.52230971],0
b1,1,0.87733,0.023825,[ 62 104] ; [ 85 138],[ 62.73007712 103.26992288] ; [ 84.26992288 138.73007712],0
p6,1,0.8915,0.018607,[75 90] ; [102 119],[75.66062176 89.33937824] ; [101.33937824 119.66062176],0
