Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,4.9e-05,16.47649,[ 20 103] ; [18 19],[29.2125 93.7875] ; [ 8.7875 28.2125],1
s3,1,0.000532,12.000283,[37 84] ; [23 14],[45.94936709 75.05063291] ; [14.05063291 22.94936709],1
s4,1,0.001078,10.688284,[ 15 110] ; [13 24],[ 21.60493827 103.39506173] ; [ 6.39506173 30.60493827],0
a3,1,0.002937,8.845993,[63 61] ; [29  8],[70.85714286 53.14285714] ; [21.14285714 15.85714286],0
s5,1,0.005523,7.69954,[28 92] ; [17 19],[34.61538462 85.38461538] ; [10.38461538 25.61538462],0
p3,1,0.005778,7.618364,[33 89] ; [19 18],[39.89937107 82.10062893] ; [12.10062893 24.89937107],0
d5,1,0.00583,7.601995,[70 55] ; [30  7],[77.16049383 47.83950617] ; [22.83950617 14.16049383],0
u1,1,0.009161,6.791202,[  2 123] ; [ 4 33],[  4.62962963 120.37037037] ; [ 1.37037037 35.62962963],0
s6,1,0.014603,5.963768,[45 77] ; [21 14],[51.2866242 70.7133758] ; [14.7133758 20.2866242],0
p4,1,0.018251,5.57189,[42 78] ; [21 16],[48.15286624 71.84713376] ; [14.84713376 22.15286624],0
p2,1,0.021115,5.317277,[77 44] ; [31  6],[82.70886076 38.29113924] ; [25.29113924 11.70886076],0
d1,1,0.024712,5.043985,[39 86] ; [19 18],[44.75308642 80.24691358] ; [13.24691358 23.75308642],0
a4,1,0.037378,4.333127,[40 83] ; [19 18],[45.35625 77.64375] ; [13.64375 23.35625],0
n4,1,0.041714,4.146789,[79 46] ; [30  7],[84.10493827 40.89506173] ; [24.89506173 12.10493827],0
a5,1,0.044495,4.037669,[61 64] ; [25 12],[66.35802469 58.64197531] ; [19.64197531 17.35802469],0
p6,1,0.04503,4.017533,[20 97] ; [12 25],[24.31168831 92.68831169] ; [ 7.68831169 29.31168831],0
d3,1,0.062397,3.472512,[43 82] ; [19 18],[47.83950617 77.16049383] ; [14.16049383 22.83950617],0
n1,1,0.063583,3.441381,[11 30] ; [8 7],[13.91071429 27.08928571] ; [5.08928571 9.91071429],0
d2,1,0.086781,2.933094,[47 76] ; [20 17],[51.50625 71.49375] ; [15.49375 21.50625],0
r3,1,0.100252,2.701524,[96 29] ; [33  4],[99.53703704 25.46296296] ; [29.46296296  7.53703704],0
d4,1,0.13583,2.22457,[78 47] ; [28  9],[81.79012346 43.20987654] ; [24.20987654 12.79012346],0
u2,1,0.179319,1.803259,[23 38] ; [5 3],[24.75362319 36.24637681] ; [3.24637681 4.75362319],0
a2,1,0.182034,1.78094,[  6 119] ; [ 4 33],[  7.71604938 117.28395062] ; [ 2.28395062 34.71604938],0
p9,1,0.184476,1.761187,[78 44] ; [28  9],[81.33333333 40.66666667] ; [24.66666667 12.33333333],0
r1,1,0.209466,1.575116,[70 55] ; [25 12],[73.30246914 51.69753086] ; [21.69753086 15.30246914],0
a6,1,0.258996,1.274114,[57 68] ; [13 24],[54.01234568 70.98765432] ; [15.98765432 21.01234568],0
b4,1,0.265073,1.242066,[77 48] ; [19 18],[74.07407407 50.92592593] ; [21.92592593 15.07407407],0
p10,1,0.290826,1.115795,[70 51] ; [25 12],[72.75316456 48.24683544] ; [22.24683544 14.75316456],0
u3,1,0.370237,0.802867,[21 41] ; [4 4],[22.14285714 39.85714286] ; [2.85714286 5.14285714],0
b2,1,0.38682,0.748916,[23 50] ; [11 16],[24.82 48.18] ; [ 9.18 17.82],0
b3,1,0.38682,0.748916,[23 50] ; [11 16],[24.82 48.18] ; [ 9.18 17.82],0
a8,1,0.404273,0.695581,[  8 109] ; [ 4 32],[  9.17647059 107.82352941] ; [ 2.82352941 33.17647059],0
v2,1,0.478551,0.502162,[50 70] ; [13 24],[48.15286624 71.84713376] ; [14.84713376 22.15286624],0
n2,1,0.487948,0.481047,[29 12] ; [12  3],[30.01785714 10.98214286] ; [10.98214286  4.01785714],0
r2,1,0.521311,0.4113,[100  22] ; [32  5],[101.28301887  20.71698113] ; [30.71698113  6.28301887],0
n5,1,0.527341,0.399513,[83 40] ; [27 10],[84.5625 38.4375] ; [25.4375 11.5625],0
s1,1,0.552072,0.353619,[  4 118] ; [ 2 35],[  4.60377358 117.39622642] ; [ 1.39622642 35.60377358],0
n3,1,0.558556,0.34221,[27 14] ; [8 6],[26.09090909 14.90909091] ; [8.90909091 5.09090909],0
p8,1,0.569846,0.32294,[40 82] ; [14 23],[41.43396226 80.56603774] ; [12.56603774 24.43396226],0
v3,1,0.572735,0.318127,[30 92] ; [ 7 28],[28.75159236 93.24840764] ; [ 8.24840764 26.75159236],0
b1,1,0.577435,0.310399,[51 74] ; [17 20],[52.4691358 72.5308642] ; [15.5308642 21.4691358],0
v1,1,0.58282,0.301698,[47 76] ; [16 21],[48.43125 74.56875] ; [14.56875 22.43125],0
p1,1,0.59656,0.280216,[ 10 115] ; [ 2 35],[  9.25925926 115.74074074] ; [ 2.74074074 34.25925926],0
b5,1,0.634067,0.226586,[62 63] ; [20 17],[63.27160494 61.72839506] ; [18.72839506 18.27160494],0
r4,1,0.725294,0.123476,[84 41] ; [26 11],[84.87654321 40.12345679] ; [25.12345679 11.87654321],0
p11,1,0.725294,0.123476,[84 41] ; [26 11],[84.87654321 40.12345679] ; [25.12345679 11.87654321],0
p5,1,0.732547,0.116786,[ 11 112] ; [ 4 33],[ 11.53125 111.46875] ; [ 3.46875 33.53125],0
n6,1,0.811106,0.057121,[87 37] ; [26 10],[87.575 36.425] ; [25.425 10.575],0
p7,1,0.816255,0.053993,[59 61] ; [19 18],[59.61783439 60.38216561] ; [18.38216561 18.61783439],0
a1,1,0.825233,0.048761,[  8 117] ; [ 2 35],[  7.71604938 117.28395062] ; [ 2.28395062 34.71604938],0
p12,1,0.928229,0.008113,[  3 120] ; [ 1 36],[  3.075 119.925] ; [ 0.925 36.075],0
v4,1,0.973854,0.001074,[101  24] ; [29  7],[100.93167702  24.06832298] ; [29.06832298  6.93167702],0
