Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.089687,2.879987,[ 5 11] ; [13  9],[7.57894737 8.42105263] ; [10.42105263 11.57894737],0
s7,1,0.217444,1.521162,[4 9] ; [11 10],[5.73529412 7.26470588] ; [ 9.26470588 11.73529412],0
s8,1,0.247752,1.335937,[ 5 11] ; [11 11],[6.73684211 9.26315789] ; [ 9.26315789 12.73684211],0
s1,1,0.259286,1.272563,[ 1 15] ; [ 4 17],[ 2.16216216 13.83783784] ; [ 2.83783784 18.16216216],0
r4,1,0.27009,1.216288,[14  2] ; [16  6],[12.63157895  3.36842105] ; [17.36842105  4.63157895],0
r3,1,0.282686,1.154132,[15  1] ; [18  4],[13.89473684  2.10526316] ; [19.10526316  2.89473684],0
b1,1,0.298799,1.079545,[ 6 10] ; [12 10],[7.57894737 8.42105263] ; [10.42105263 11.57894737],0
b4,1,0.298799,1.079545,[10  6] ; [10 12],[8.42105263 7.57894737] ; [11.57894737 10.42105263],0
p3,1,0.307431,1.041678,[ 4 12] ; [ 9 13],[ 5.47368421 10.52631579] ; [ 7.52631579 14.47368421],0
b2,1,0.317311,1.0,[3 5] ; [ 3 13],[2. 6.] ; [ 4. 12.],0
b3,1,0.317311,1.0,[3 5] ; [ 3 13],[2. 6.] ; [ 4. 12.],0
v3,1,0.329114,0.952381,[ 5 10] ; [ 4 17],[ 3.75 11.25] ; [ 5.25 15.75],0
p11,1,0.349731,0.874432,[7 9] ; [13  9],[8.42105263 7.57894737] ; [11.57894737 10.42105263],0
u2,1,0.360387,0.836543,[1 4] ; [4 5],[1.78571429 3.21428571] ; [3.21428571 5.78571429],0
s5,1,0.373301,0.792647,[9 6] ; [ 8 10],[7.72727273 7.27272727] ; [9.27272727 8.72727273],0
a6,1,0.376445,0.782279,[ 5 11] ; [10 12],[6.31578947 9.68421053] ; [ 8.68421053 13.31578947],0
p1,1,0.384478,0.756336,[ 3 13] ; [ 2 20],[ 2.10526316 13.89473684] ; [ 2.89473684 19.10526316],0
