Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,28.788418,[11 15] ; [88 10],[20.75806452  5.24193548] ; [78.24193548 19.75806452],1
a4,1,1.6e-05,18.649156,[ 2 24] ; [54 44],[11.74193548 14.25806452] ; [44.25806452 53.74193548],1
d2,1,0.000252,13.400631,[ 6 20] ; [62 36],[14.25806452 11.74193548] ; [53.74193548 44.25806452],1
a5,1,0.000311,13.003948,[13 13] ; [82 16],[19.91935484  6.08064516] ; [75.08064516 22.91935484],1
d3,1,0.000824,11.186758,[ 4 22] ; [51 47],[11.53225806 14.46774194] ; [43.46774194 54.53225806],1
s2,1,0.001518,10.057121,[13 13] ; [79 19],[19.29032258  6.70967742] ; [72.70967742 25.29032258],0
a3,1,0.004322,8.143343,[15 11] ; [82 16],[20.33870968  5.66129032] ; [76.66129032 21.33870968],0
r2,1,0.006772,7.332441,[20  5] ; [93  4],[23.1557377  1.8442623] ; [89.8442623  7.1557377],0
r1,1,0.020388,5.378378,[16 10] ; [81 17],[20.33870968  5.66129032] ; [76.66129032 21.33870968],0
p6,1,0.028581,4.792656,[ 7 19] ; [49 47],[11.93442623 14.06557377] ; [44.06557377 51.93442623],0
r3,1,0.028625,4.790006,[23  3] ; [96  2],[24.9516129  1.0483871] ; [94.0483871  3.9516129],0
v3,1,0.034262,4.481596,[ 8 17] ; [53 42],[12.70833333 12.29166667] ; [48.29166667 46.70833333],0
r4,1,0.053443,3.730019,[20  6] ; [89  9],[22.85483871  3.14516129] ; [86.14516129 11.85483871],0
v4,1,0.064023,3.429969,[22  3] ; [95  3],[23.7804878  1.2195122] ; [93.2195122  4.7804878],0
v1,1,0.066034,3.378946,[12 14] ; [62 32],[16.03333333  9.96666667] ; [57.96666667 36.03333333],0
p1,1,0.066735,3.361562,[ 5 21] ; [ 7 90],[ 2.53658537 23.46341463] ; [ 9.46341463 87.53658537],0
s6,1,0.075936,3.149808,[19  7] ; [83 12],[21.91735537  4.08264463] ; [80.08264463 14.91735537],0
s5,1,0.083554,2.994379,[ 7 18] ; [44 49],[10.80508475 14.19491525] ; [40.19491525 52.80508475],0
n6,1,0.123583,2.371312,[20  6] ; [86 11],[22.40650407  3.59349593] ; [83.59349593 13.40650407],0
p7,1,0.134116,2.244201,[15 11] ; [70 26],[18.1147541  7.8852459] ; [66.8852459 29.1147541],0
p8,1,0.217465,1.521025,[18  8] ; [53 42],[15.25619835 10.74380165] ; [55.74380165 39.25619835],0
p2,1,0.273003,1.201596,[18  8] ; [77 20],[20.08130081  5.91869919] ; [74.91869919 22.08130081],0
n1,1,0.27893,1.172295,[3 4] ; [17  9],[4.24242424 2.75757576] ; [15.75757576 10.24242424],0
v2,1,0.288245,1.127799,[10 13] ; [53 42],[12.27966102 10.72033898] ; [50.72033898 44.27966102],0
s7,1,0.318701,0.994272,[19  7] ; [77 17],[20.8  5.2] ; [75.2 18.8],0
p5,1,0.336597,0.923351,[ 2 23] ; [15 82],[ 3.48360656 21.51639344] ; [13.51639344 83.48360656],0
n3,1,0.338352,0.916667,[3 3] ; [19  8],[4. 2.] ; [18.  9.],0
n5,1,0.359583,0.83935,[20  6] ; [82 15],[21.56097561  4.43902439] ; [80.43902439 16.56097561],0
p3,1,0.380711,0.768405,[14 12] ; [62 36],[15.93548387 10.06451613] ; [60.06451613 37.93548387],0
n2,1,0.380977,0.767549,[4 3] ; [20  7],[4.94117647 2.05882353] ; [19.05882353  7.94117647],0
u2,1,0.383666,0.758924,[8 3] ; [9 7],[6.92592593 4.07407407] ; [10.07407407  5.92592593],0
p12,1,0.398862,0.711753,[ 4 22] ; [ 9 85],[ 2.81666667 23.18333333] ; [10.18333333 83.81666667],0
p11,1,0.423136,0.641588,[20  6] ; [82 16],[21.38709677  4.61290323] ; [80.61290323 17.38709677],0
s1,1,0.445612,0.581788,[ 2 24] ; [ 4 94],[ 1.25806452 24.74193548] ; [ 4.74193548 93.25806452],0
