Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,54.105419,[ 43 103] ; [177  86],[78.53300733 67.46699267] ; [141.46699267 121.53300733],1
p8,1,0.0,47.278705,[49 97] ; [179  81],[81.99014778 64.00985222] ; [146.00985222 113.99014778],1
p6,1,0.0,32.239543,[ 32 110] ; [134 125],[58.78304239 83.21695761] ; [107.21695761 151.78304239],1
p10,1,1e-06,23.823177,[103  43] ; [233  27],[120.82758621  25.17241379] ; [215.17241379  44.82758621],1
p7,1,1e-06,23.371841,[72 68] ; [195  64],[93.68421053 46.31578947] ; [173.31578947  85.68421053],1
p2,1,2e-06,22.641176,[111  36] ; [242  20],[126.87286064  20.12713936] ; [226.12713936  35.87286064],1
n5,1,1.2e-05,19.235033,[100  46] ; [226  35],[116.94348894  29.05651106] ; [209.05651106  51.94348894],1
p9,1,3.3e-05,17.240463,[113  33] ; [240  21],[126.62899263  19.37100737] ; [226.37100737  34.62899263],1
n6,1,5.8e-05,16.159868,[108  37] ; [234  27],[122.14285714  22.85714286] ; [219.85714286  41.14285714],1
r4,1,0.000209,13.746252,[121  27] ; [246  17],[132.15571776  15.84428224] ; [234.84428224  28.15571776],1
p5,1,0.00021,13.740056,[  8 138] ; [ 49 212],[ 20.44717445 125.55282555] ; [ 36.55282555 224.44717445],1
n4,1,0.000215,13.690868,[104  42] ; [226  36],[118.08823529  27.91176471] ; [211.91176471  50.08823529],1
d1,1,0.00031,13.010501,[71 77] ; [174  89],[88.22384428 59.77615572] ; [156.77615572 106.22384428],1
p11,1,0.000917,10.987671,[106  42] ; [224  39],[118.83211679  29.16788321] ; [211.16788321  51.83211679],1
d5,1,0.001136,10.591716,[107  41] ; [224  38],[119.48292683  28.51707317] ; [211.51707317  50.48292683],0
s7,1,0.00152,10.053703,[58 86] ; [140 106],[73.10769231 70.89230769] ; [124.89230769 121.10769231],0
s8,1,0.001995,9.553845,[56 91] ; [141 120],[70.97794118 76.02205882] ; [126.02205882 134.97794118],0
d3,1,0.002028,9.523847,[88 60] ; [195  68],[101.90754258  46.09245742] ; [181.09245742  81.90754258],0
s2,1,0.003754,8.399065,[60 87] ; [145 115],[74.04176904 72.95823096] ; [130.95823096 129.04176904],0
u1,1,0.004407,8.108068,[ 16 132] ; [ 58 205],[ 26.64720195 121.35279805] ; [ 47.35279805 215.64720195],0
r3,1,0.004924,7.906998,[132  14] ; [255   8],[138.14669927   7.85330073] ; [248.85330073  14.14669927],0
d2,1,0.008277,6.972476,[59 89] ; [140 122],[71.83414634 76.16585366] ; [127.16585366 134.83414634],0
a7,1,0.018442,5.553673,[95 52] ; [198  64],[105.30806846  41.69193154] ; [187.69193154  74.30806846],0
a5,1,0.019202,5.482989,[103  45] ; [210  53],[112.71046229  35.28953771] ; [200.28953771  62.71046229],0
v4,1,0.022393,5.214981,[135  11] ; [254   7],[139.54299754   6.45700246] ; [249.45700246  11.54299754],0
v3,1,0.026784,4.90468,[63 78] ; [143 111],[73.53417722 67.46582278] ; [132.46582278 121.53417722],0
s6,1,0.040297,4.205315,[90 56] ; [186  74],[99.25123153 46.74876847] ; [176.74876847  83.25123153],0
s1,1,0.052715,3.75292,[  9 138] ; [  6 251],[  5.45792079 141.54207921] ; [  9.54207921 247.45792079],0
u3,1,0.054786,3.688597,[20 20] ; [46 21],[24.6728972 15.3271028] ; [41.3271028 25.6728972],0
s5,1,0.064342,3.421775,[ 40 103] ; [ 95 161],[48.38345865 94.61654135] ; [ 86.61654135 169.38345865],0
