Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,31.85,[ 1 38] ; [44 34],[15. 24.] ; [30. 48.],1
d3,1,1e-06,25.190182,[ 8 30] ; [55 23],[20.63793103 17.36206897] ; [42.36206897 35.63793103],1
d5,1,1e-06,23.563066,[16 23] ; [66 12],[27.33333333 11.66666667] ; [54.66666667 23.33333333],1
n5,1,0.001153,10.564183,[25 14] ; [25 52],[16.81034483 22.18965517] ; [33.18965517 43.81034483],0
a3,1,0.006559,7.390003,[18 20] ; [57 21],[24.56896552 13.43103448] ; [50.43103448 27.56896552],0
r3,1,0.018953,5.505882,[23 16] ; [62 16],[28.33333333 10.66666667] ; [56.66666667 21.33333333],0
p1,1,0.026765,4.905895,[ 7 32] ; [ 4 73],[ 3.69827586 35.30172414] ; [ 7.30172414 69.69827586],0
r1,1,0.028358,4.806162,[20 19] ; [56 22],[25.33333333 13.66666667] ; [50.66666667 27.33333333],0
b4,1,0.035622,4.415094,[16 23] ; [48 30],[21.33333333 17.66666667] ; [42.66666667 35.33333333],0
a7,1,0.057662,3.603394,[20 19] ; [54 24],[24.66666667 14.33333333] ; [49.33333333 28.66666667],0
r4,1,0.079359,3.077989,[20 19] ; [53 25],[24.33333333 14.66666667] ; [48.66666667 29.33333333],0
a5,1,0.083007,3.005015,[19 20] ; [51 27],[23.33333333 15.66666667] ; [46.66666667 31.33333333],0
p3,1,0.127536,2.322244,[ 8 31] ; [26 50],[11.53043478 27.46956522] ; [22.46956522 53.53043478],0
n1,1,0.130393,2.287815,[10 10] ; [ 7 18],[ 7.55555556 12.44444444] ; [ 9.44444444 15.55555556],0
b2,1,0.135284,2.230795,[ 9 11] ; [13 36],[ 6.37681159 13.62318841] ; [15.62318841 33.37681159],0
b3,1,0.135284,2.230795,[ 9 11] ; [13 36],[ 6.37681159 13.62318841] ; [15.62318841 33.37681159],0
a1,1,0.141032,2.166667,[ 5 34] ; [ 4 74],[ 3. 36.] ; [ 6. 72.],0
v2,1,0.143232,2.142893,[10 24] ; [34 43],[13.47747748 20.52252252] ; [30.52252252 46.47747748],0
s3,1,0.15452,2.027053,[ 7 32] ; [23 53],[10.17391304 28.82608696] ; [19.82608696 56.17391304],0
a8,1,0.159646,1.977575,[ 5 33] ; [ 4 69],[ 3.08108108 34.91891892] ; [ 5.91891892 67.08108108],0
p2,1,0.164153,1.935547,[21 18] ; [51 25],[24.4173913 14.5826087] ; [47.5826087 28.4173913],0
s1,1,0.174144,1.846906,[ 4 35] ; [ 3 74],[ 2.35344828 36.64655172] ; [ 4.64655172 72.35344828],0
a4,1,0.180782,1.791182,[12 27] ; [34 44],[15.33333333 23.66666667] ; [30.66666667 47.33333333],0
d2,1,0.185161,1.755702,[13 26] ; [36 42],[16.33333333 22.66666667] ; [32.66666667 45.33333333],0
a2,1,0.214696,1.539474,[ 4 35] ; [15 63],[ 6.33333333 32.66666667] ; [12.66666667 65.33333333],0
a6,1,0.278045,1.176618,[22 17] ; [52 26],[24.66666667 14.33333333] ; [49.33333333 28.66666667],0
p4,1,0.288739,1.125492,[11 28] ; [29 47],[13.56521739 25.43478261] ; [26.43478261 49.56521739],0
n4,1,0.293439,1.103774,[24 15] ; [40 38],[21.33333333 17.66666667] ; [42.66666667 35.33333333],0
p5,1,0.295816,1.092961,[ 1 36] ; [ 6 72],[ 2.25217391 34.74782609] ; [ 4.74782609 73.25217391],0
p10,1,0.311487,1.024359,[15 22] ; [39 38],[17.52631579 19.47368421] ; [36.47368421 40.52631579],0
v4,1,0.326357,0.963299,[26 12] ; [60 18],[28.17241379  9.82758621] ; [57.82758621 20.17241379],0
s5,1,0.335128,0.928979,[ 3 34] ; [11 65],[ 4.5840708 32.4159292] ; [ 9.4159292 66.5840708],0
u2,1,0.345637,0.889412,[11 10] ; [14  7],[12.5  8.5] ; [12.5  8.5],0
