Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,88.27877,[ 5 73] ; [205 107],[42. 36.] ; [168. 144.],1
a5,1,0.0,29.358736,[34 44] ; [235  77],[53.8 24.2] ; [215.2  96.8],1
d2,1,0.0,26.709633,[18 60] ; [173 137],[38.39690722 39.60309278] ; [152.60309278 157.39690722],1
a4,1,0.0,26.081794,[16 61] ; [166 146],[36.02570694 40.97429306] ; [145.97429306 166.02570694],1
d4,1,0.0,25.326776,[46 31] ; [266  46],[61.75835476 15.24164524] ; [250.24164524  61.75835476],1
a3,1,2e-06,22.274704,[38 40] ; [237  75],[55. 23.] ; [220.  92.],1
a2,1,4.1e-05,16.838449,[ 6 72] ; [ 95 217],[20.2 57.8] ; [ 80.8 231.2],1
u1,1,9.7e-05,15.202711,[ 3 75] ; [ 73 239],[15.2 62.8] ; [ 60.8 251.2],1
p10,1,0.000476,12.207808,[44 32] ; [239  69],[56.01041667 19.98958333] ; [226.98958333  81.01041667],1
s8,1,0.001781,9.76243,[19 59] ; [136 175],[31.07969152 46.92030848] ; [123.92030848 187.07969152],0
s7,1,0.002555,9.100975,[21 52] ; [145 155],[32.48793566 40.51206434] ; [133.51206434 166.48793566],0
s6,1,0.00272,8.986433,[39 39] ; [210  98],[50.31606218 27.68393782] ; [198.68393782 109.31606218],0
v2,1,0.003765,8.393589,[27 46] ; [166 131],[38.07837838 34.92162162] ; [154.92162162 142.07837838],0
d3,1,0.003795,8.379557,[41 37] ; [218  94],[51.8 26.2] ; [207.2 104.8],0
p3,1,0.006217,7.48637,[18 60] ; [124 188],[28.4 49.6] ; [113.6 198.4],0
n4,1,0.011237,6.427438,[48 30] ; [235  75],[56.89175258 21.10824742] ; [226.10824742  83.89175258],0
p4,1,0.013009,6.167845,[25 51] ; [152 160],[34.67010309 41.32989691] ; [142.32989691 169.67010309],0
p2,1,0.02071,5.351056,[48 30] ; [233  79],[56.2 21.8] ; [224.8  87.2],0
a7,1,0.028649,4.788579,[48 30] ; [231  81],[55.8 22.2] ; [223.2  88.8],0
s2,1,0.029616,4.731468,[30 46] ; [165 144],[38.49350649 37.50649351] ; [156.50649351 152.49350649],0
p9,1,0.038223,4.295054,[54 24] ; [246  61],[60.77922078 17.22077922] ; [239.22077922  67.77922078],0
n5,1,0.041326,4.162591,[45 32] ; [218  91],[52.46373057 24.53626943] ; [210.53626943  98.46373057],0
b5,1,0.054952,3.683535,[44 34] ; [212 100],[51.2 26.8] ; [204.8 107.2],0
s5,1,0.056517,3.636763,[15 59] ; [ 94 204],[21.6827957 52.3172043] ; [ 87.3172043 210.6827957],0
a6,1,0.068268,3.324176,[48 30] ; [225  87],[54.6 23.4] ; [218.4  93.6],0
n6,1,0.081995,3.024916,[58 20] ; [258  53],[63.36246787 14.63753213] ; [252.63753213  58.36246787],0
v3,1,0.166926,1.910334,[21 54] ; [107 186],[26.08695652 48.91304348] ; [101.91304348 191.08695652],0
p12,1,0.184516,1.76087,[ 2 76] ; [ 20 290],[ 4.42268041 73.57731959] ; [ 17.57731959 292.42268041],0
p5,1,0.195623,1.674756,[ 6 71] ; [ 13 295],[ 3.8 73.2] ; [ 15.2 292.8],0
n2,1,0.213144,1.549943,[21  4] ; [66 26],[18.58974359  6.41025641] ; [68.41025641 23.58974359],0
v1,1,0.21829,1.515578,[31 45] ; [147 155],[35.78835979 40.21164021] ; [142.21164021 159.78835979],0
r1,1,0.241645,1.370972,[61 17] ; [259  50],[64.49612403 13.50387597] ; [255.50387597  53.49612403],0
v4,1,0.263763,1.248898,[76  1] ; [299  12],[74.42010309  2.57989691] ; [300.57989691  10.42010309],0
a8,1,0.325976,0.964818,[12 61] ; [ 34 247],[ 9.48587571 63.51412429] ; [ 36.51412429 244.48587571],0
b2,1,0.349453,0.875441,[15 32] ; [ 77 119],[17.79423868 29.20576132] ; [ 74.20576132 121.79423868],0
b3,1,0.349453,0.875441,[15 32] ; [ 77 119],[17.79423868 29.20576132] ; [ 74.20576132 121.79423868],0
b4,1,0.352744,0.863563,[43 35] ; [190 122],[46.6 31.4] ; [186.4 125.6],0
p6,1,0.565454,0.330348,[16 61] ; [ 74 236],[17.90697674 59.09302326] ; [ 72.09302326 237.90697674],0
n1,1,0.576606,0.311754,[ 8 16] ; [36 55],[ 9.1826087 14.8173913] ; [34.8173913 56.1826087],0
s1,1,0.580891,0.304797,[ 4 71] ; [ 12 295],[ 3.14136126 71.85863874] ; [ 12.85863874 294.14136126],0
p11,1,0.611605,0.257844,[58 20] ; [223  89],[56.2 21.8] ; [224.8  87.2],0
s4,1,0.624835,0.23913,[15 63] ; [ 52 256],[13.5388601 64.4611399] ; [ 53.4611399 254.5388601],0
b1,1,0.637755,0.22169,[31 47] ; [115 197],[29.2 48.8] ; [116.8 195.2],0
s3,1,0.681028,0.168971,[45 32] ; [172 136],[43.4 33.6] ; [173.6 134.4],0
r2,1,0.723914,0.124773,[76  2] ; [305   6],[76.39588689  1.60411311] ; [304.60411311   6.39588689],0
u3,1,0.78426,0.074951,[25 14] ; [50 25],[25.65789474 13.34210526] ; [49.34210526 25.65789474],0
r3,1,0.801588,0.063148,[77  1] ; [309   3],[77.2  0.8] ; [308.8   3.2],0
n3,1,0.84557,0.037937,[18  5] ; [71 22],[17.64655172  5.35344828] ; [71.35344828 21.64655172],0
p7,1,0.877822,0.023633,[32 43] ; [134 173],[32.59162304 42.40837696] ; [133.40837696 173.59162304],0
u2,1,0.893678,0.017863,[23 16] ; [44 29],[23.33035714 15.66964286] ; [43.66964286 29.33035714],0
p1,1,0.905972,0.013953,[ 4 74] ; [ 17 294],[ 4.21079692 73.78920308] ; [ 16.78920308 294.21079692],0
a1,1,1.0,0.0,[ 3 75] ; [ 12 300],[ 3. 75.] ; [ 12. 300.],0
