Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1.4e-05,18.886873,[163 116] ; [21 50],[146.67428571 132.32571429] ; [37.32571429 33.67428571],1
n4,1,0.000266,13.296438,[220  59] ; [41 30],[208.05428571  70.94571429] ; [52.94571429 18.05428571],1
d3,1,0.000605,11.759544,[192  86] ; [33 37],[179.74137931  98.25862069] ; [45.25862069 24.74137931],1
d4,1,0.000975,10.874011,[226  51] ; [45 26],[215.70977011  61.29022989] ; [55.29022989 15.70977011],1
a2,1,0.001585,9.977543,[ 67 212] ; [ 5 66],[ 57.39428571 221.60571429] ; [14.60571429 56.39428571],0
u1,1,0.001665,9.886151,[ 49 230] ; [ 2 69],[ 40.65428571 238.34571429] ; [10.34571429 60.65428571],0
u3,1,0.001853,9.689811,[63 25] ; [13 19],[55.73333333 32.26666667] ; [20.26666667 11.73333333],0
v1,1,0.002669,9.021113,[118 157] ; [16 53],[107.12209302 167.87790698] ; [26.87790698 42.12209302],0
d5,1,0.004883,7.922106,[222  55] ; [45 25],[213.13832853  63.86167147] ; [53.86167147 16.13832853],0
a5,1,0.005099,7.843973,[198  81] ; [38 33],[188.12571429  90.87428571] ; [47.87428571 23.12571429],0
s3,1,0.009368,6.751198,[164 112] ; [30 41],[154.3054755 121.6945245] ; [39.6945245 31.3054755],0
s6,1,0.009448,6.736141,[192  78] ; [39 32],[182.90322581  87.09677419] ; [48.09677419 22.90322581],0
s8,1,0.011025,6.461235,[120 157] ; [19 52],[110.6408046 166.3591954] ; [28.3591954 42.6408046],0
s7,1,0.014711,5.950703,[125 139] ; [21 47],[116.09638554 147.90361446] ; [29.90361446 38.09638554],0
r2,1,0.016749,5.722508,[273   5] ; [65  5],[270.01149425   7.98850575] ; [67.98850575  2.01149425],0
a4,1,0.018084,5.588032,[129 148] ; [22 49],[120.19252874 156.80747126] ; [30.80747126 40.19252874],0
a3,1,0.030373,4.688069,[190  87] ; [39 32],[182.27873563  94.72126437] ; [46.72126437 24.27873563],0
n2,1,0.034635,4.463091,[47 22] ; [20  2],[50.8021978 18.1978022] ; [16.1978022  5.8021978],0
d2,1,0.041633,4.150047,[133 145] ; [24 46],[125.41954023 152.58045977] ; [31.58045977 38.41954023],0
n5,1,0.043024,4.094448,[206  72] ; [44 27],[199.14040115  78.85959885] ; [50.85959885 20.14040115],0
a1,1,0.060894,3.512855,[  7 272] ; [ 5 66],[  9.56571429 269.43428571] ; [ 2.43428571 68.56571429],0
b5,1,0.063074,3.454653,[167 112] ; [51 20],[173.77714286 105.22285714] ; [44.22285714 26.77714286],0
p7,1,0.085844,2.950626,[168 106] ; [35 35],[161.69186047 112.30813953] ; [41.30813953 28.69186047],0
