Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.004637,8.015956,[6 8] ; [13 88],[ 2.31304348 11.68695652] ; [16.68695652 84.31304348],0
s6,1,0.013967,6.042271,[10  5] ; [34 67],[5.68965517 9.31034483] ; [38.31034483 62.68965517],0
b1,1,0.036669,4.365725,[ 3 14] ; [45 56],[ 6.91525424 10.08474576] ; [41.08474576 59.91525424],0
s5,1,0.04682,3.951833,[ 3 11] ; [ 6 93],[ 1.11504425 12.88495575] ; [ 7.88495575 91.11504425],0
s8,1,0.079286,3.079469,[ 5 12] ; [13 88],[ 2.59322034 14.40677966] ; [15.40677966 85.59322034],0
a4,1,0.136364,2.218517,[ 1 16] ; [21 78],[ 3.22413793 13.77586207] ; [18.77586207 80.22413793],0
p5,1,0.188503,1.729279,[ 2 15] ; [ 4 94],[ 0.88695652 16.11304348] ; [ 5.11304348 92.88695652],0
p8,1,0.190665,1.712469,[ 4 13] ; [39 58],[ 6.4122807 10.5877193] ; [36.5877193 60.4122807],0
p12,1,0.276936,1.182066,[ 2 15] ; [ 5 95],[ 1.01709402 15.98290598] ; [ 5.98290598 94.01709402],0
r3,1,0.325444,0.966941,[15  2] ; [77 22],[13.48275862  3.51724138] ; [78.51724138 20.48275862],0
u2,1,0.327187,0.96,[3 9] ; [24 36],[4.5 7.5] ; [22.5 37.5],0
a3,1,0.350012,0.873415,[ 5 12] ; [41 58],[ 6.74137931 10.25862069] ; [39.25862069 59.74137931],0
a5,1,0.381789,0.764934,[ 5 12] ; [41 60],[ 6.62711864 10.37288136] ; [39.37288136 61.62711864],0
r4,1,0.452161,0.565229,[13  4] ; [68 33],[11.66949153  5.33050847] ; [69.33050847 31.66949153],0
p4,1,0.460546,0.544567,[8 9] ; [38 63],[ 6.62711864 10.37288136] ; [39.37288136 61.62711864],0
n6,1,0.48419,0.489412,[13  4] ; [68 32],[11.76923077  5.23076923] ; [69.23076923 30.76923077],0
v3,1,0.546588,0.363465,[ 3 13] ; [25 72],[ 3.96460177 12.03539823] ; [24.03539823 72.96460177],0
s3,1,0.556698,0.345455,[6 9] ; [32 67],[ 5. 10.] ; [33. 66.],0
p2,1,0.566399,0.328745,[10  7] ; [66 34],[11.04273504  5.95726496] ; [64.95726496 35.04273504],0
p9,1,0.568497,0.325204,[10  7] ; [64 33],[11.03508772  5.96491228] ; [62.96491228 34.03508772],0
a6,1,0.575085,0.314248,[10  7] ; [52 49],[8.93220339 8.06779661] ; [53.06779661 47.93220339],0
d3,1,0.644516,0.212884,[ 3 13] ; [24 76],[ 3.72413793 12.27586207] ; [23.27586207 76.72413793],0
p3,1,0.660991,0.192322,[ 7 10] ; [36 65],[ 6.19491525 10.80508475] ; [36.80508475 64.19491525],0
b5,1,0.672577,0.178603,[9 8] ; [59 42],[9.79661017 7.20338983] ; [58.20338983 42.79661017],0
n2,1,0.697502,0.151083,[3 2] ; [22 10],[3.37837838 1.62162162] ; [21.62162162 10.37837838],0
n5,1,0.724837,0.123906,[11  6] ; [69 31],[11.62393162  5.37606838] ; [68.37606838 31.62393162],0
r1,1,0.743166,0.107363,[10  7] ; [54 45],[9.37931034 7.62068966] ; [54.62068966 44.37931034],0
n3,1,0.780826,0.077419,[4 1] ; [23  8],[3.75 1.25] ; [23.25  7.75],0
v2,1,0.783463,0.07552,[ 5 11] ; [32 60],[ 5.48148148 10.51851852] ; [31.51851852 60.48148148],0
v1,1,0.785133,0.074331,[ 6 11] ; [38 60],[ 6.50434783 10.49565217] ; [37.49565217 60.50434783],0
p6,1,0.792758,0.069028,[ 3 14] ; [20 78],[ 3.4 13.6] ; [19.6 78.4],0
d2,1,0.798314,0.065296,[ 4 13] ; [21 80],[ 3.60169492 13.39830508] ; [21.39830508 79.60169492],0
a7,1,0.808796,0.058554,[9 7] ; [53 47],[8.55172414 7.44827586] ; [53.44827586 46.55172414],0
d5,1,0.814554,0.055016,[ 6 10] ; [41 60],[6.42735043 9.57264957] ; [40.57264957 60.42735043],0
p11,1,0.831693,0.045169,[11  6] ; [68 33],[11.38135593  5.61864407] ; [67.61864407 33.38135593],0
s1,1,0.84879,0.036352,[ 1 15] ; [ 5 93],[ 0.84210526 15.15789474] ; [ 5.15789474 92.84210526],0
p10,1,0.862541,0.029978,[9 8] ; [53 43],[9.32743363 7.67256637] ; [52.67256637 43.32743363],0
v4,1,0.878489,0.023374,[14  3] ; [83 16],[14.21551724  2.78448276] ; [82.78448276 16.21551724],0
n1,1,0.914635,0.011491,[2 3] ; [12 20],[1.89189189 3.10810811] ; [12.10810811 19.89189189],0
b4,1,0.971607,0.001267,[9 8] ; [53 48],[8.93220339 8.06779661] ; [53.06779661 47.93220339],0
r2,1,0.972034,0.001229,[14  3] ; [82 18],[13.94871795  3.05128205] ; [82.05128205 17.94871795],0
p7,1,0.977889,0.000768,[8 9] ; [46 51],[8.05263158 8.94736842] ; [45.94736842 51.05263158],0
p1,1,0.977954,0.000764,[ 2 15] ; [12 88],[ 2.03418803 14.96581197] ; [11.96581197 88.03418803],0
n4,1,0.981253,0.000552,[11  6] ; [65 35],[11.04273504  5.95726496] ; [64.95726496 35.04273504],0
u3,1,1.0,0.0,[5 7] ; [25 35],[5. 7.] ; [25. 35.],0
