Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,57.545981,[24 69] ; [58  9],[47.6625 45.3375] ; [34.3375 32.6625],1
s6,1,0.0,42.00663,[29 65] ; [54 11],[49.06918239 44.93081761] ; [33.93081761 31.06918239],1
s7,1,0.0,33.058471,[18 72] ; [40 20],[34.8 55.2] ; [23.2 36.8],1
s8,1,0.0,29.612139,[11 83] ; [34 33],[26.27329193 67.72670807] ; [18.72670807 48.27329193],1
p9,1,3e-06,22.120988,[38 52] ; [52 13],[52.25806452 37.74193548] ; [37.74193548 27.25806452],1
s5,1,2.7e-05,17.608291,[14 80] ; [27 32],[25.18954248 68.81045752] ; [15.81045752 43.18954248],1
s4,1,4.8e-05,16.527303,[11 84] ; [26 41],[21.69753086 73.30246914] ; [15.30246914 51.69753086],1
r3,1,0.000128,14.666492,[63 32] ; [60  5],[73.03125 21.96875] ; [49.96875 15.03125],1
p2,1,0.001552,10.015831,[49 46] ; [51 16],[58.64197531 36.35802469] ; [41.35802469 25.64197531],0
r4,1,0.001585,9.977062,[54 41] ; [54 13],[63.33333333 31.66666667] ; [44.66666667 22.33333333],0
p6,1,0.001765,9.778884,[16 77] ; [26 40],[24.56603774 68.43396226] ; [17.43396226 48.56603774],0
p10,1,0.001793,9.750671,[36 57] ; [41 23],[45.61146497 47.38853503] ; [31.38853503 32.61146497],0
p4,1,0.001869,9.673979,[28 67] ; [36 31],[37.5308642 57.4691358] ; [26.4691358 40.5308642],0
v4,1,0.002117,9.445061,[69 25] ; [62  5],[76.48447205 17.51552795] ; [54.51552795 12.48447205],0
r2,1,0.004807,7.950626,[72 21] ; [62  4],[78.37735849 14.62264151] ; [55.62264151 10.37735849],0
u3,1,0.013306,6.127946,[13 26] ; [14  7],[17.55 21.45] ; [ 9.45 11.55],0
p1,1,0.016836,5.713413,[ 4 91] ; [10 57],[ 8.20987654 86.79012346] ; [ 5.79012346 61.20987654],0
v2,1,0.018903,5.510444,[24 69] ; [28 36],[30.80254777 62.19745223] ; [21.19745223 42.80254777],0
r1,1,0.047779,3.91775,[54 40] ; [48 18],[59.925 34.075] ; [42.075 23.925],0
n3,1,0.058943,3.566885,[21 21] ; [21  8],[24.84507042 17.15492958] ; [17.15492958 11.84507042],0
n6,1,0.083067,3.003854,[56 39] ; [47 18],[61.15625 33.84375] ; [41.84375 23.15625],0
u2,1,0.100536,2.697021,[12 27] ; [11 10],[14.95 24.05] ; [ 8.05 12.95],0
v1,1,0.105292,2.623503,[29 65] ; [29 38],[33.86335404 60.13664596] ; [24.13664596 42.86335404],0
n2,1,0.106176,2.610233,[23 20] ; [21  8],[26.27777778 16.72222222] ; [17.72222222 11.27777778],0
s1,1,0.107332,2.593069,[ 4 91] ; [ 7 58],[ 6.53125 88.46875] ; [ 4.46875 60.53125],0
p5,1,0.116604,2.462353,[ 3 91] ; [ 6 61],[ 5.25465839 88.74534161] ; [ 3.74534161 63.25465839],0
p3,1,0.125182,2.35126,[27 67] ; [27 40],[31.52795031 62.47204969] ; [22.47204969 44.52795031],0
d4,1,0.159322,1.98065,[65 29] ; [53 14],[68.89440994 25.10559006] ; [49.10559006 17.89440994],0
d3,1,0.168119,1.899633,[51 43] ; [43 23],[55.225 38.775] ; [38.775 27.225],0
d5,1,0.188926,1.725971,[66 29] ; [52 14],[69.62732919 25.37267081] ; [48.37267081 17.62732919],0
p7,1,0.189677,1.720127,[39 56] ; [34 32],[43.07453416 51.92546584] ; [29.92546584 36.07453416],0
n5,1,0.261765,1.2594,[61 34] ; [36 29],[57.59375 37.40625] ; [39.40625 25.59375],0
n1,1,0.361026,0.834322,[21 22] ; [11 18],[19.11111111 23.88888889] ; [12.88888889 16.11111111],0
u1,1,0.401908,0.70261,[10 85] ; [10 57],[11.72839506 83.27160494] ; [ 8.27160494 58.72839506],0
a3,1,0.415538,0.662901,[56 36] ; [45 22],[58.44025157 33.55974843] ; [42.55974843 24.44025157],0
