Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,5.9e-05,16.145833,[50 25] ; [74  6],[60. 15.] ; [64. 16.],1
r3,1,7.9e-05,15.591717,[52 23] ; [75  5],[61.4516129 13.5483871] ; [65.5483871 14.4516129],1
p7,1,0.000213,13.714987,[22 51] ; [48 32],[33.39869281 39.60130719] ; [36.60130719 43.39869281],1
p11,1,0.00059,11.806975,[27 49] ; [51 30],[37.75796178 38.24203822] ; [40.24203822 40.75796178],1
p4,1,0.001118,10.621118,[17 57] ; [39 42],[26.73548387 47.26451613] ; [29.26451613 51.73548387],0
r4,1,0.00126,10.400249,[44 32] ; [66 15],[53.24840764 22.75159236] ; [56.75159236 24.24840764],0
d3,1,0.002012,9.538845,[33 43] ; [55 26],[42.59872611 33.40127389] ; [45.40127389 35.59872611],0
p8,1,0.004345,8.133832,[14 61] ; [32 49],[22.11538462 52.88461538] ; [23.88461538 57.11538462],0
a7,1,0.013638,6.084448,[39 36] ; [57 23],[46.4516129 28.5483871] ; [49.5483871 30.4516129],0
p6,1,0.020402,5.377201,[ 8 66] ; [20 59],[13.54248366 60.45751634] ; [14.45751634 64.54248366],0
r1,1,0.023269,5.148322,[48 27] ; [65 16],[54.32692308 20.67307692] ; [58.67307692 22.32692308],0
p10,1,0.04414,4.051202,[13 62] ; [25 55],[18.38709677 56.61290323] ; [19.61290323 60.38709677],0
d5,1,0.046939,3.947572,[46 30] ; [61 20],[51.79617834 24.20382166] ; [55.20382166 25.79617834],0
n3,1,0.051599,3.788723,[11 14] ; [21  9],[14.54545455 10.45454545] ; [17.45454545 12.54545455],0
s1,1,0.057684,3.60276,[ 9 66] ; [ 3 76],[ 5.84415584 69.15584416] ; [ 6.15584416 72.84415584],0
n4,1,0.061847,3.487157,[44 31] ; [59 22],[49.51923077 25.48076923] ; [53.48076923 27.51923077],0
s2,1,0.08175,3.029758,[17 59] ; [28 52],[21.92307692 54.07692308] ; [23.07692308 56.92307692],0
v1,1,0.083978,2.986188,[21 55] ; [33 48],[26.14012739 49.85987261] ; [27.85987261 53.14012739],0
a6,1,0.103394,2.652389,[42 34] ; [55 26],[46.95541401 29.04458599] ; [50.04458599 30.95541401],0
n6,1,0.110384,2.548718,[42 32] ; [56 25],[46.78709677 27.21290323] ; [51.21290323 29.78709677],0
s8,1,0.116945,2.45777,[11 64] ; [20 61],[14.90384615 60.09615385] ; [16.09615385 64.90384615],0
n2,1,0.126591,2.333824,[15 14] ; [20  8],[17.80701754 11.19298246] ; [17.19298246 10.80701754],0
b5,1,0.135482,2.228543,[36 40] ; [48 33],[40.66242038 35.33757962] ; [43.33757962 37.66242038],0
s3,1,0.155343,2.018982,[25 50] ; [36 45],[29.32692308 45.67307692] ; [31.67307692 49.32692308],0
d1,1,0.156728,2.005512,[29 47] ; [40 41],[33.40127389 42.59872611] ; [35.59872611 45.40127389],0
a1,1,0.157943,1.993807,[ 7 69] ; [ 3 78],[ 4.84076433 71.15923567] ; [ 5.15923567 75.84076433],0
r2,1,0.171987,1.865541,[60 14] ; [72  9],[63.01935484 10.98064516] ; [68.98064516 12.01935484],0
v2,1,0.176156,1.82976,[28 46] ; [38 40],[32.13157895 41.86842105] ; [33.86842105 44.13157895],0
b4,1,0.193614,1.689901,[43 33] ; [54 27],[46.95541401 29.04458599] ; [50.04458599 30.95541401],0
p3,1,0.229547,1.443667,[17 58] ; [25 55],[20.32258065 54.67741935] ; [21.67741935 58.32258065],0
u1,1,0.281937,1.157728,[ 7 69] ; [12 69],[ 9.19745223 66.80254777] ; [ 9.80254777 71.19745223],0
s7,1,0.349227,0.876264,[16 56] ; [22 54],[18.48648649 53.51351351] ; [19.51351351 56.48648649],0
n1,1,0.507554,0.439106,[11 16] ; [ 9 19],[ 9.81818182 17.18181818] ; [10.18181818 17.81818182],0
b2,1,0.569652,0.323265,[18 32] ; [15 34],[16.66666667 33.33333333] ; [16.33333333 32.66666667],0
b3,1,0.569652,0.323265,[18 32] ; [15 34],[16.66666667 33.33333333] ; [16.33333333 32.66666667],0
a8,1,0.574011,0.316017,[ 6 67] ; [ 8 65],[ 7. 66.] ; [ 7. 66.],0
p5,1,0.623266,0.241304,[ 4 71] ; [ 3 78],[ 3.36538462 71.63461538] ; [ 3.63461538 77.36538462],0
s6,1,0.651855,0.20357,[27 48] ; [32 49],[28.36538462 46.63461538] ; [30.63461538 50.36538462],0
n5,1,0.705066,0.143256,[43 32] ; [44 37],[41.82692308 33.17307692] ; [45.17307692 35.82692308],0
a2,1,0.801236,0.063377,[12 64] ; [14 67],[12.58598726 63.41401274] ; [13.41401274 67.58598726],0
d2,1,0.827329,0.04758,[36 39] ; [37 43],[35.32258065 39.67741935] ; [37.67741935 42.32258065],0
p1,1,0.846814,0.037321,[ 6 70] ; [ 7 73],[ 6.33333333 69.66666667] ; [ 6.66666667 73.33333333],0
s5,1,0.856843,0.032542,[13 62] ; [13 67],[12.58064516 62.41935484] ; [13.41935484 66.58064516],0
a5,1,0.86228,0.030093,[44 32] ; [48 33],[44.53503185 31.46496815] ; [47.46496815 33.53503185],0
d4,1,0.879392,0.023025,[54 22] ; [57 22],[54.42580645 21.57419355] ; [56.57419355 22.42580645],0
v3,1,0.880594,0.022565,[23 50] ; [24 55],[22.57236842 50.42763158] ; [24.42763158 54.57236842],0
u3,1,0.895247,0.017337,[15 18] ; [16 18],[15.26865672 17.73134328] ; [15.73134328 18.26865672],0
a4,1,0.896539,0.016909,[27 48] ; [28 52],[26.61290323 48.38709677] ; [28.38709677 51.61290323],0
u2,1,0.896635,0.016877,[15 17] ; [16 17],[15.26153846 16.73846154] ; [15.73846154 17.26153846],0
b1,1,0.897267,0.016671,[43 33] ; [45 36],[42.59872611 33.40127389] ; [45.40127389 35.59872611],0
a3,1,0.930412,0.007626,[43 32] ; [47 34],[43.26923077 31.73076923] ; [46.73076923 34.26923077],0
p12,1,0.970877,0.001333,[ 1 75] ; [ 1 79],[ 0.97435897 75.02564103] ; [ 1.02564103 78.97435897],0
