Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,3.6e-05,17.072344,[49 13] ; [42 50],[36.63636364 25.36363636] ; [54.36363636 37.63636364],1
v2,1,0.000212,13.721407,[40 21] ; [31 58],[28.87333333 32.12666667] ; [42.12666667 46.87333333],1
a2,1,0.000683,11.533841,[15 47] ; [ 5 87],[ 8.05194805 53.94805195] ; [11.94805195 80.05194805],1
a4,1,0.00133,10.300881,[27 35] ; [18 74],[18.11688312 43.88311688] ; [26.88311688 65.11688312],0
v3,1,0.002038,9.515139,[24 37] ; [15 74],[15.86 45.14] ; [23.14 65.86],0
n5,1,0.003899,8.330336,[34 28] ; [29 63],[25.36363636 36.63636364] ; [37.63636364 54.36363636],0
p4,1,0.013644,6.083684,[34 28] ; [32 60],[26.57142857 35.42857143] ; [39.42857143 52.57142857],0
p3,1,0.0141,6.025533,[28 34] ; [24 68],[20.93506494 41.06493506] ; [31.06493506 60.93506494],0
p9,1,0.018249,5.572056,[54  8] ; [63 26],[48.0397351 13.9602649] ; [68.9602649 20.0397351],0
d4,1,0.023355,5.14192,[53  9] ; [64 28],[47.1038961 14.8961039] ; [69.8961039 22.1038961],0
s6,1,0.028823,4.778158,[42 18] ; [48 44],[35.52631579 24.47368421] ; [54.47368421 37.52631579],0
r1,1,0.031476,4.626812,[48 14] ; [56 36],[41.87012987 20.12987013] ; [62.12987013 29.87012987],0
a3,1,0.038066,4.302083,[44 18] ; [50 42],[37.84415584 24.15584416] ; [56.15584416 35.84415584],0
p10,1,0.042369,4.120393,[50 12] ; [59 31],[44.46052632 17.53947368] ; [64.53947368 25.46052632],0
b5,1,0.051831,3.781229,[44 18] ; [51 41],[38.24675325 23.75324675] ; [56.75324675 35.24675325],0
u1,1,0.05454,3.696108,[ 9 53] ; [ 5 87],[ 5.63636364 56.36363636] ; [ 8.36363636 83.63636364],0
n2,1,0.062588,3.46743,[19  3] ; [25 14],[15.86885246  6.13114754] ; [28.13114754 10.86885246],0
u3,1,0.094932,2.788692,[13  5] ; [20 21],[10.06779661  7.93220339] ; [22.93220339 18.06779661],0
r2,1,0.097949,2.738628,[58  3] ; [80 12],[55.01960784  5.98039216] ; [82.98039216  9.01960784],0
s8,1,0.103941,2.644012,[22 39] ; [22 70],[17.54248366 43.45751634] ; [26.45751634 65.54248366],0
