Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,91.24884,[362  87] ; [64 95],[314.59539474 134.40460526] ; [111.40460526  47.59539474],1
d3,1,0.0,80.078904,[388  62] ; [82 77],[347.29064039 102.70935961] ; [122.70935961  36.29064039],1
a2,1,0.0,30.459343,[139 311] ; [ 14 145],[113.05418719 336.94581281] ; [ 39.94581281 119.05418719],1
u1,1,0.0,25.823077,[113 337] ; [ 10 149],[ 90.88669951 359.11330049] ; [ 32.11330049 126.88669951],1
b5,1,1.6e-05,18.613323,[289 161] ; [71 88],[266.00985222 183.99014778] ; [93.99014778 65.00985222],1
v4,1,0.0003,13.071113,[432  13] ; [143  16],[423.63410596  21.36589404] ; [151.36589404   7.63410596],1
b4,1,0.007115,7.243731,[284 166] ; [81 78],[269.7044335 180.2955665] ; [95.2955665 63.7044335],0
d1,1,0.016257,5.774851,[326 124] ; [99 60],[314.03940887 135.96059113] ; [110.96059113  48.03940887],0
s5,1,0.019306,5.473554,[141 293] ; [65 86],[152.82735043 281.17264957] ; [53.17264957 97.82735043],0
b1,1,0.021973,5.247943,[147 303] ; [68 91],[158.86699507 291.13300493] ; [ 56.13300493 102.86699507],0
b2,1,0.029322,4.748623,[105 172] ; [55 55],[114.52196382 162.47803618] ; [45.47803618 64.52196382],0
b3,1,0.029322,4.748623,[105 172] ; [55 55],[114.52196382 162.47803618] ; [45.47803618 64.52196382],0
r2,1,0.029347,4.747124,[423  19] ; [143  14],[417.64941569  24.35058431] ; [148.35058431   8.64941569],0
p4,1,0.030423,4.685229,[295 153] ; [87 68],[283.80762852 164.19237148] ; [98.19237148 56.80762852],0
r4,1,0.032568,4.56833,[416  34] ; [138  21],[409.35960591  40.64039409] ; [144.64039409  14.35960591],0
a8,1,0.0367,4.364282,[ 68 335] ; [ 15 138],[ 60.16007194 342.83992806] ; [ 22.83992806 130.16007194],0
p2,1,0.037192,4.3416,[397  52] ; [126  28],[389.43117745  59.56882255] ; [133.56882255  20.43117745],0
s7,1,0.052243,3.767978,[208 225] ; [88 66],[218.34412266 214.65587734] ; [77.65587734 76.34412266],0
u3,1,0.07843,3.097148,[77 38] ; [16 16],[72.75510204 42.24489796] ; [20.24489796 11.75510204],0
s8,1,0.121165,2.402202,[200 247] ; [82 76],[208.35371901 238.64628099] ; [73.64628099 84.35371901],0
v2,1,0.121327,2.400102,[268 164] ; [84 69],[259.93846154 172.06153846] ; [92.06153846 60.93846154],0
p8,1,0.123481,2.372598,[261 183] ; [79 74],[252.86432161 191.13567839] ; [87.13567839 65.86432161],0
r1,1,0.132117,2.267454,[370  77] ; [123  36],[363.64851485  83.35148515] ; [129.35148515  29.64851485],0
n5,1,0.162889,1.947201,[335 110] ; [126  30],[341.33943428 103.66056572] ; [119.66056572  36.33943428],0
a3,1,0.164957,1.928186,[334 115] ; [127  32],[340.44243421 108.55756579] ; [120.55756579  38.44243421],0
p12,1,0.191378,1.706976,[ 45 402] ; [ 10 143],[ 40.975 406.025] ; [ 14.025 138.975],0
n1,1,0.196519,1.668053,[25 57] ; [15 20],[28.03418803 53.96581197] ; [11.96581197 23.03418803],0
p10,1,0.2018,1.629296,[392  54] ; [130  25],[387.37437604  58.62562396] ; [134.62562396  20.37437604],0
r3,1,0.293418,1.103872,[437  10] ; [152   6],[435.1785124  11.8214876] ; [153.8214876   4.1785124],0
s1,1,0.306123,1.047329,[ 12 431] ; [  2 155],[ 10.33666667 432.66333333] ; [  3.66333333 153.33666667],0
n4,1,0.385934,0.751715,[355  94] ; [130  28],[358.75617792  90.24382208] ; [126.24382208  31.75617792],0
s4,1,0.421204,0.646952,[ 64 377] ; [ 27 130],[ 67.10869565 373.89130435] ; [ 23.89130435 133.10869565],0
d5,1,0.421349,0.646551,[396  54] ; [136  23],[393.10344828  56.89655172] ; [138.89655172  20.10344828],0
u2,1,0.462319,0.540275,[75 40] ; [18 13],[73.25342466 41.74657534] ; [19.74657534 11.25342466],0
s6,1,0.476929,0.505878,[302 139] ; [100  53],[298.45454545 142.54545455] ; [103.54545455  49.45454545],0
n3,1,0.497313,0.460666,[59 24] ; [22 12],[57.46153846 25.53846154] ; [23.53846154 10.46153846],0
a4,1,0.559168,0.341147,[211 238] ; [79 80],[214.16118421 234.83881579] ; [75.83881579 83.16118421],0
n2,1,0.560129,0.339482,[59 23] ; [27  8],[60.27350427 21.72649573] ; [25.72649573  9.27350427],0
a1,1,0.57268,0.318219,[ 23 427] ; [ 10 149],[ 24.38423645 425.61576355] ; [  8.61576355 150.38423645],0
v1,1,0.59803,0.277978,[243 191] ; [90 64],[245.78571429 188.21428571] ; [87.21428571 66.78571429],0
u4,1,0.638128,0.221198,[ 11 438] ; [  5 154],[ 11.81578947 437.18421053] ; [  4.18421053 154.81578947],0
n6,1,0.639963,0.218791,[390  56] ; [135  22],[388.30845771  57.69154229] ; [136.69154229  20.30845771],0
s3,1,0.661172,0.192103,[249 189] ; [93 65],[251.33557047 186.66442953] ; [90.66442953 67.33557047],0
p7,1,0.694547,0.154207,[291 144] ; [105  48],[292.95918367 142.04081633] ; [103.04081633  49.95918367],0
p1,1,0.737857,0.112019,[ 35 412] ; [ 11 146],[ 34.04304636 412.95695364] ; [ 11.95695364 145.04304636],0
p5,1,0.743083,0.107435,[ 56 391] ; [ 21 134],[ 57.1744186 389.8255814] ; [ 19.8255814 135.1744186],0
d2,1,0.814585,0.054997,[231 218] ; [83 75],[232.26688633 216.73311367] ; [81.73311367 76.26688633],0
v3,1,0.820362,0.051565,[175 253] ; [65 90],[176.19210978 251.80789022] ; [63.80789022 91.19210978],0
