Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.000269,13.273106,[ 7 38] ; [ 95 117],[17.85992218 27.14007782] ; [ 84.14007782 127.85992218],1
b2,1,0.000269,13.273106,[ 7 38] ; [ 95 117],[17.85992218 27.14007782] ; [ 84.14007782 127.85992218],1
n4,1,0.00371,8.420622,[63 28] ; [273  56],[72.8 18.2] ; [263.2  65.8],0
v3,1,0.006209,7.488679,[27 63] ; [145 169],[38.31683168 51.68316832] ; [133.68316832 180.31683168],0
a8,1,0.006371,7.442154,[ 5 78] ; [ 56 250],[13.01542416 69.98457584] ; [ 47.98457584 258.01542416],0
s5,1,0.01652,5.746674,[45 39] ; [125 195],[35.34653465 48.65346535] ; [134.65346535 185.34653465],0
s6,1,0.037517,4.3268,[81  7] ; [271  55],[74.82125604 13.17874396] ; [277.17874396  48.82125604],0
s2,1,0.038866,4.266703,[80 11] ; [258  72],[73.05938242 17.94061758] ; [264.94061758  65.05938242],0
v2,1,0.053176,3.738375,[43 45] ; [189 124],[50.9127182 37.0872818] ; [181.0872818 131.9127182],0
n1,1,0.081569,3.033366,[ 5 14] ; [35 37],[ 8.35164835 10.64835165] ; [31.64835165 40.35164835],0
n5,1,0.119521,2.423588,[65 26] ; [258  68],[70.48681055 20.51318945] ; [252.51318945  73.48681055],0
u4,1,0.152065,2.051415,[ 1 90] ; [ 14 316],[ 3.24228029 87.75771971] ; [ 11.75771971 318.24228029],0
p12,1,0.152114,2.050921,[ 6 84] ; [ 39 287],[ 9.73557692 80.26442308] ; [ 35.26442308 290.73557692],0
d3,1,0.15303,2.04178,[71 20] ; [231  97],[65.58949881 25.41050119] ; [236.41050119  91.58949881],0
v1,1,0.176324,1.82834,[44 46] ; [181 137],[49.63235294 40.36764706] ; [175.36764706 142.63235294],0
a4,1,0.214756,1.539074,[49 42] ; [153 176],[43.76666667 47.23333333] ; [158.23333333 170.76666667],0
n3,1,0.227386,1.45714,[16  3] ; [50 21],[13.93333333  5.06666667] ; [52.06666667 18.93333333],0
p11,1,0.2385,1.389437,[67 24] ; [262  68],[71.11401425 19.88598575] ; [257.88598575  72.11401425],0
a6,1,0.243769,1.358663,[66 25] ; [216 111],[61.3923445 29.6076555] ; [220.6076555 106.3923445],0
