Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.002879,8.882723,[10  7] ; [11 42],[ 5.1 11.9] ; [15.9 37.1],0
s2,1,0.010584,6.533851,[9 8] ; [11 42],[ 4.85714286 12.14285714] ; [15.14285714 37.85714286],0
s3,1,0.020173,5.396897,[9 8] ; [12 40],[ 5.17391304 11.82608696] ; [15.82608696 36.17391304],0
p4,1,0.020662,5.355066,[8 9] ; [10 43],[ 4.37142857 12.62857143] ; [13.62857143 39.37142857],0
s4,1,0.022483,5.208006,[ 6 11] ; [ 6 47],[ 2.91428571 14.08571429] ; [ 9.08571429 43.91428571],0
p8,1,0.042935,4.097943,[ 7 10] ; [ 9 43],[ 3.94202899 13.05797101] ; [12.05797101 39.94202899],0
s6,1,0.062558,3.468248,[9 8] ; [15 38],[ 5.82857143 11.17142857] ; [18.17142857 34.82857143],0
a5,1,0.06422,3.424898,[13  4] ; [27 26],[9.71428571 7.28571429] ; [30.28571429 22.71428571],0
s5,1,0.071056,3.258461,[ 5 10] ; [ 7 46],[ 2.64705882 12.35294118] ; [ 9.35294118 43.64705882],0
n2,1,0.075684,3.155234,[8 1] ; [11  9],[5.89655172 3.10344828] ; [13.10344828  6.89655172],0
p1,1,0.122944,2.379412,[ 5 12] ; [ 7 46],[ 2.91428571 14.08571429] ; [ 9.08571429 43.91428571],0
s1,1,0.124492,2.359878,[ 3 14] ; [ 3 50],[ 1.45714286 15.54285714] ; [ 4.54285714 48.45714286],0
v2,1,0.13017,2.29048,[8 9] ; [13 35],[ 5.49230769 11.50769231] ; [15.50769231 32.49230769],0
p6,1,0.13201,2.26871,[ 5 12] ; [ 7 45],[ 2.95652174 14.04347826] ; [ 9.04347826 42.95652174],0
s8,1,0.186537,1.744755,[ 5 12] ; [ 8 45],[ 3.15714286 13.84285714] ; [ 9.84285714 43.15714286],0
r2,1,0.20307,1.620159,[14  3] ; [33 17],[11.92537313  5.07462687] ; [35.07462687 14.92537313],0
p9,1,0.205742,1.601141,[11  6] ; [22 25],[8.765625 8.234375] ; [24.234375 22.765625],0
p10,1,0.205804,1.600697,[10  7] ; [21 30],[7.75 9.25] ; [23.25 27.75],0
r3,1,0.228213,1.451967,[13  4] ; [32 21],[10.92857143  6.07142857] ; [34.07142857 18.92857143],0
b4,1,0.24771,1.336175,[12  5] ; [29 24],[9.95714286 7.04285714] ; [31.04285714 21.95714286],0
r4,1,0.268108,1.226401,[9 8] ; [20 33],[7.04285714 9.95714286] ; [21.95714286 31.04285714],0
d1,1,0.268108,1.226401,[9 8] ; [20 33],[7.04285714 9.95714286] ; [21.95714286 31.04285714],0
v3,1,0.276792,1.182774,[ 2 14] ; [13 38],[ 3.58208955 12.41791045] ; [11.41791045 39.58208955],0
d4,1,0.282925,1.152986,[13  4] ; [33 20],[11.17142857  5.82857143] ; [34.82857143 18.17142857],0
v1,1,0.329842,0.949517,[ 6 10] ; [13 39],[ 4.47058824 11.52941176] ; [14.52941176 37.47058824],0
b1,1,0.331062,0.944738,[ 7 10] ; [29 24],[8.74285714 8.25714286] ; [27.25714286 25.74285714],0
s7,1,0.34998,0.873529,[ 5 11] ; [10 40],[ 3.63636364 12.36363636] ; [11.36363636 38.63636364],0
d5,1,0.372578,0.795049,[12  5] ; [31 22],[10.44285714  6.55714286] ; [32.55714286 20.44285714],0
a2,1,0.408794,0.682306,[ 1 16] ; [ 7 46],[ 1.94285714 15.05714286] ; [ 6.05714286 46.94285714],0
d2,1,0.479808,0.499301,[9 7] ; [24 28],[7.76470588 8.23529412] ; [25.23529412 26.76470588],0
n1,1,0.48338,0.491228,[3 6] ; [ 9 10],[3.85714286 5.14285714] ; [ 8.14285714 10.85714286],0
a4,1,0.523735,0.406533,[ 7 10] ; [17 35],[ 5.91304348 11.08695652] ; [18.08695652 33.91304348],0
n6,1,0.544708,0.366883,[11  5] ; [32 21],[9.97101449 6.02898551] ; [33.02898551 19.97101449],0
b5,1,0.55513,0.348207,[11  6] ; [30 23],[9.95714286 7.04285714] ; [31.04285714 21.95714286],0
d3,1,0.571154,0.320756,[ 7 10] ; [26 27],[8.01428571 8.98571429] ; [24.98571429 28.01428571],0
a6,1,0.582046,0.302939,[8 9] ; [29 24],[8.98571429 8.01428571] ; [28.01428571 24.98571429],0
b3,1,0.635207,0.225065,[4 7] ; [16 20],[4.68085106 6.31914894] ; [15.31914894 20.68085106],0
b2,1,0.635207,0.225065,[4 7] ; [16 20],[4.68085106 6.31914894] ; [15.31914894 20.68085106],0
v4,1,0.648989,0.207177,[11  6] ; [31 22],[10.2  6.8] ; [31.8 21.2],0
p5,1,0.682206,0.167653,[ 1 15] ; [ 2 50],[ 0.70588235 15.29411765] ; [ 2.29411765 49.70588235],0
a3,1,0.749702,0.101782,[11  6] ; [32 21],[10.44285714  6.55714286] ; [32.55714286 20.44285714],0
n3,1,0.781793,0.07672,[5 4] ; [10 10],[4.65517241 4.34482759] ; [10.34482759  9.65517241],0
n4,1,0.872152,0.025897,[10  7] ; [30 23],[9.71428571 7.28571429] ; [30.28571429 22.71428571],0
a1,1,0.877099,0.023916,[ 2 15] ; [ 7 46],[ 2.18571429 14.81428571] ; [ 6.81428571 46.18571429],0
a7,1,0.885969,0.020565,[8 9] ; [26 27],[8.25714286 8.74285714] ; [25.74285714 27.25714286],0
p11,1,0.898235,0.016356,[8 9] ; [24 29],[7.77142857 9.22857143] ; [24.22857143 28.77142857],0
n5,1,0.966857,0.001726,[11  6] ; [34 19],[10.92857143  6.07142857] ; [34.07142857 18.92857143],0
a8,1,0.986176,0.0003,[ 1 16] ; [ 3 49],[ 0.98550725 16.01449275] ; [ 3.01449275 48.98550725],0
u3,1,1.0,0.0,[2 4] ; [ 7 14],[2. 4.] ; [ 7. 14.],0
