Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.016902,5.706502,[12  4] ; [ 7 13],[8.44444444 7.55555556] ; [10.55555556  9.44444444],0
b2,1,0.018028,5.59339,[6 8] ; [ 1 15],[ 3.26666667 10.73333333] ; [ 3.73333333 12.26666667],0
b3,1,0.018028,5.59339,[6 8] ; [ 1 15],[ 3.26666667 10.73333333] ; [ 3.73333333 12.26666667],0
s8,1,0.018856,5.514776,[9 7] ; [ 4 17],[ 5.62162162 10.37837838] ; [ 7.37837838 13.62162162],0
a8,1,0.053829,3.718,[6 9] ; [ 2 16],[ 3.63636364 11.36363636] ; [ 4.36363636 13.63636364],0
p7,1,0.064569,3.415944,[11  5] ; [ 8 13],[8.21621622 7.78378378] ; [10.78378378 10.21621622],0
p2,1,0.068406,3.320866,[13  3] ; [11 10],[10.37837838  5.62162162] ; [13.62162162  7.37837838],0
s3,1,0.068406,3.320866,[13  3] ; [11 10],[10.37837838  5.62162162] ; [13.62162162  7.37837838],0
a3,1,0.122865,2.380408,[11  4] ; [10 11],[8.75 6.25] ; [12.25  8.75],0
r4,1,0.143389,2.141204,[14  2] ; [14  7],[12.10810811  3.89189189] ; [15.89189189  5.10810811],0
v3,1,0.151494,2.057143,[ 3 12] ; [ 9 12],[ 5. 10.] ; [ 7. 14.],0
v2,1,0.154157,2.030625,[11  5] ; [ 9 11],[8.88888889 7.11111111] ; [11.11111111  8.88888889],0
s2,1,0.198672,1.652113,[11  5] ; [10 11],[9.08108108 6.91891892] ; [11.91891892  9.08108108],0
s6,1,0.239407,1.384083,[14  2] ; [15  6],[12.54054054  3.45945946] ; [16.45945946  4.54054054],0
v4,1,0.259286,1.272563,[15  1] ; [17  4],[13.83783784  2.16216216] ; [18.16216216  2.83783784],0
u1,1,0.259286,1.272563,[ 1 15] ; [ 4 17],[ 2.16216216 13.83783784] ; [ 2.83783784 18.16216216],0
a5,1,0.259653,1.270604,[12  4] ; [12  9],[10.37837838  5.62162162] ; [13.62162162  7.37837838],0
u2,1,0.263552,1.25,[1 4] ; [5 5],[2. 3.] ; [4. 6.],0
u3,1,0.377026,0.780375,[3 2] ; [4 7],[2.1875 2.8125] ; [4.8125 6.1875],0
p6,1,0.409727,0.679592,[ 4 12] ; [ 3 18],[ 3.02702703 12.97297297] ; [ 3.97297297 17.02702703],0
d1,1,0.419391,0.652021,[9 7] ; [ 9 12],[7.78378378 8.21621622] ; [10.21621622 10.78378378],0
p1,1,0.435482,0.608157,[ 1 15] ; [ 3 18],[ 1.72972973 14.27027027] ; [ 2.27027027 18.72972973],0
d5,1,0.490298,0.475872,[13  3] ; [15  6],[12.10810811  3.89189189] ; [15.89189189  5.10810811],0
v1,1,0.534772,0.385316,[8 7] ; [ 9 12],[7.08333333 7.91666667] ; [ 9.91666667 11.08333333],0
a7,1,0.548506,0.36,[8 8] ; [ 8 12],[7.11111111 8.88888889] ; [ 8.88888889 11.11111111],0
b4,1,0.582716,0.301865,[12  4] ; [14  7],[11.24324324  4.75675676] ; [14.75675676  6.24324324],0
d2,1,0.59256,0.286364,[9 7] ; [13  7],[9.77777778 6.22222222] ; [12.22222222  7.77777778],0
p8,1,0.613642,0.254905,[ 5 11] ; [ 5 16],[ 4.32432432 11.67567568] ; [ 5.67567568 15.32432432],0
b5,1,0.665671,0.186708,[11  5] ; [13  8],[10.37837838  5.62162162] ; [13.62162162  7.37837838],0
a6,1,0.6658,0.186555,[8 8] ; [12  9],[8.64864865 7.35135135] ; [11.35135135  9.64864865],0
n6,1,0.668576,0.183273,[11  4] ; [14  7],[10.41666667  4.58333333] ; [14.58333333  6.41666667],0
n2,1,0.715388,0.132955,[4 1] ; [7 1],[4.23076923 0.76923077] ; [6.76923077 1.23076923],0
n1,1,0.724939,0.12381,[2 3] ; [4 4],[2.30769231 2.69230769] ; [3.69230769 4.30769231],0
p3,1,0.728532,0.120464,[7 9] ; [ 8 13],[6.48648649 9.51351351] ; [ 8.51351351 12.48648649],0
n4,1,0.769324,0.086001,[10  5] ; [13  8],[9.58333333 5.41666667] ; [13.41666667  7.58333333],0
p5,1,0.77271,0.083424,[ 2 14] ; [ 2 19],[ 1.72972973 14.27027027] ; [ 2.27027027 18.72972973],0
r1,1,0.808514,0.05873,[12  4] ; [15  6],[11.67567568  4.32432432] ; [15.32432432  5.67567568],0
s4,1,0.808514,0.05873,[ 4 12] ; [ 6 15],[ 4.32432432 11.67567568] ; [ 5.67567568 15.32432432],0
p4,1,0.815019,0.054736,[9 7] ; [11 10],[8.64864865 7.35135135] ; [11.35135135  9.64864865],0
b1,1,0.815019,0.054736,[7 9] ; [10 11],[7.35135135 8.64864865] ; [ 9.64864865 11.35135135],0
n5,1,0.863887,0.029388,[9 6] ; [12  9],[8.75 6.25] ; [12.25  8.75],0
a4,1,0.885855,0.020607,[8 8] ; [10 11],[7.78378378 8.21621622] ; [10.21621622 10.78378378],0
d3,1,0.956688,0.00295,[9 7] ; [12  9],[9.08108108 6.91891892] ; [11.91891892  9.08108108],0
p11,1,0.956688,0.00295,[9 7] ; [12  9],[9.08108108 6.91891892] ; [11.91891892  9.08108108],0
a2,1,0.981731,0.000524,[ 3 13] ; [ 4 17],[ 3.02702703 12.97297297] ; [ 3.97297297 17.02702703],0
