Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.000276,13.229623,[ 5 29] ; [10  5],[10.40816327 23.59183673] ; [ 4.59183673 10.40816327],1
d3,1,0.000673,11.561438,[14 20] ; [14  1],[19.42857143 14.57142857] ; [8.57142857 6.42857143],1
v3,1,0.001817,9.725561,[ 4 30] ; [8 7],[ 8.32653061 25.67346939] ; [ 3.67346939 11.32653061],0
v2,1,0.002097,9.462235,[ 9 25] ; [11  4],[13.87755102 20.12244898] ; [6.12244898 8.87755102],0
d5,1,0.002184,9.388043,[16 18] ; [14  1],[20.81632653 13.18367347] ; [9.18367347 5.81632653],0
a4,1,0.016495,5.749342,[ 5 29] ; [7 8],[ 8.32653061 25.67346939] ; [ 3.67346939 11.32653061],0
p5,1,0.032406,4.576907,[ 3 31] ; [ 5 10],[ 5.55102041 28.44897959] ; [ 2.44897959 12.55102041],0
n6,1,0.070992,3.259945,[20 13] ; [13  2],[22.6875 10.3125] ; [10.3125  4.6875],0
p10,1,0.072438,3.226891,[20 14] ; [12  2],[22.66666667 11.33333333] ; [9.33333333 4.66666667],0
p4,1,0.073188,3.210031,[18 16] ; [12  3],[20.81632653 13.18367347] ; [9.18367347 5.81632653],0
r4,1,0.105317,2.62313,[ 8 26] ; [7 8],[10.40816327 23.59183673] ; [ 4.59183673 10.40816327],0
u2,1,0.126156,2.339181,[13  6] ; [2 4],[11.4  7.6] ; [3.6 2.4],0
s7,1,0.135397,2.229502,[13 19] ; [ 2 10],[10.90909091 21.09090909] ; [4.09090909 7.90909091],0
s2,1,0.18055,1.793094,[ 8 26] ; [6 8],[ 9.91666667 24.08333333] ; [4.08333333 9.91666667],0
p11,1,0.227723,1.455026,[24 10] ; [13  2],[25.67346939  8.32653061] ; [11.32653061  3.67346939],0
p7,1,0.236375,1.402082,[22 12] ; [7 8],[20.12244898 13.87755102] ; [8.87755102 6.12244898],0
n4,1,0.247891,1.335153,[19 15] ; [11  4],[20.81632653 13.18367347] ; [9.18367347 5.81632653],0
n2,1,0.279353,1.170236,[9 8] ; [4 1],[10.04545455  6.95454545] ; [2.95454545 2.04545455],0
s6,1,0.305365,1.050618,[15 19] ; [9 6],[16.65306122 17.34693878] ; [7.34693878 7.65306122],0
a6,1,0.305365,1.050618,[15 19] ; [9 6],[16.65306122 17.34693878] ; [7.34693878 7.65306122],0
a7,1,0.305365,1.050618,[15 19] ; [9 6],[16.65306122 17.34693878] ; [7.34693878 7.65306122],0
a3,1,0.305365,1.050618,[15 19] ; [9 6],[16.65306122 17.34693878] ; [7.34693878 7.65306122],0
a5,1,0.305365,1.050618,[15 19] ; [9 6],[16.65306122 17.34693878] ; [7.34693878 7.65306122],0
p3,1,0.338115,0.917566,[11 23] ; [7 8],[12.48979592 21.51020408] ; [5.51020408 9.48979592],0
v1,1,0.338115,0.917566,[11 23] ; [7 8],[12.48979592 21.51020408] ; [5.51020408 9.48979592],0
s4,1,0.414399,0.666144,[ 8 26] ; [ 2 13],[ 6.93877551 27.06122449] ; [ 3.06122449 11.93877551],0
b1,1,0.430394,0.62176,[20 14] ; [7 8],[18.73469388 15.26530612] ; [8.26530612 6.73469388],0
s1,1,0.54356,0.368982,[ 1 33] ; [ 1 14],[ 1.3877551 32.6122449] ; [ 0.6122449 14.3877551],0
u1,1,0.54356,0.368982,[ 1 33] ; [ 1 14],[ 1.3877551 32.6122449] ; [ 0.6122449 14.3877551],0
b5,1,0.551346,0.354912,[19 15] ; [7 8],[18.04081633 15.95918367] ; [7.95918367 7.04081633],0
p9,1,0.57159,0.32003,[24 10] ; [11  3],[24.79166667  9.20833333] ; [10.20833333  3.79166667],0
s3,1,0.57159,0.32003,[10 24] ; [ 3 11],[ 9.20833333 24.79166667] ; [ 3.79166667 10.20833333],0
r1,1,0.579965,0.306291,[13 21] ; [7 8],[13.87755102 20.12244898] ; [6.12244898 8.87755102],0
n5,1,0.603537,0.269694,[20 14] ; [10  5],[20.81632653 13.18367347] ; [9.18367347 5.81632653],0
p12,1,0.630765,0.231025,[ 3 31] ; [ 2 13],[ 3.46938776 30.53061224] ; [ 1.53061224 13.46938776],0
a8,1,0.641838,0.216346,[ 4 28] ; [ 1 12],[ 3.55555556 28.44444444] ; [ 1.44444444 11.55555556],0
b2,1,0.664617,0.187963,[ 6 14] ; [2 7],[ 5.51724138 14.48275862] ; [2.48275862 6.51724138],0
b3,1,0.664617,0.187963,[ 6 14] ; [2 7],[ 5.51724138 14.48275862] ; [2.48275862 6.51724138],0
v4,1,0.690601,0.158435,[23 11] ; [11  4],[23.59183673 10.40816327] ; [10.40816327  4.59183673],0
r3,1,0.745828,0.10507,[25  8] ; [12  3],[25.4375  7.5625] ; [11.5625  3.4375],0
s5,1,0.784933,0.074472,[ 8 26] ; [ 3 12],[ 7.63265306 26.36734694] ; [ 3.36734694 11.63265306],0
p6,1,0.844579,0.038431,[10 24] ; [ 4 11],[ 9.71428571 24.28571429] ; [ 4.28571429 10.71428571],0
u3,1,0.935989,0.00645,[ 6 13] ; [2 4],[ 6.08 12.92] ; [1.92 4.08],0
s8,1,0.946225,0.004549,[11 23] ; [ 5 10],[11.10204082 22.89795918] ; [ 4.89795918 10.10204082],0
n3,1,0.962486,0.002212,[10  7] ; [3 2],[10.04545455  6.95454545] ; [2.95454545 2.04545455],0
p8,1,0.979775,0.000643,[16 18] ; [7 8],[15.95918367 18.04081633] ; [7.04081633 7.95918367],0
b4,1,0.979775,0.000643,[18 16] ; [8 7],[18.04081633 15.95918367] ; [7.95918367 7.04081633],0
