Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,39.012863,[ 27 124] ; [97 95],[54.58892128 96.41107872] ; [ 69.41107872 122.58892128],1
v1,1,4e-06,21.096623,[57 96] ; [121  74],[78.25862069 74.74137931] ; [99.74137931 95.25862069],1
r3,1,5.8e-05,16.178658,[134  20] ; [192   4],[143.44  10.56] ; [182.56  13.44],1
p10,1,0.000325,12.918459,[99 53] ; [160  35],[113.45244957  38.54755043] ; [145.54755043  49.45244957],1
p11,1,0.000859,11.10887,[106  48] ; [166  32],[119.  35.] ; [153.  45.],1
p9,1,0.001546,10.023352,[105  48] ; [162  33],[117.38793103  35.61206897] ; [149.61206897  45.38793103],0
p3,1,0.001601,9.958832,[56 97] ; [106  92],[70.61538462 82.38461538] ; [ 91.38461538 106.61538462],0
s1,1,0.011728,6.351601,[  7 145] ; [  1 194],[  3.50432277 148.49567723] ; [  4.49567723 190.50432277],0
p4,1,0.012783,6.198905,[70 82] ; [116  79],[81.47550432 70.52449568] ; [104.52449568  90.47550432],0
p7,1,0.015239,5.888671,[81 70] ; [129  65],[91.91304348 59.08695652] ; [118.08695652  75.91304348],0
a6,1,0.018122,5.584286,[98 56] ; [149  49],[108.0625  45.9375] ; [138.9375  59.0625],0
a3,1,0.021797,5.261943,[94 57] ; [146  52],[103.83954155  47.16045845] ; [136.16045845  61.83954155],0
a7,1,0.022249,5.226213,[101  53] ; [151  46],[110.56410256  43.43589744] ; [141.43589744  55.56410256],0
r2,1,0.029156,4.758399,[141  13] ; [188   6],[145.59195402   8.40804598] ; [183.40804598  10.59195402],0
s3,1,0.035213,4.434801,[ 43 110] ; [ 36 158],[ 34.83285303 118.16714697] ; [ 44.16714697 149.83285303],0
p8,1,0.040871,4.181342,[69 83] ; [109  84],[78.42318841 73.57681159] ; [99.57681159 93.42318841],0
d3,1,0.053398,3.731407,[98 56] ; [145  53],[106.3125  47.6875] ; [136.6875  61.3125],0
n1,1,0.055629,3.663136,[21 29] ; [ 8 28],[16.86046512 33.13953488] ; [12.13953488 23.86046512],0
r4,1,0.059282,3.557347,[137  17] ; [187  11],[141.75  12.25] ; [182.25  15.75],0
n6,1,0.066662,3.363355,[116  38] ; [164  33],[122.84900285  31.15099715] ; [157.15099715  39.84900285],0
b1,1,0.070478,3.271843,[65 89] ; [ 65 133],[56.875 97.125] ; [ 73.125 124.875],0
d5,1,0.086155,2.944797,[117  37] ; [165  33],[123.375  30.625] ; [158.625  39.375],0
p2,1,0.087475,2.92023,[117  36] ; [165  32],[123.27428571  29.72571429] ; [158.72571429  38.27428571],0
a5,1,0.106779,2.601251,[109  45] ; [155  43],[115.5  38.5] ; [148.5  49.5],0
u3,1,0.155012,2.022222,[38 22] ; [26 26],[34.28571429 25.71428571] ; [29.71428571 22.28571429],0
d1,1,0.172428,1.861704,[79 75] ; [116  82],[85.3125 68.6875] ; [109.6875  88.3125],0
a2,1,0.248658,1.330827,[ 28 126] ; [ 46 152],[ 32.375 121.625] ; [ 41.625 156.375],0
u1,1,0.256163,1.289377,[ 19 135] ; [ 33 165],[ 22.75 131.25] ; [ 29.25 168.75],0
d4,1,0.26576,1.2385,[121  33] ; [164  33],[125.04273504  28.95726496] ; [159.95726496  37.04273504],0
v4,1,0.29007,1.119299,[141  12] ; [187  10],[143.38285714   9.61714286] ; [184.61714286  12.38285714],0
n5,1,0.330633,0.946417,[100  53] ; [137  58],[104.19827586  48.80172414] ; [132.80172414  62.19827586],0
b5,1,0.332694,0.938384,[95 59] ; [112  86],[90.5625 63.4375] ; [116.4375  81.5625],0
b4,1,0.435771,0.607393,[95 59] ; [114  84],[91.4375 62.5625] ; [117.5625  80.4375],0
d2,1,0.439426,0.597781,[64 90] ; [ 90 107],[67.56695157 86.43304843] ; [ 86.43304843 110.56695157],0
s4,1,0.443254,0.587845,[ 17 135] ; [ 17 178],[ 14.89337176 137.10662824] ; [ 19.10662824 175.89337176],0
n3,1,0.510946,0.432128,[31 17] ; [25 10],[32.38554217 15.61445783] ; [23.61445783 11.38554217],0
p12,1,0.533432,0.38785,[  5 147] ; [  9 186],[  6.13256484 145.86743516] ; [  7.86743516 187.13256484],0
p6,1,0.544596,0.367088,[ 42 110] ; [ 60 136],[ 44.55172414 107.44827586] ; [ 57.44827586 138.55172414],0
a4,1,0.591232,0.288425,[62 90] ; [ 86 111],[64.45845272 87.54154728] ; [ 83.54154728 113.45845272],0
n4,1,0.630395,0.231525,[112  42] ; [147  49],[113.96  40.04] ; [145.04  50.96],0
u4,1,0.71492,0.133412,[  1 153] ; [  2 196],[  1.3125 152.6875] ; [  1.6875 196.3125],0
b2,1,0.732766,0.116587,[30 61] ; [44 81],[31.17592593 59.82407407] ; [42.82407407 82.17592593],0
b3,1,0.732766,0.116587,[30 61] ; [44 81],[31.17592593 59.82407407] ; [42.82407407 82.17592593],0
s6,1,0.753239,0.09883,[72 76] ; [ 92 104],[70.55813953 77.44186047] ; [ 93.44186047 102.55813953],0
p5,1,0.753549,0.098573,[ 14 139] ; [ 20 177],[ 14.86285714 138.13714286] ; [ 19.13714286 177.86285714],0
n2,1,0.75717,0.095604,[34 18] ; [24 11],[34.66666667 17.33333333] ; [23.33333333 11.66666667],0
u2,1,0.804651,0.061173,[32 28] ; [26 25],[31.35135135 28.64864865] ; [26.64864865 24.35135135],0
s5,1,0.809613,0.058045,[ 32 117] ; [ 44 151],[ 32.91860465 116.08139535] ; [ 43.08139535 151.91860465],0
a8,1,0.864607,0.029075,[ 16 123] ; [ 21 152],[ 16.48397436 122.51602564] ; [ 20.51602564 152.48397436],0
s7,1,0.872385,0.025802,[ 40 106] ; [ 53 135],[ 40.65269461 105.34730539] ; [ 52.34730539 135.65269461],0
a1,1,0.945209,0.004723,[  6 148] ; [  8 190],[  6.125 147.875] ; [  7.875 190.125],0
p1,1,0.976157,0.000893,[ 11 142] ; [ 14 183],[ 10.92857143 142.07142857] ; [ 14.07142857 182.92857143],0
s8,1,0.986694,0.000278,[ 42 110] ; [ 54 142],[ 41.93103448 110.06896552] ; [ 54.06896552 141.93103448],0
