Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,7.2e-05,15.752727,[26 28] ; [ 7 47],[16.5 37.5] ; [16.5 37.5],1
d5,1,0.004287,8.158136,[51  7] ; [38 20],[44.5 13.5] ; [44.5 13.5],0
v1,1,0.011136,6.443562,[33 25] ; [19 38],[26.22608696 31.77391304] ; [25.77391304 31.22608696],0
a5,1,0.033657,4.512053,[45 13] ; [35 24],[39.65811966 18.34188034] ; [40.34188034 18.65811966],0
a3,1,0.056116,3.648615,[44 14] ; [35 24],[39.16239316 18.83760684] ; [39.83760684 19.16239316],0
r1,1,0.062087,3.480743,[53  4] ; [48 11],[49.62931034  7.37068966] ; [51.37068966  7.62931034],0
p4,1,0.07682,3.130935,[32 25] ; [23 35],[27.26086957 29.73913043] ; [27.73913043 30.26086957],0
d1,1,0.07929,3.079397,[33 25] ; [24 35],[28.25641026 29.74358974] ; [28.74358974 30.25641026],0
p8,1,0.080087,3.063127,[28 28] ; [20 39],[23.37391304 32.62608696] ; [24.62608696 34.37391304],0
v4,1,0.093555,2.812121,[53  5] ; [57  1],[55.  3.] ; [55.  3.],0
s1,1,0.106985,2.598198,[ 1 54] ; [ 5 53],[ 2.92035398 52.07964602] ; [ 3.07964602 54.92035398],0
u2,1,0.127988,2.316739,[12  2] ; [15  9],[9.94736842 4.05263158] ; [17.05263158  6.94736842],0
p3,1,0.140259,2.175119,[28 29] ; [21 38],[24.07758621 32.92241379] ; [24.92241379 34.07758621],0
p10,1,0.154784,2.02446,[37 18] ; [32 27],[33.28947368 21.71052632] ; [35.71052632 23.28947368],0
p5,1,0.158201,1.991334,[ 4 53] ; [ 1 58],[ 2.45689655 54.54310345] ; [ 2.54310345 56.45689655],0
s3,1,0.162692,1.949027,[26 31] ; [34 24],[29.73913043 27.26086957] ; [30.26086957 27.73913043],0
s7,1,0.220671,1.5,[21 33] ; [15 39],[18. 36.] ; [18. 36.],0
n5,1,0.223123,1.48417,[26 31] ; [20 38],[22.8 34.2] ; [23.2 34.8],0
b5,1,0.223622,1.480976,[33 25] ; [40 19],[36.18803419 21.81196581] ; [36.81196581 22.18803419],0
d4,1,0.227946,1.453634,[50  8] ; [45 13],[47.5 10.5] ; [47.5 10.5],0
n3,1,0.23314,1.421602,[13  2] ; [11  5],[11.61290323  3.38709677] ; [12.38709677  3.61290323],0
n1,1,0.25341,1.304405,[7 6] ; [ 6 12],[5.4516129 7.5483871] ; [ 7.5483871 10.4516129],0
p6,1,0.274927,1.191997,[16 38] ; [12 46],[13.5 40.5] ; [14.5 43.5],0
a8,1,0.323611,0.974296,[ 4 46] ; [ 8 49],[ 5.60747664 44.39252336] ; [ 6.39252336 50.60747664],0
u3,1,0.385223,0.753968,[10  4] ; [20  4],[11.05263158  2.94736842] ; [18.94736842  5.05263158],0
b2,1,0.390882,0.736197,[10 21] ; [ 9 30],[ 8.41428571 22.58571429] ; [10.58571429 28.41428571],0
b3,1,0.390882,0.736197,[10 21] ; [ 9 30],[ 8.41428571 22.58571429] ; [10.58571429 28.41428571],0
n2,1,0.391805,0.733333,[12  3] ; [12  6],[10.90909091  4.09090909] ; [13.09090909  4.90909091],0
p7,1,0.392459,0.73131,[30 25] ; [26 30],[27.74774775 27.25225225] ; [28.25225225 27.74774775],0
s2,1,0.450805,0.568627,[26 32] ; [22 36],[24. 34.] ; [24. 34.],0
s4,1,0.47688,0.50599,[ 8 50] ; [11 48],[ 9.41880342 48.58119658] ; [ 9.58119658 49.41880342],0
d3,1,0.555445,0.347652,[40 18] ; [37 21],[38.5 19.5] ; [38.5 19.5],0
s6,1,0.567771,0.326427,[32 25] ; [30 29],[30.46551724 26.53448276] ; [31.53448276 27.46551724],0
a1,1,0.568731,0.32481,[ 1 57] ; [ 2 57],[ 1.48717949 56.51282051] ; [ 1.51282051 57.48717949],0
p9,1,0.581095,0.304468,[39 16] ; [39 20],[37.63157895 17.36842105] ; [40.36842105 18.63157895],0
a7,1,0.593626,0.284717,[41 17] ; [39 20],[39.65811966 18.34188034] ; [40.34188034 18.65811966],0
r2,1,0.63362,0.227184,[55  3] ; [57  2],[55.52136752  2.47863248] ; [56.47863248  2.52136752],0
s8,1,0.648063,0.208351,[21 37] ; [19 40],[19.82905983 38.17094017] ; [20.17094017 38.82905983],0
b4,1,0.650082,0.205796,[32 26] ; [35 24],[33.21367521 24.78632479] ; [33.78632479 25.21367521],0
a2,1,0.65329,0.201777,[ 9 49] ; [11 48],[ 9.91452991 48.08547009] ; [10.08547009 48.91452991],0
d2,1,0.704239,0.144099,[22 36] ; [24 34],[23. 35.] ; [23. 35.],0
p1,1,0.728539,0.120457,[ 5 53] ; [ 4 54],[ 4.5 53.5] ; [ 4.5 53.5],0
s5,1,0.780702,0.077509,[13 42] ; [12 44],[12.38738739 42.61261261] ; [12.61261261 43.38738739],0
n4,1,0.785379,0.074156,[30 28] ; [32 27],[30.73504274 27.26495726] ; [31.26495726 27.73504274],0
a4,1,0.793139,0.068768,[22 36] ; [21 38],[21.31623932 36.68376068] ; [21.68376068 37.31623932],0
p11,1,0.899831,0.015844,[38 20] ; [38 21],[37.67521368 20.32478632] ; [38.32478632 20.67521368],0
p2,1,0.916565,0.010975,[43 14] ; [45 14],[43.24137931 13.75862069] ; [44.75862069 14.24137931],0
b1,1,0.929413,0.007847,[28 30] ; [28 31],[27.76068376 30.23931624] ; [28.23931624 30.76068376],0
u1,1,0.975066,0.000977,[ 6 52] ; [ 6 53],[ 5.94871795 52.05128205] ; [ 6.05128205 52.94871795],0
a6,1,1.0,0.0,[40 18] ; [40 18],[40. 18.] ; [40. 18.],0
