Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,46.602612,[197  58] ; [24 46],[173.4  81.6] ; [47.6 22.4],1
s8,1,0.0,27.916732,[176  86] ; [24 49],[156.41791045 105.58208955] ; [43.58208955 29.41791045],1
s5,1,0.0,27.448663,[135 118] ; [13 58],[115.56790123 137.43209877] ; [32.43209877 38.56790123],1
s6,1,1e-06,24.445112,[230  28] ; [46 25],[216.43768997  41.56231003] ; [59.56231003 11.43768997],1
p10,1,2e-06,22.652276,[234  28] ; [47 24],[221.08708709  40.91291291] ; [59.91291291 11.08708709],1
p9,1,7.6e-05,15.652783,[237  25] ; [53 20],[226.80597015  35.19402985] ; [63.19402985  9.80597015],1
d1,1,0.00021,13.742123,[168  95] ; [29 44],[154.19940476 108.80059524] ; [42.80059524 30.19940476],1
d4,1,0.000457,12.28462,[226  34] ; [50 22],[216.14457831  43.85542169] ; [59.85542169 12.14457831],1
d5,1,0.002092,9.466624,[217  43] ; [49 24],[207.68768769  52.31231231] ; [58.31231231 14.68768769],0
v4,1,0.002265,9.321015,[254   7] ; [64  8],[249.24324324  11.75675676] ; [68.75675676  3.24324324],0
u1,1,0.003869,8.344267,[ 57 206] ; [ 5 68],[ 48.5297619 214.4702381] ; [13.4702381 59.5297619],0
a2,1,0.003964,8.30033,[ 76 187] ; [ 9 64],[ 66.5327381 196.4672619] ; [18.4672619 54.5327381],0
r1,1,0.004743,7.974727,[226  36] ; [52 20],[218.07185629  43.92814371] ; [59.92814371 12.07185629],0
a3,1,0.006389,7.437146,[205  57] ; [45 27],[196.10778443  65.89221557] ; [53.89221557 18.10778443],0
a4,1,0.009792,6.672426,[129 134] ; [23 49],[119.33134328 143.66865672] ; [32.66865672 39.33134328],0
d3,1,0.015332,5.877896,[192  69] ; [43 30],[183.63772455  77.36227545] ; [51.36227545 21.63772455],0
p12,1,0.019403,5.464805,[ 32 231] ; [ 2 70],[ 26.69253731 236.30746269] ; [ 7.30746269 64.69253731],0
p6,1,0.02299,5.169282,[140 123] ; [27 44],[131.5 131.5] ; [35.5 35.5],0
a5,1,0.026116,4.948319,[200  63] ; [46 27],[192.55357143  70.44642857] ; [53.44642857 19.55357143],0
p4,1,0.026149,4.946128,[193  69] ; [44 29],[185.35522388  76.64477612] ; [51.64477612 21.35522388],0
r2,1,0.026499,4.923142,[250   9] ; [64  7],[246.44242424  12.55757576] ; [67.55757576  3.44242424],0
v3,1,0.032655,4.563761,[117 137] ; [23 49],[109.0797546 144.9202454] ; [30.9202454 41.0797546],0
n6,1,0.041521,4.154644,[226  32] ; [57 16],[220.58610272  37.41389728] ; [62.41389728 10.58610272],0
v1,1,0.043401,4.079709,[151 107] ; [31 38],[143.59633028 114.40366972] ; [38.40366972 30.59633028],0
n5,1,0.043577,4.072867,[214  47] ; [52 21],[207.86227545  53.13772455] ; [58.13772455 14.86227545],0
