Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3.8e-05,16.984385,[18  7] ; [ 6 27],[10.34482759 14.65517241] ; [13.65517241 19.34482759],1
p11,1,0.000347,12.795542,[14 11] ; [ 4 29],[ 7.75862069 17.24137931] ; [10.24137931 22.75862069],1
p2,1,0.000553,11.927459,[16  8] ; [ 7 26],[ 9.68421053 14.31578947] ; [13.31578947 19.68421053],1
p8,1,0.008231,6.9825,[13 12] ; [ 6 26],[ 8.33333333 16.66666667] ; [10.66666667 21.33333333],0
v4,1,0.010556,6.538523,[19  6] ; [14 19],[14.22413793 10.77586207] ; [18.77586207 14.22413793],0
v1,1,0.015064,5.90897,[12 13] ; [ 6 27],[ 7.75862069 17.24137931] ; [10.24137931 22.75862069],0
s8,1,0.022294,5.22267,[ 7 18] ; [ 2 31],[ 3.87931034 21.12068966] ; [ 5.12068966 27.87931034],0
p3,1,0.05139,3.795524,[10 14] ; [ 6 27],[ 6.73684211 17.26315789] ; [ 9.26315789 23.73684211],0
p4,1,0.074556,3.17976,[11 14] ; [ 7 25],[ 7.89473684 17.10526316] ; [10.10526316 21.89473684],0
n2,1,0.077643,3.113553,[9 4] ; [ 8 13],[6.5 6.5] ; [10.5 10.5],0
p5,1,0.078639,3.09281,[ 4 20] ; [ 1 31],[ 2.14285714 21.85714286] ; [ 2.85714286 29.14285714],0
r2,1,0.080588,3.053009,[20  5] ; [18 13],[16.96428571  8.03571429] ; [21.03571429  9.96428571],0
p7,1,0.101924,2.675184,[11 11] ; [ 9 23],[ 8.14814815 13.85185185] ; [11.85185185 20.14814815],0
s7,1,0.112874,2.513508,[ 8 15] ; [ 5 26],[ 5.53703704 17.46296296] ; [ 7.46296296 23.53703704],0
s6,1,0.127562,2.321923,[ 8 17] ; [ 5 28],[ 5.60344828 19.39655172] ; [ 7.39655172 25.60344828],0
b2,1,0.149517,2.077174,[ 4 12] ; [11 12],[6.15384615 9.84615385] ; [ 8.84615385 14.15384615],0
b3,1,0.149517,2.077174,[ 4 12] ; [11 12],[6.15384615 9.84615385] ; [ 8.84615385 14.15384615],0
s1,1,0.167275,1.907195,[ 1 24] ; [ 5 28],[ 2.5862069 22.4137931] ; [ 3.4137931 29.5862069],0
p6,1,0.251813,1.313217,[ 5 20] ; [ 3 29],[ 3.50877193 21.49122807] ; [ 4.49122807 27.50877193],0
b5,1,0.272286,1.205195,[15 10] ; [15 18],[12.93103448 12.06896552] ; [17.06896552 15.93103448],0
s3,1,0.289051,1.124038,[ 8 15] ; [ 7 25],[ 6.27272727 16.72727273] ; [ 8.72727273 23.27272727],0
b4,1,0.299588,1.076029,[17  8] ; [18 15],[15.0862069  9.9137931] ; [19.9137931 13.0862069],0
d3,1,0.30554,1.049859,[14 11] ; [14 19],[12.06896552 12.93103448] ; [15.93103448 17.06896552],0
a7,1,0.339071,0.913939,[13 12] ; [13 20],[11.20689655 13.79310345] ; [14.79310345 18.20689655],0
s4,1,0.357692,0.84598,[ 3 22] ; [ 7 26],[ 4.31034483 20.68965517] ; [ 5.68965517 27.31034483],0
n4,1,0.37289,0.794011,[13 12] ; [21 12],[14.65517241 10.34482759] ; [19.34482759 13.65517241],0
p12,1,0.39738,0.716239,[ 2 23] ; [ 1 32],[ 1.29310345 23.70689655] ; [ 1.70689655 31.29310345],0
r4,1,0.423777,0.639817,[ 4 21] ; [ 3 30],[ 3.01724138 21.98275862] ; [ 3.98275862 29.01724138],0
