Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,4.1e-05,16.830864,[26 19] ; [97 14],[35.48076923  9.51923077] ; [87.51923077 23.48076923],1
p5,1,0.550707,0.356053,[ 5 39] ; [17 96],[ 6.1656051 37.8343949] ; [15.8343949 97.1656051],0
v2,1,0.559751,0.340136,[18 24] ; [52 56],[19.6 22.4] ; [50.4 57.6],0
s5,1,0.568781,0.324727,[11 31] ; [34 76],[12.43421053 29.56578947] ; [32.56578947 77.43421053],0
a8,1,0.594411,0.283509,[ 7 37] ; [13 90],[ 5.98639456 38.01360544] ; [14.01360544 88.98639456],0
p1,1,0.610483,0.259472,[ 5 40] ; [16 97],[ 5.98101266 39.01898734] ; [15.01898734 97.98101266],0
n4,1,0.614038,0.254336,[32 13] ; [75 37],[30.66878981 14.33121019] ; [76.33121019 35.66878981],0
n3,1,0.659658,0.193939,[8 2] ; [16  6],[7.5 2.5] ; [16.5  5.5],0
b5,1,0.667338,0.184732,[25 20] ; [67 46],[26.20253165 18.79746835] ; [65.79746835 47.20253165],0
p12,1,0.673999,0.17696,[ 5 40] ; [ 10 102],[ 4.29936306 40.70063694] ; [ 10.70063694 101.29936306],0
v3,1,0.686639,0.162748,[17 26] ; [40 71],[15.91558442 27.08441558] ; [41.08441558 69.91558442],0
s4,1,0.687328,0.161994,[ 8 37] ; [17 95],[ 7.1656051 37.8343949] ; [17.8343949 94.1656051],0
r1,1,0.69754,0.151043,[35 10] ; [91 22],[35.88607595  9.11392405] ; [90.11392405 22.88607595],0
p11,1,0.69754,0.151043,[35 10] ; [91 22],[35.88607595  9.11392405] ; [90.11392405 22.88607595],0
b4,1,0.743414,0.107148,[25 20] ; [66 47],[25.91772152 19.08227848] ; [65.08227848 47.91772152],0
u3,1,0.761439,0.092168,[15 13] ; [28 21],[15.63636364 12.36363636] ; [27.36363636 21.63636364],0
v4,1,0.856643,0.032634,[44  1] ; [110   2],[44.14012739  0.85987261] ; [109.85987261   2.14012739],0
n5,1,0.858785,0.031656,[30 14] ; [78 34],[30.46153846 13.53846154] ; [77.53846154 34.46153846],0
u2,1,0.862273,0.030096,[16 12] ; [27 22],[15.63636364 12.36363636] ; [27.36363636 21.63636364],0
