Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,67.00116,[ 49 121] ; [107  35],[85. 85.] ; [71. 71.],1
p8,1,2e-06,22.671124,[ 68 102] ; [94 46],[88.83870968 81.16129032] ; [73.16129032 66.83870968],1
p7,1,2e-06,22.430203,[82 82] ; [107  33],[101.96052632  62.03947368] ; [87.03947368 52.96052632],1
p5,1,2.6e-05,17.682065,[  7 163] ; [ 27 115],[ 18.52564103 151.47435897] ; [ 15.47435897 126.52564103],1
p6,1,3.8e-05,16.983984,[ 39 132] ; [62 76],[ 55.89320388 115.10679612] ; [45.10679612 92.89320388],1
n4,1,0.000522,12.036153,[108  63] ; [115  27],[121.83067093  49.16932907] ; [101.16932907  40.83067093],1
v3,1,0.000853,11.122174,[ 39 130] ; [57 83],[ 52.50485437 116.49514563] ; [43.49514563 96.50485437],1
a5,1,0.003056,8.773662,[84 88] ; [93 49],[96.95541401 75.04458599] ; [80.04458599 61.95541401],0
v2,1,0.003438,8.559144,[67 96] ; [79 57],[79.59197324 83.40802676] ; [66.40802676 69.59197324],0
p10,1,0.003793,8.380538,[128  41] ; [124  16],[137.82524272  31.17475728] ; [114.17475728  25.82524272],0
s7,1,0.003828,8.363852,[ 56 108] ; [68 66],[68.24161074 95.75838926] ; [55.75838926 78.24161074],0
n5,1,0.008234,6.98189,[110  59] ; [111  30],[120.48064516  48.51935484] ; [100.51935484  40.48064516],0
p1,1,0.020697,5.352087,[  9 160] ; [ 18 123],[ 14.71935484 154.28064516] ; [ 12.28064516 128.71935484],0
p9,1,0.024077,5.089097,[136  34] ; [126  15],[143.21543408  26.78456592] ; [118.78456592  22.21543408],0
s8,1,0.024573,5.053715,[ 51 121] ; [59 82],[ 60.44728435 111.55271565] ; [49.55271565 91.44728435],0
b1,1,0.026881,4.898415,[ 52 120] ; [60 82],[ 61.35031847 110.64968153] ; [50.64968153 91.35031847],0
d3,1,0.037755,4.316012,[78 94] ; [48 94],[ 69.01910828 102.98089172] ; [56.98089172 85.01910828],0
n6,1,0.041103,4.171759,[132  38] ; [123  19],[138.94230769  31.05769231] ; [116.05769231  25.94230769],0
d5,1,0.057949,3.595146,[87 85] ; [87 55],[95.31210191 76.68789809] ; [78.68789809 63.31210191],0
s5,1,0.059718,3.545205,[ 39 128] ; [45 91],[ 46.2970297 120.7029703] ; [37.7029703 98.2970297],0
r4,1,0.062797,3.46192,[141  31] ; [127  15],[146.80254777  25.19745223] ; [121.19745223  20.80254777],0
b3,1,0.085284,2.961213,[26 67] ; [36 54],[31.50819672 61.49180328] ; [30.49180328 59.50819672],0
b2,1,0.085284,2.961213,[26 67] ; [36 54],[31.50819672 61.49180328] ; [30.49180328 59.50819672],0
a3,1,0.095858,2.773137,[93 79] ; [90 52],[100.24203822  71.75796178] ; [82.75796178 59.24203822],0
b5,1,0.137109,2.210112,[104  68] ; [74 68],[97.50318471 74.49681529] ; [80.49681529 61.50318471],0
r2,1,0.143715,2.137726,[147  22] ; [129  11],[150.95145631  18.04854369] ; [125.04854369  14.95145631],0
p2,1,0.147183,2.101207,[136  35] ; [121  20],[140.85576923  30.14423077] ; [116.14423077  24.85576923],0
r1,1,0.153928,2.032886,[118  54] ; [107  34],[123.64217252  48.35782748] ; [101.35782748  39.64217252],0
v1,1,0.166953,1.910088,[74 92] ; [73 66],[80.00655738 85.99344262] ; [66.99344262 72.00655738],0
p12,1,0.183602,1.768221,[  9 160] ; [ 13 128],[ 11.99354839 157.00645161] ; [ 10.00645161 130.99354839],0
n2,1,0.205088,1.605764,[43  8] ; [18  7],[40.93421053 10.06578947] ; [20.06578947  4.93421053],0
a6,1,0.239,1.386482,[99 73] ; [91 51],[104.07643312  67.92356688] ; [85.92356688 56.07643312],0
v4,1,0.268202,1.225921,[155  12] ; [136   6],[157.27184466   9.72815534] ; [133.72815534   8.27184466],0
s6,1,0.319722,0.990085,[99 69] ; [89 49],[103.21568627  64.78431373] ; [84.78431373 53.21568627],0
a1,1,0.352142,0.865722,[  5 167] ; [  7 135],[  6.57324841 165.42675159] ; [  5.42675159 136.57324841],0
a8,1,0.400644,0.706392,[ 25 137] ; [ 16 117],[ 22.51525424 139.48474576] ; [ 18.48474576 114.51525424],0
n1,1,0.409132,0.681323,[23 27] ; [ 9 16],[21.33333333 28.66666667] ; [10.66666667 14.33333333],0
s4,1,0.431757,0.618094,[ 31 139] ; [ 21 120],[ 28.4244373 141.5755627] ; [ 23.5755627 117.4244373],0
r3,1,0.433522,0.61337,[158  12] ; [135   7],[159.6474359  10.3525641] ; [133.3525641   8.6474359],0
b4,1,0.435555,0.607964,[102  70] ; [78 64],[98.59872611 73.40127389] ; [81.40127389 60.59872611],0
a4,1,0.481213,0.496113,[ 41 130] ; [ 39 103],[ 43.70607029 127.29392971] ; [ 36.29392971 105.70607029],0
a2,1,0.503235,0.448107,[  9 163] ; [ 10 132],[ 10.40764331 161.59235669] ; [  8.59235669 133.40764331],0
s2,1,0.544957,0.36643,[ 65 104] ; [59 82],[ 67.6 101.4] ; [56.4 84.6],0
a7,1,0.595718,0.281502,[106  66] ; [91 50],[108.25559105  63.74440895] ; [88.74440895 52.25559105],0
u1,1,0.61688,0.250277,[  8 164] ; [  5 137],[  7.12101911 164.87898089] ; [  5.87898089 136.12101911],0
d4,1,0.780562,0.07761,[102  70] ; [82 60],[100.78980892  71.21019108] ; [83.21019108 58.78980892],0
d2,1,0.788417,0.072021,[ 25 147] ; [ 19 122],[ 24.17891374 147.82108626] ; [ 19.82108626 121.17891374],0
n3,1,0.874775,0.024837,[40 11] ; [20  5],[40.26315789 10.73684211] ; [19.73684211  5.26315789],0
u2,1,0.942578,0.005188,[43 35] ; [29 23],[43.2 34.8] ; [28.8 23.2],0
s3,1,0.966796,0.001733,[86 82] ; [72 68],[86.18181818 81.81818182] ; [71.81818182 68.18181818],0
u3,1,0.98012,0.000621,[42 37] ; [27 24],[41.93076923 37.06923077] ; [27.06923077 23.93076923],0
s1,1,0.98097,0.000569,[  6 162] ; [  5 137],[  5.96129032 162.03870968] ; [  5.03870968 136.96129032],0
