Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3.6e-05,17.070972,[16  2] ; [40 69],[ 7.93700787 10.06299213] ; [48.06299213 60.93700787],1
p3,1,0.00104,10.754609,[11  7] ; [26 85],[ 5.1627907 12.8372093] ; [31.8372093 79.1627907],0
r4,1,0.01018,6.603175,[16  2] ; [64 48],[11.07692308  6.92307692] ; [68.92307692 43.07692308],0
p8,1,0.018657,5.53334,[9 9] ; [26 85],[ 4.88372093 13.11627907] ; [30.11627907 80.88372093],0
r3,1,0.022659,5.194497,[17  1] ; [76 35],[12.97674419  5.02325581] ; [80.02325581 30.97674419],0
b5,1,0.055039,3.680903,[15  3] ; [67 45],[11.35384615  6.64615385] ; [70.64615385 41.35384615],0
u1,1,0.079349,3.078184,[ 3 15] ; [  6 106],[ 1.24615385 16.75384615] ; [  7.75384615 104.24615385],0
p10,1,0.085034,2.965965,[11  7] ; [43 66],[ 7.65354331 10.34645669] ; [46.34645669 62.65354331],0
p2,1,0.085823,2.951022,[13  5] ; [56 55],[9.62790698 8.37209302] ; [59.37209302 51.62790698],0
d2,1,0.119047,2.429808,[11  7] ; [46 65],[ 7.95348837 10.04651163] ; [49.04651163 61.95348837],0
b4,1,0.146092,2.112588,[ 6 12] ; [58 54],[8.86153846 9.13846154] ; [55.13846154 56.86153846],0
u2,1,0.147886,2.093925,[5 4] ; [15 34],[3.10344828 5.89655172] ; [16.89655172 32.10344828],0
a4,1,0.154785,2.024447,[9 9] ; [36 74],[ 6.328125 11.671875] ; [38.671875 71.328125],0
p5,1,0.164273,1.934448,[ 2 16] ; [  4 106],[ 0.84375 17.15625] ; [  5.15625 104.84375],0
n6,1,0.16941,1.888157,[13  5] ; [61 50],[10.3255814  7.6744186] ; [63.6744186 47.3255814],0
a2,1,0.185757,1.75095,[ 5 13] ; [17 95],[ 3.04615385 14.95384615] ; [18.95384615 93.04615385],0
r1,1,0.205409,1.603493,[13  5] ; [62 48],[10.546875  7.453125] ; [64.453125 45.546875],0
p4,1,0.223395,1.482428,[ 8 10] ; [33 77],[ 5.765625 12.234375] ; [35.234375 74.765625],0
n5,1,0.285025,1.142972,[12  6] ; [59 52],[9.90697674 8.09302326] ; [61.09302326 49.90697674],0
p9,1,0.381229,0.766734,[10  8] ; [48 60],[8.28571429 9.71428571] ; [49.71428571 58.28571429],0
b3,1,0.405165,0.692943,[4 5] ; [18 41],[2.91176471 6.08823529] ; [19.08823529 39.91176471],0
b2,1,0.405165,0.692943,[4 5] ; [18 41],[2.91176471 6.08823529] ; [19.08823529 39.91176471],0
s4,1,0.518287,0.417301,[ 4 14] ; [18 94],[ 3.04615385 14.95384615] ; [18.95384615 93.04615385],0
a5,1,0.522794,0.408379,[9 9] ; [65 47],[10.24615385  7.75384615] ; [63.75384615 48.24615385],0
v4,1,0.524132,0.405755,[15  3] ; [85 26],[13.95348837  4.04651163] ; [86.04651163 24.95348837],0
n4,1,0.529568,0.39522,[11  7] ; [59 52],[9.76744186 8.23255814] ; [60.23255814 50.76744186],0
s6,1,0.542656,0.37064,[8 9] ; [44 68],[ 6.85271318 10.14728682] ; [45.14728682 66.85271318],0
n3,1,0.544506,0.367252,[3 1] ; [25 17],[2.43478261 1.56521739] ; [25.56521739 16.43478261],0
v3,1,0.555133,0.348201,[ 4 14] ; [31 76],[ 5.04 12.96] ; [29.96 77.04],0
a7,1,0.576659,0.311666,[10  7] ; [73 38],[11.0234375  5.9765625] ; [71.9765625 39.0234375],0
d4,1,0.621658,0.243544,[12  6] ; [81 31],[12.87692308  5.12307692] ; [80.12307692 31.87692308],0
a3,1,0.637462,0.222077,[9 9] ; [61 48],[9.92125984 8.07874016] ; [60.07874016 48.92125984],0
v2,1,0.664784,0.187765,[ 7 11] ; [36 71],[ 6.192 11.808] ; [36.808 70.192],0
n1,1,0.667262,0.184821,[1 3] ; [15 27],[1.39130435 2.60869565] ; [14.60869565 27.39130435],0
s8,1,0.70757,0.140716,[ 2 15] ; [ 10 102],[ 1.58139535 15.41860465] ; [ 10.41860465 101.58139535],0
d1,1,0.73246,0.116865,[ 8 10] ; [45 67],[ 7.33846154 10.66153846] ; [45.66153846 66.33846154],0
d5,1,0.738628,0.111337,[11  6] ; [77 35],[11.59689922  5.40310078] ; [76.40310078 35.59689922],0
d3,1,0.788865,0.071709,[8 8] ; [60 52],[8.5 7.5] ; [59.5 52.5],0
a8,1,0.799392,0.064584,[ 1 16] ; [ 8 97],[ 1.25409836 15.74590164] ; [ 7.74590164 97.25409836],0
b1,1,0.83274,0.044601,[9 9] ; [53 59],[8.58461538 9.41538462] ; [53.41538462 58.58461538],0
u3,1,0.839035,0.041261,[4 5] ; [20 29],[3.72413793 5.27586207] ; [20.27586207 28.72413793],0
s1,1,0.844281,0.038581,[ 1 17] ; [  5 106],[ 0.8372093 17.1627907] ; [  5.1627907 105.8372093],0
s5,1,0.907163,0.0136,[ 3 14] ; [18 91],[ 2.83333333 14.16666667] ; [18.16666667 90.83333333],0
s3,1,0.920048,0.010075,[ 6 12] ; [38 72],[ 6.1875 11.8125] ; [37.8125 72.1875],0
s2,1,0.926122,0.008598,[ 4 14] ; [26 86],[ 4.15384615 13.84615385] ; [25.84615385 86.15384615],0
a6,1,0.931215,0.007451,[10  8] ; [61 51],[9.83076923 8.16923077] ; [61.16923077 50.83076923],0
v1,1,0.939687,0.005725,[ 6 12] ; [36 75],[ 5.86046512 12.13953488] ; [36.13953488 74.86046512],0
