Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,39.628493,[465  97] ; [41 38],[443.63806552 118.36193448] ; [62.36193448 16.63806552],1
n4,1,0.0,30.310041,[467  97] ; [45 35],[448.39751553 115.60248447] ; [63.60248447 16.39751553],1
r4,1,0.000242,13.472173,[522  42] ; [64 16],[513.20496894  50.79503106] ; [72.79503106  7.20496894],1
b1,1,0.002334,9.266266,[178 386] ; [39 41],[190.04347826 373.95652174] ; [26.95652174 53.04347826],0
v3,1,0.003892,8.333571,[232 310] ; [19 56],[220.48946515 321.51053485] ; [30.51053485 44.48946515],0
s5,1,0.004571,8.041792,[197 343] ; [16 63],[185.81583199 354.18416801] ; [27.18416801 51.81583199],0
p6,1,0.007815,7.075339,[228 330] ; [19 57],[217.39116719 340.60883281] ; [29.60883281 46.39116719],0
p10,1,0.008175,6.994658,[528  33] ; [68 11],[522.43125  38.56875] ; [73.56875  5.43125],0
s7,1,0.008436,6.938492,[281 263] ; [27 49],[270.24516129 273.75483871] ; [37.75483871 38.24516129],0
p3,1,0.009514,6.72378,[316 248] ; [32 47],[305.24416796 258.75583204] ; [42.75583204 36.24416796],0
r2,1,0.021489,5.286727,[529  28] ; [69  9],[524.54488189  32.45511811] ; [73.45511811  4.54488189],0
d2,1,0.021903,5.253497,[274 289] ; [28 52],[264.42612753 298.57387247] ; [37.57387247 42.42612753],0
u1,1,0.024988,5.024752,[107 457] ; [ 7 73],[ 99.83850932 464.16149068] ; [14.16149068 65.83850932],0
n2,1,0.028198,4.815916,[76 28] ; [20  1],[79.872 24.128] ; [16.128  4.872],0
a2,1,0.028698,4.785615,[140 424] ; [11 69],[132.24223602 431.75776398] ; [18.75776398 61.24223602],0
a4,1,0.02922,4.754631,[263 300] ; [27 53],[253.91912908 309.08087092] ; [36.08087092 43.91912908],0
s2,1,0.03171,4.61412,[291 267] ; [31 48],[282.06593407 275.93406593] ; [39.93406593 39.06593407],0
s6,1,0.038295,4.291881,[387 164] ; [47 33],[378.97622821 172.02377179] ; [55.02377179 24.97622821],0
a5,1,0.040656,4.190297,[433 131] ; [53 27],[425.62732919 138.37267081] ; [60.37267081 19.62732919],0
u2,1,0.047135,3.940547,[82 64] ; [20  6],[86.58139535 59.41860465] ; [15.41860465 10.58139535],0
p8,1,0.052582,3.757145,[335 221] ; [38 40],[327.11041009 228.88958991] ; [45.88958991 32.11041009],0
d1,1,0.060741,3.517026,[344 220] ; [40 40],[336.29813665 227.70186335] ; [47.70186335 32.29813665],0
b5,1,0.062262,3.476081,[326 238] ; [55 25],[333.67080745 230.32919255] ; [47.32919255 32.67080745],0
p4,1,0.063405,3.446011,[364 199] ; [42 36],[356.59594384 206.40405616] ; [49.40405616 28.59594384],0
d5,1,0.069135,3.303432,[463 100] ; [59 21],[457.05443235 105.94556765] ; [64.94556765 15.05443235],0
v4,1,0.071341,3.251892,[541  19] ; [73  6],[538.09076682  21.90923318] ; [75.90923318  3.09076682],0
r3,1,0.085225,2.962332,[546  15] ; [75  5],[543.49609984  17.50390016] ; [77.50390016  2.49609984],0
p5,1,0.087862,2.913121,[ 82 477] ; [ 6 73],[ 77.10344828 481.89655172] ; [10.89655172 68.10344828],0
v1,1,0.10118,2.686846,[320 226] ; [37 39],[313.37942122 232.62057878] ; [43.62057878 32.37942122],0
n1,1,0.104557,2.634627,[35 69] ; [11 10],[38.272 65.728] ; [ 7.728 13.272],0
p2,1,0.10971,2.55839,[496  65] ; [64 14],[491.64319249  69.35680751] ; [68.35680751  9.64319249],0
p12,1,0.118239,2.440488,[ 60 501] ; [ 4 75],[ 56.1 504.9] ; [ 7.9 71.1],0
b3,1,0.138422,2.19541,[148 207] ; [15 34],[143.23019802 211.76980198] ; [19.76980198 29.23019802],0
b2,1,0.138422,2.19541,[148 207] ; [15 34],[143.23019802 211.76980198] ; [19.76980198 29.23019802],0
d4,1,0.157527,1.997804,[472  91] ; [62 18],[467.56143079  95.43856921] ; [66.43856921 13.56143079],0
u3,1,0.18203,1.780974,[80 65] ; [18  8],[83.0994152 61.9005848] ; [14.9005848 11.0994152],0
a3,1,0.201359,1.632488,[418 145] ; [54 26],[413.27527216 149.72472784] ; [58.72472784 21.27527216],0
a7,1,0.233893,1.417028,[409 154] ; [53 27],[404.51944012 158.48055988] ; [57.48055988 22.51944012],0
r1,1,0.250688,1.319467,[451 111] ; [59 20],[447.1450858 114.8549142] ; [62.8549142 16.1450858],0
d3,1,0.254221,1.299958,[395 169] ; [51 29],[390.59627329 173.40372671] ; [55.40372671 24.59627329],0
s8,1,0.361012,0.83437,[269 292] ; [34 46],[265.18408736 295.81591264] ; [37.81591264 42.18408736],0
v2,1,0.37697,0.78056,[321 219] ; [40 34],[317.49185668 222.50814332] ; [43.50814332 30.49185668],0
n3,1,0.387089,0.748065,[78 25] ; [14  7],[76.41935484 26.58064516] ; [15.58064516  5.41935484],0
p7,1,0.408494,0.68318,[377 175] ; [47 27],[373.87859425 178.12140575] ; [50.12140575 23.87859425],0
a8,1,0.421164,0.647065,[ 76 443] ; [ 8 64],[ 73.76649746 445.23350254] ; [10.23350254 61.76649746],0
b4,1,0.437336,0.603262,[329 235] ; [43 37],[325.78881988 238.21118012] ; [46.21118012 33.78881988],0
u4,1,0.447319,0.577436,[ 15 548] ; [ 1 79],[ 14.00933126 548.99066874] ; [ 1.99066874 78.00933126],0
s3,1,0.457862,0.551115,[317 239] ; [41 37],[313.95583596 242.04416404] ; [44.04416404 33.95583596],0
s4,1,0.500901,0.453026,[ 93 463] ; [11 69],[ 90.91823899 465.08176101] ; [13.08176101 66.91823899],0
a6,1,0.518699,0.41648,[393 170] ; [53 27],[390.51010886 172.48989114] ; [55.48989114 24.51010886],0
p1,1,0.605834,0.266287,[ 52 509] ; [ 6 74],[ 50.76131045 510.23868955] ; [ 7.23868955 72.76131045],0
s1,1,0.898344,0.016321,[ 13 545] ; [ 2 76],[ 13.16037736 544.83962264] ; [ 1.83962264 76.16037736],0
a1,1,0.957057,0.002899,[ 29 535] ; [ 4 76],[ 28.90062112 535.09937888] ; [ 4.09937888 75.90062112],0
