Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.00012,14.791399,[66 31] ; [ 6 18],[57.71900826 39.28099174] ; [14.28099174  9.71900826],1
p6,1,0.000463,12.260285,[19 75] ; [13 10],[25.70940171 68.29059829] ; [ 6.29059829 16.70940171],1
s2,1,0.008839,6.855144,[32 64] ; [15  9],[37.6 58.4] ; [ 9.4 14.6],0
s7,1,0.017608,5.634689,[27 63] ; [13 10],[31.85840708 58.14159292] ; [ 8.14159292 14.85840708],0
r2,1,0.040598,4.192702,[86  9] ; [18  6],[83.02521008 11.97478992] ; [20.97478992  3.02521008],0
s5,1,0.041484,4.156152,[18 76] ; [ 9 14],[21.69230769 72.30769231] ; [ 5.30769231 17.69230769],0
r1,1,0.047564,3.925335,[75 21] ; [14 10],[71.2 24.8] ; [17.8  6.2],0
s3,1,0.049362,3.863006,[46 49] ; [17  7],[50.29411765 44.70588235] ; [12.70588235 11.29411765],0
v1,1,0.049496,3.858449,[48 45] ; [ 7 17],[43.71794872 49.28205128] ; [11.28205128 12.71794872],0
v2,1,0.076178,3.144622,[46 44] ; [ 7 16],[42.21238938 47.78761062] ; [10.78761062 12.21238938],0
r4,1,0.086795,2.932829,[80 17] ; [16  8],[76.95867769 20.04132231] ; [19.04132231  4.95867769],0
a7,1,0.153871,2.033448,[71 26] ; [14 10],[68.14049587 28.85950413] ; [16.85950413  7.14049587],0
a3,1,0.17678,1.824491,[63 34] ; [12 12],[60.12396694 36.87603306] ; [14.87603306  9.12396694],0
b5,1,0.20111,1.634297,[66 31] ; [13 11],[63.33057851 33.66942149] ; [15.66942149  8.33057851],0
p9,1,0.212022,1.557563,[71 25] ; [14  9],[68.57142857 27.42857143] ; [16.42857143  6.57142857],0
d1,1,0.213794,1.545545,[46 51] ; [ 8 16],[43.2892562 53.7107438] ; [10.7107438 13.2892562],0
n4,1,0.2185,1.514198,[54 43] ; [10 14],[51.30578512 45.69421488] ; [12.69421488 11.30578512],0
n3,1,0.245952,1.346154,[22  6] ; [4 3],[20.8  7.2] ; [5.2 1.8],0
b1,1,0.254703,1.297322,[53 44] ; [10 14],[50.50413223 46.49586777] ; [12.49586777 11.50413223],0
d5,1,0.279203,1.170963,[75 22] ; [16  8],[72.95041322 24.04958678] ; [18.04958678  5.95041322],0
a2,1,0.314413,1.012045,[16 81] ; [ 2 22],[14.42975207 82.57024793] ; [ 3.57024793 20.42975207],0
p11,1,0.316677,1.002622,[67 30] ; [14 10],[64.9338843 32.0661157] ; [16.0661157  7.9338843],0
s6,1,0.328667,0.954144,[54 43] ; [16  8],[56.11570248 40.88429752] ; [13.88429752 10.11570248],0
a4,1,0.397215,0.716741,[33 64] ; [ 6 18],[31.26446281 65.73553719] ; [ 7.73553719 16.26446281],0
s8,1,0.424005,0.639188,[32 65] ; [10 14],[33.66942149 63.33057851] ; [ 8.33057851 15.66942149],0
n2,1,0.439231,0.598291,[20  8] ; [6 1],[20.8  7.2] ; [5.2 1.8],0
d2,1,0.466449,0.530375,[36 61] ; [ 7 17],[34.47107438 62.52892562] ; [ 8.52892562 15.47107438],0
u3,1,0.474549,0.511364,[21 12] ; [9 3],[22. 11.] ; [8. 4.],0
u1,1,0.516436,0.421005,[ 8 89] ; [ 3 21],[ 8.81818182 88.18181818] ; [ 2.18181818 21.81818182],0
p1,1,0.583044,0.301339,[ 7 89] ; [ 1 23],[ 6.4 89.6] ; [ 1.6 22.4],0
r3,1,0.588404,0.292843,[88  9] ; [20  3],[87.3  9.7] ; [20.7  2.3],0
a6,1,0.594797,0.282915,[70 27] ; [16  8],[68.94214876 28.05785124] ; [17.05785124  6.94214876],0
v3,1,0.613932,0.254488,[23 66] ; [ 5 19],[22.05309735 66.94690265] ; [ 5.94690265 18.05309735],0
p3,1,0.616192,0.251256,[39 58] ; [11 13],[40.08264463 56.91735537] ; [ 9.91735537 14.08264463],0
b4,1,0.616192,0.251256,[58 39] ; [13 11],[56.91735537 40.08264463] ; [14.08264463  9.91735537],0
p4,1,0.681249,0.168723,[49 48] ; [11 13],[48.09917355 48.90082645] ; [11.90082645 12.09917355],0
b2,1,0.689055,0.16011,[13 39] ; [ 3 12],[12.41791045 39.58208955] ; [ 3.58208955 11.41791045],0
b3,1,0.689055,0.16011,[13 39] ; [ 3 12],[12.41791045 39.58208955] ; [ 3.58208955 11.41791045],0
u2,1,0.72853,0.120465,[23 10] ; [9 3],[23.46666667  9.53333333] ; [8.53333333 3.46666667],0
d4,1,0.829118,0.046584,[74 22] ; [18  6],[73.6 22.4] ; [18.4  5.6],0
v4,1,0.829636,0.046298,[88  7] ; [21  2],[87.75423729  7.24576271] ; [21.24576271  1.75423729],0
p5,1,0.834115,0.04386,[ 5 91] ; [ 1 23],[ 4.8 91.2] ; [ 1.2 22.8],0
n5,1,0.853842,0.033937,[42 54] ; [10 14],[41.6 54.4] ; [10.4 13.6],0
p8,1,0.884512,0.021098,[42 54] ; [10 12],[42.30508475 53.69491525] ; [ 9.69491525 12.30508475],0
p10,1,0.954424,0.003266,[62 34] ; [15  8],[62.11764706 33.88235294] ; [14.88235294  8.11764706],0
n1,1,0.956333,0.002998,[ 8 19] ; [2 5],[ 7.94117647 19.05882353] ; [2.05882353 4.94117647],0
p7,1,0.966826,0.00173,[56 38] ; [13  9],[55.9137931 38.0862069] ; [13.0862069  8.9137931],0
d3,1,1.0,0.0,[64 32] ; [16  8],[64. 32.] ; [16.  8.],0
