Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,5.8e-05,16.181159,[70 15] ; [75 59],[56.27853881 28.72146119] ; [88.72146119 45.27853881],1
a3,1,0.000323,12.930606,[67 18] ; [73 60],[54.58715596 30.41284404] ; [85.41284404 47.58715596],1
s5,1,0.000821,11.192655,[38 43] ; [32 98],[26.87203791 54.12796209] ; [43.12796209 86.87203791],1
s6,1,0.004396,8.112586,[68 14] ; [85 46],[58.90140845 23.09859155] ; [94.09859155 36.90140845],0
d2,1,0.005017,7.873192,[47 37] ; [49 85],[36.99082569 47.00917431] ; [59.00917431 74.99082569],0
n4,1,0.005274,7.783054,[70 15] ; [87 47],[60.93607306 24.06392694] ; [96.06392694 37.93607306],0
a5,1,0.006709,7.349152,[63 22] ; [75 59],[53.56164384 31.43835616] ; [84.43835616 49.56164384],0
d3,1,0.007107,7.245823,[65 19] ; [80 54],[55.87155963 28.12844037] ; [89.12844037 44.87155963],0
a4,1,0.008615,6.901027,[44 41] ; [45 88],[34.70183486 50.29816514] ; [54.29816514 78.70183486],0
p3,1,0.009239,6.775942,[45 39] ; [47 85],[35.77777778 48.22222222] ; [56.22222222 75.77777778],0
s4,1,0.01027,6.587524,[27 58] ; [ 22 109],[19.28240741 65.71759259] ; [ 29.71759259 101.28240741],0
d1,1,0.01177,6.345169,[51 34] ; [57 77],[41.91780822 43.08219178] ; [66.08219178 67.91780822],0
p1,1,0.011785,6.342956,[11 74] ; [  5 127],[ 6.26728111 78.73271889] ; [  9.73271889 122.26728111],0
p6,1,0.012484,6.240859,[32 52] ; [ 29 101],[23.94392523 60.05607477] ; [37.05607477 92.94392523],0
p4,1,0.015004,5.916049,[53 32] ; [60 72],[44.26267281 40.73732719] ; [68.73732719 63.26267281],0
a2,1,0.016593,5.738892,[24 61] ; [ 20 114],[17.07762557 67.92237443] ; [ 26.92237443 107.07762557],0
u1,1,0.028491,4.798121,[18 67] ; [ 14 120],[12.42009132 72.57990868] ; [ 19.57990868 114.42009132],0
u2,1,0.029699,4.726627,[13  4] ; [28 32],[9.05194805 7.94805195] ; [31.94805195 28.05194805],0
r1,1,0.031918,4.602917,[72 13] ; [96 37],[65.50458716 19.49541284] ; [102.49541284  30.50458716],0
u3,1,0.085316,2.960609,[13  5] ; [29 30],[9.81818182 8.18181818] ; [32.18181818 26.81818182],0
s1,1,0.086458,2.93912,[ 7 77] ; [  4 127],[ 4.29767442 79.70232558] ; [  6.70232558 124.29767442],0
d5,1,0.092093,2.837406,[67 17] ; [93 41],[61.65137615 22.34862385] ; [98.34862385 35.65137615],0
p8,1,0.108576,2.574824,[40 43] ; [49 83],[34.35813953 48.64186047] ; [54.64186047 77.35813953],0
d4,1,0.139886,2.179215,[72 12] ; [104  30],[67.81651376 16.18348624] ; [108.18348624  25.81651376],0
n3,1,0.151748,2.054589,[12  7] ; [26  6],[14.15686275  4.84313725] ; [23.84313725  8.15686275],0
b1,1,0.171384,1.870794,[37 48] ; [46 88],[32.21461187 52.78538813] ; [50.78538813 83.21461187],0
n6,1,0.197288,1.662338,[67 17] ; [95 37],[63. 21.] ; [99. 33.],0
r3,1,0.224076,1.478076,[81  2] ; [126   8],[79.17511521  3.82488479] ; [127.82488479   6.17511521],0
p2,1,0.224371,1.476193,[72 13] ; [103  29],[68.5483871 16.4516129] ; [106.4516129  25.5483871],0
v1,1,0.225554,1.46868,[32 52] ; [60 69],[36.28169014 47.71830986] ; [55.71830986 73.28169014],0
r2,1,0.23268,1.424402,[81  3] ; [123  10],[78.96774194  5.03225806] ; [125.03225806   7.96774194],0
p7,1,0.233807,1.417553,[55 27] ; [76 53],[50.90995261 31.09004739] ; [80.09004739 48.90995261],0
a8,1,0.243246,1.361684,[13 66] ; [ 14 115],[10.25480769 68.74519231] ; [ 16.74519231 112.25480769],0
v2,1,0.25833,1.277685,[45 39] ; [57 68],[40.99521531 43.00478469] ; [61.00478469 63.99521531],0
n5,1,0.266575,1.234286,[62 22] ; [88 44],[58.33333333 25.66666667] ; [91.66666667 40.33333333],0
b5,1,0.329132,0.952311,[47 38] ; [83 51],[50.456621 34.543379] ; [79.543379 54.456621],0
v4,1,0.332022,0.940994,[78  5] ; [120  13],[76.08333333  6.91666667] ; [121.91666667  11.08333333],0
a6,1,0.359377,0.84007,[50 34] ; [88 46],[53.17431193 30.82568807] ; [84.82568807 49.17431193],0
p10,1,0.472275,0.516649,[64 20] ; [94 37],[61.73023256 22.26976744] ; [96.26976744 34.73023256],0
b2,1,0.488987,0.478755,[17 35] ; [18 49],[15.29411765 36.70588235] ; [19.70588235 47.29411765],0
b3,1,0.488987,0.478755,[17 35] ; [18 49],[15.29411765 36.70588235] ; [19.70588235 47.29411765],0
n2,1,0.505587,0.44319,[17  3] ; [24  7],[16.07843137  3.92156863] ; [24.92156863  6.07843137],0
p9,1,0.522212,0.409521,[66 17] ; [100  32],[64.08372093 18.91627907] ; [101.91627907  30.08372093],0
p5,1,0.547737,0.361387,[ 7 78] ; [  8 123],[ 5.90277778 79.09722222] ; [  9.09722222 121.90277778],0
