Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.008602,6.903673,[35 52] ; [ 3 22],[29.51785714 57.48214286] ; [ 8.48214286 16.51785714],0
s4,1,0.025504,4.989325,[21 66] ; [ 1 24],[17.08928571 69.91071429] ; [ 4.91071429 20.08928571],0
p9,1,0.052965,3.745011,[52 30] ; [21  4],[55.94392523 26.05607477] ; [17.05607477  7.94392523],0
p6,1,0.053436,3.730242,[ 4 82] ; [ 4 21],[ 6.1981982 79.8018018] ; [ 1.8018018 23.1981982],0
u3,1,0.104897,2.629463,[27 11] ; [6 7],[24.58823529 13.41176471] ; [8.41176471 4.58823529],0
r4,1,0.114403,2.492322,[59 28] ; [21  4],[62.14285714 24.85714286] ; [17.85714286  7.14285714],0
r1,1,0.12785,2.318417,[51 35] ; [19  6],[54.23423423 31.76576577] ; [15.76576577  9.23423423],0
p2,1,0.149081,2.08163,[45 42] ; [17  8],[48.16071429 38.83928571] ; [13.83928571 11.16071429],0
p5,1,0.18027,1.795397,[ 2 84] ; [ 2 23],[ 3.0990991 82.9009009] ; [ 0.9009009 24.0990991],0
s3,1,0.225394,1.469695,[36 51] ; [ 7 18],[33.40178571 53.59821429] ; [ 9.59821429 15.40178571],0
d2,1,0.234187,1.41525,[32 55] ; [ 6 19],[29.51785714 57.48214286] ; [ 8.48214286 16.51785714],0
p4,1,0.237839,1.393359,[21 66] ; [ 9 16],[23.30357143 63.69642857] ; [ 6.69642857 18.30357143],0
a4,1,0.238895,1.387105,[28 59] ; [ 5 20],[25.63392857 61.36607143] ; [ 7.36607143 17.63392857],0
p10,1,0.239387,1.384199,[46 38] ; [17  8],[48.55045872 35.44954128] ; [14.44954128 10.55045872],0
s5,1,0.247186,1.339138,[23 61] ; [ 4 21],[20.80733945 63.19266055] ; [ 6.19266055 18.80733945],0
n3,1,0.292823,1.106598,[28 22] ; [2 4],[26.78571429 23.21428571] ; [3.21428571 2.78571429],0
n6,1,0.311418,1.024653,[55 32] ; [13 12],[52.82142857 34.17857143] ; [15.17857143  9.82142857],0
p12,1,0.347866,0.881227,[ 1 85] ; [ 1 24],[ 1.54954955 84.45045045] ; [ 0.45045045 24.54954955],0
p11,1,0.351026,0.869746,[43 44] ; [15 10],[45.05357143 41.94642857] ; [12.94642857 12.05357143],0
b5,1,0.365431,0.819143,[54 33] ; [13 12],[52.04464286 34.95535714] ; [14.95535714 10.04464286],0
a2,1,0.369022,0.806956,[13 74] ; [ 2 23],[11.65178571 75.34821429] ; [ 3.34821429 21.65178571],0
b2,1,0.374813,0.787645,[11 26] ; [6 8],[12.33333333 24.66666667] ; [4.66666667 9.33333333],0
b3,1,0.374813,0.787645,[11 26] ; [6 8],[12.33333333 24.66666667] ; [4.66666667 9.33333333],0
p3,1,0.376628,0.781681,[14 72] ; [ 6 19],[15.4954955 70.5045045] ; [ 4.5045045 20.4954955],0
a5,1,0.376726,0.781358,[40 47] ; [14 11],[41.94642857 45.05357143] ; [12.05357143 12.94642857],0
s2,1,0.39588,0.720805,[32 54] ; [ 7 18],[30.21621622 55.78378378] ; [ 8.78378378 16.21621622],0
a7,1,0.432832,0.615213,[59 28] ; [19  6],[60.58928571 26.41071429] ; [17.41071429  7.58928571],0
b4,1,0.446246,0.580169,[56 31] ; [14 11],[54.375 32.625] ; [15.625  9.375],0
a6,1,0.455839,0.556093,[52 35] ; [17  8],[53.59821429 33.40178571] ; [15.40178571  9.59821429],0
a3,1,0.461493,0.54227,[49 38] ; [12 13],[47.38392857 39.61607143] ; [13.61607143 11.38392857],0
v4,1,0.548251,0.36046,[77 10] ; [21  4],[76.125 10.875] ; [21.875  3.125],0
d1,1,0.562213,0.335887,[44 43] ; [11 14],[42.72321429 44.27678571] ; [12.27678571 12.72321429],0
v2,1,0.595206,0.282287,[34 47] ; [12 13],[35.1509434 45.8490566] ; [10.8490566 14.1509434],0
d5,1,0.605635,0.266581,[67 20] ; [18  7],[66.02678571 20.97321429] ; [18.97321429  6.02678571],0
r2,1,0.615278,0.252561,[73 14] ; [22  3],[73.79464286 13.20535714] ; [21.20535714  3.79464286],0
s6,1,0.669955,0.181655,[42 44] ; [11 14],[41.06306306 44.93693694] ; [11.93693694 13.06306306],0
u1,1,0.681703,0.168215,[ 5 82] ; [ 2 23],[ 5.4375 81.5625] ; [ 1.5625 23.4375],0
p1,1,0.681703,0.168215,[ 5 82] ; [ 2 23],[ 5.4375 81.5625] ; [ 1.5625 23.4375],0
n5,1,0.690793,0.158228,[28 59] ; [ 7 18],[27.1875 59.8125] ; [ 7.8125 17.1875],0
s1,1,0.732405,0.116915,[ 5 82] ; [ 1 24],[ 4.66071429 82.33928571] ; [ 1.33928571 23.66071429],0
u2,1,0.74714,0.10395,[19 18] ; [6 7],[18.5 18.5] ; [6.5 6.5],0
v3,1,0.753604,0.098528,[18 64] ; [ 6 18],[18.56603774 63.43396226] ; [ 5.43396226 18.56603774],0
n1,1,0.761648,0.092001,[14 37] ; [2 4],[14.31578947 36.68421053] ; [1.68421053 4.31578947],0
r3,1,0.816528,0.05383,[75 12] ; [22  3],[75.34821429 11.65178571] ; [21.65178571  3.34821429],0
n2,1,0.82345,0.049778,[31 19] ; [4 2],[31.25 18.75] ; [3.75 2.25],0
v1,1,0.829565,0.046337,[33 53] ; [ 9 16],[32.54054054 53.45945946] ; [ 9.45945946 15.54054054],0
s7,1,0.835301,0.043226,[18 64] ; [ 5 20],[17.62616822 64.37383178] ; [ 5.37383178 19.62616822],0
d3,1,0.860471,0.030897,[54 33] ; [16  9],[54.375 32.625] ; [15.625  9.375],0
s8,1,0.915919,0.011146,[20 67] ; [ 6 19],[20.19642857 66.80357143] ; [ 5.80357143 19.19642857],0
d4,1,0.915919,0.011146,[67 20] ; [19  6],[66.80357143 20.19642857] ; [19.19642857  5.80357143],0
