Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,50.326292,[36 68] ; [194  67],[65.53424658 38.46575342] ; [164.46575342  96.53424658],1
d3,1,0.0,32.253179,[52 52] ; [209  53],[74.16393443 29.83606557] ; [186.83606557  75.16393443],1
a2,1,0.0,26.029674,[10 94] ; [ 96 168],[29.95652174 74.04347826] ; [ 76.04347826 187.95652174],1
u1,1,1.3e-05,19.071021,[ 9 95] ; [ 80 184],[25.15217391 78.84782609] ; [ 63.84782609 200.15217391],1
b5,1,3.7e-05,17.025976,[45 59] ; [176  88],[62.45652174 41.54347826] ; [158.54347826 105.45652174],1
r4,1,7.3e-05,15.743676,[87 17] ; [253  11],[96.08695652  7.91304348] ; [243.91304348  20.08695652],1
r2,1,7.7e-05,15.63633,[93 10] ; [257   3],[99.31129477  3.68870523] ; [250.68870523   9.31129477],1
s8,1,0.001656,9.896897,[79 25] ; [153 109],[65.92349727 38.07650273] ; [166.07650273  95.92349727],0
v4,1,0.006566,7.388088,[95  8] ; [257   5],[99.33150685  3.66849315] ; [252.66849315   9.33150685],0
d1,1,0.007753,7.089588,[59 45] ; [188  76],[69.80434783 34.19565217] ; [177.19565217  86.80434783],0
s7,1,0.010516,6.545278,[85 15] ; [183  71],[75.70621469 24.29378531] ; [192.29378531  61.70621469],0
b4,1,0.015509,5.857712,[49 55] ; [161 103],[59.34782609 44.65217391] ; [150.65217391 113.34782609],0
n3,1,0.02316,5.156483,[15 11] ; [34  7],[19.01492537  6.98507463] ; [29.98507463 11.01492537],0
r1,1,0.028536,4.795406,[81 23] ; [229  34],[87.84741144 16.15258856] ; [222.15258856  40.84741144],0
b1,1,0.031072,4.649004,[53 51] ; [102 162],[43.80434783 60.19565217] ; [111.19565217 152.80434783],0
p9,1,0.046931,3.947866,[86 17] ; [237  24],[91.39835165 11.60164835] ; [231.60164835  29.39835165],0
p10,1,0.056789,3.62875,[84 19] ; [235  29],[89.52861035 13.47138965] ; [229.47138965  34.52861035],0
a5,1,0.075772,3.153339,[76 28] ; [215  49],[82.23913043 21.76086957] ; [208.76086957  55.23913043],0
