Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2e-06,22.189032,[21  7] ; [ 9 37],[11.35135135 16.64864865] ; [18.64864865 27.35135135],1
p7,1,0.000785,11.277432,[23  5] ; [18 25],[16.16901408 11.83098592] ; [24.83098592 18.16901408],1
p8,1,0.002929,8.851381,[18 10] ; [13 32],[11.89041096 16.10958904] ; [19.10958904 25.89041096],0
b1,1,0.029458,4.740621,[15 13] ; [13 33],[10.59459459 17.40540541] ; [17.40540541 28.59459459],0
p2,1,0.080137,3.06213,[24  4] ; [31 15],[20.81081081  7.18918919] ; [34.18918919 11.81081081],0
p6,1,0.083829,2.989056,[10 18] ; [ 8 37],[ 6.90410959 21.09589041] ; [11.09589041 33.90410959],0
r3,1,0.110966,2.540404,[27  1] ; [38  7],[24.93150685  3.06849315] ; [40.06849315  4.93150685],0
n4,1,0.132636,2.261373,[19  9] ; [23 23],[15.89189189 12.10810811] ; [26.10810811 19.89189189],0
s3,1,0.1634,1.942475,[20  7] ; [26 19],[17.25  9.75] ; [28.75 16.25],0
d3,1,0.176374,1.827914,[11 17] ; [25 20],[13.80821918 14.19178082] ; [22.19178082 22.80821918],0
v1,1,0.222579,1.487666,[14 14] ; [16 29],[11.50684932 16.49315068] ; [18.49315068 26.50684932],0
d5,1,0.324675,0.970021,[17 11] ; [22 23],[14.95890411 13.04109589] ; [24.04109589 20.95890411],0
s2,1,0.326753,0.961725,[14 13] ; [28 16],[15.97183099 11.02816901] ; [26.02816901 17.97183099],0
u2,1,0.327753,0.957755,[5 9] ; [13 12],[6.46153846 7.53846154] ; [11.53846154 13.46153846],0
b2,1,0.370332,0.802551,[ 1 17] ; [ 3 18],[ 1.84615385 16.15384615] ; [ 2.15384615 18.84615385],0
b3,1,0.370332,0.802551,[ 1 17] ; [ 3 18],[ 1.84615385 16.15384615] ; [ 2.15384615 18.84615385],0
s7,1,0.383995,0.757872,[16 12] ; [21 24],[14.19178082 13.80821918] ; [22.80821918 22.19178082],0
a7,1,0.41245,0.671728,[16 12] ; [30 15],[17.64383562 10.35616438] ; [28.35616438 16.64383562],0
p10,1,0.412678,0.671072,[18 10] ; [33 12],[19.56164384  8.43835616] ; [31.43835616 13.56164384],0
p9,1,0.429179,0.625043,[20  8] ; [35  9],[21.38888889  6.61111111] ; [33.61111111 10.38888889],0
r1,1,0.430637,0.621104,[19  9] ; [27 19],[17.40540541 10.59459459] ; [28.59459459 17.40540541],0
a6,1,0.436763,0.604773,[16 12] ; [22 24],[14.37837838 13.62162162] ; [23.62162162 22.37837838],0
n3,1,0.467267,0.528431,[3 2] ; [13  4],[3.63636364 1.36363636] ; [12.36363636  4.63636364],0
b4,1,0.473494,0.513811,[17 11] ; [24 22],[15.51351351 12.48648649] ; [25.48648649 20.51351351],0
p11,1,0.48737,0.482327,[21  7] ; [31 15],[19.67567568  8.32432432] ; [32.32432432 13.67567568],0
v3,1,0.487384,0.482297,[ 7 21] ; [ 8 36],[ 5.83333333 22.16666667] ; [ 9.16666667 34.83333333],0
v4,1,0.540368,0.374858,[25  3] ; [42  3],[25.69863014  2.30136986] ; [41.30136986  3.69863014],0
d4,1,0.550594,0.356253,[16 12] ; [23 23],[14.75675676 13.24324324] ; [24.24324324 21.75675676],0
r2,1,0.572397,0.318688,[23  5] ; [40  6],[23.83783784  4.16216216] ; [39.16216216  6.83783784],0
s8,1,0.575201,0.314058,[ 9 19] ; [12 34],[ 7.94594595 20.05405405] ; [13.05405405 32.94594595],0
p12,1,0.586214,0.296295,[ 1 27] ; [ 3 43],[ 1.51351351 26.48648649] ; [ 2.48648649 43.51351351],0
u3,1,0.613819,0.254651,[9 5] ; [14 11],[8.25641026 5.74358974] ; [14.74358974 10.25641026],0
