Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1e-06,23.558712,[ 9 16] ; [65 11],[18.31683168  6.68316832] ; [55.68316832 20.31683168],1
d3,1,4e-06,21.393352,[ 5 20] ; [55 21],[14.85148515 10.14851485] ; [45.14851485 30.85148515],1
s1,1,0.000476,12.209093,[ 6 18] ; [ 2 73],[ 1.93939394 22.06060606] ; [ 6.06060606 68.93939394],1
a3,1,0.001195,10.497397,[ 9 15] ; [56 20],[15.6  8.4] ; [49.4 26.6],0
a4,1,0.002798,8.934413,[ 4 20] ; [39 37],[10.32 13.68] ; [32.68 43.32],0
d2,1,0.003278,8.645683,[ 6 19] ; [44 32],[12.37623762 12.62376238] ; [37.62376238 38.37623762],0
a5,1,0.004147,8.218177,[11 14] ; [57 19],[16.83168317  8.16831683] ; [51.16831683 24.83168317],0
a2,1,0.022278,5.223944,[ 1 24] ; [19 57],[ 4.95049505 20.04950495] ; [15.04950495 60.95049505],0
p1,1,0.024864,5.033308,[ 5 20] ; [ 4 72],[ 2.22772277 22.77227723] ; [ 6.77227723 69.22772277],0
v2,1,0.026474,4.924775,[ 9 14] ; [47 25],[13.55789474  9.44210526] ; [42.44210526 29.55789474],0
a7,1,0.028783,4.780569,[11 14] ; [52 24],[15.59405941  9.40594059] ; [47.40594059 28.59405941],0
n5,1,0.075911,3.150353,[20  5] ; [46 30],[16.33663366  8.66336634] ; [49.66336634 26.33663366],0
s7,1,0.084126,2.983323,[ 9 14] ; [43 29],[12.58947368 10.41052632] ; [39.41052632 32.58947368],0
p5,1,0.101892,2.675676,[ 5 20] ; [ 6 68],[ 2.77777778 22.22222222] ; [ 8.22222222 65.77777778],0
n6,1,0.139057,2.188369,[23  2] ; [60 16],[20.54455446  4.45544554] ; [62.45544554 13.54455446],0
s8,1,0.149892,2.073346,[10 15] ; [43 33],[13.11881188 11.88118812] ; [39.88118812 36.11881188],0
p8,1,0.176286,1.828659,[ 9 16] ; [17 59],[ 6.43564356 18.56435644] ; [19.56435644 56.43564356],0
u2,1,0.202309,1.625625,[7 9] ; [13  7],[8.88888889 7.11111111] ; [11.11111111  8.88888889],0
n3,1,0.283391,1.150758,[5 1] ; [15 10],[3.87096774 2.12903226] ; [16.12903226  8.87096774],0
p11,1,0.30166,1.066839,[18  7] ; [46 30],[15.84158416  9.15841584] ; [48.15841584 27.84158416],0
b2,1,0.341244,0.905752,[ 3 10] ; [20 34],[4.46268657 8.53731343] ; [18.53731343 35.46268657],0
