Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,24.785078,[67 77] ; [172  67],[89.85900783 54.14099217] ; [149.14099217  89.85900783],1
v3,1,4.9e-05,16.47105,[47 97] ; [128 109],[66.14173228 77.85826772] ; [108.85826772 128.14173228],1
n5,1,0.000403,12.520116,[108  39] ; [212  30],[120.92544987  26.07455013] ; [199.07455013  42.92544987],1
d5,1,0.011576,6.37473,[117  31] ; [215  28],[125.66751918  22.33248082] ; [206.33248082  36.66751918],0
s8,1,0.019396,5.465472,[68 79] ; [142 101],[79.15384615 67.84615385] ; [130.84615385 112.15384615],0
d1,1,0.02195,5.249725,[85 63] ; [168  76],[95.52040816 52.47959184] ; [157.47959184  86.52040816],0
b5,1,0.0283,4.809693,[73 75] ; [148  96],[83.43877551 64.56122449] ; [137.56122449 106.43877551],0
n2,1,0.029291,4.750422,[20 13] ; [24  4],[23.80327869  9.19672131] ; [20.19672131  7.80327869],0
d4,1,0.031552,4.622658,[117  31] ; [212  31],[124.53196931  23.46803069] ; [204.46803069  38.53196931],0
n1,1,0.034659,4.4619,[10 23] ; [16 12],[14.06557377 18.93442623] ; [11.93442623 16.06557377],0
r4,1,0.044366,4.042595,[132  16] ; [231  13],[137.05102041  10.94897959] ; [225.94897959  18.05102041],0
p10,1,0.050878,3.812278,[133  14] ; [232  11],[137.57692308   9.42307692] ; [227.42307692  15.57692308],0
u4,1,0.095294,2.782588,[  1 147] ; [  8 236],[  3.39795918 144.60204082] ; [  5.60204082 238.39795918],0
r3,1,0.112301,2.521544,[137   9] ; [237   7],[140.01025641   5.98974359] ; [233.98974359  10.01025641],0
r2,1,0.116366,2.465564,[137   9] ; [235   7],[139.97938144   6.02061856] ; [232.02061856   9.97938144],0
n6,1,0.118785,2.433275,[127  21] ; [220  22],[131.68205128  16.31794872] ; [215.31794872  26.68205128],0
b2,1,0.122241,2.388377,[32 60] ; [72 89],[37.81818182 54.18181818] ; [66.18181818 94.81818182],0
b3,1,0.122241,2.388377,[32 60] ; [72 89],[37.81818182 54.18181818] ; [66.18181818 94.81818182],0
p12,1,0.130176,2.290406,[ 13 134] ; [ 34 209],[ 17.71538462 129.28461538] ; [ 29.28461538 213.71538462],0
d3,1,0.132047,2.268278,[98 50] ; [179  65],[104.58163265  43.41836735] ; [172.41836735  71.58163265],0
p2,1,0.15471,2.02519,[130  18] ; [224  19],[133.99488491  14.00511509] ; [220.00511509  22.99488491],0
u3,1,0.191467,1.706296,[18 15] ; [35 16],[20.82142857 12.17857143] ; [32.17857143 18.82142857],0
p8,1,0.199332,1.647261,[96 52] ; [172  70],[101.7025641  46.2974359] ; [166.2974359  75.7025641],0
v4,1,0.199419,1.646622,[139   8] ; [237   7],[141.36061381   5.63938619] ; [234.63938619   9.36061381],0
n4,1,0.23881,1.387607,[120  28] ; [208  35],[124.15345269  23.84654731] ; [203.84654731  39.15345269],0
a7,1,0.274134,1.195941,[104  44] ; [183  60],[108.6342711  39.3657289] ; [178.3657289  64.6342711],0
s5,1,0.274887,1.192197,[55 85] ; [105 128],[60.0536193 79.9463807] ; [ 99.9463807 133.0536193],0
p7,1,0.279306,1.170465,[111  36] ; [194  48],[115.25706941  31.74293059] ; [189.74293059  52.25706941],0
u2,1,0.283339,1.151003,[23 11] ; [28 22],[20.64285714 13.35714286] ; [30.35714286 19.64285714],0
a8,1,0.30163,1.066972,[ 16 121] ; [ 34 184],[ 19.29577465 117.70422535] ; [ 30.70422535 187.29577465],0
u1,1,0.31385,1.014403,[ 31 117] ; [ 62 182],[ 35.1122449 112.8877551] ; [ 57.8877551 186.1122449],0
s2,1,0.327671,0.958081,[76 71] ; [138 105],[80.66153846 66.33846154] ; [133.33846154 109.66153846],0
p4,1,0.360029,0.837791,[119  29] ; [205  39],[122.32653061  25.67346939] ; [201.67346939  42.32653061],0
p5,1,0.369494,0.805364,[ 25 123] ; [ 50 193],[ 28.3887468 119.6112532] ; [ 46.6112532 196.3887468],0
b4,1,0.388643,0.743183,[82 66] ; [146  98],[86.08163265 61.91836735] ; [141.91836735 102.08163265],0
r1,1,0.396803,0.717994,[116  31] ; [201  43],[119.17902813  27.82097187] ; [197.82097187  46.17902813],0
s3,1,0.43362,0.613109,[90 56] ; [140 103],[86.32390746 59.67609254] ; [143.67609254  99.32390746],0
s4,1,0.434052,0.611957,[ 29 118] ; [ 40 201],[ 26.14175258 120.85824742] ; [ 42.85824742 198.14175258],0
p6,1,0.451978,0.565687,[72 75] ; [127 113],[75.58914729 71.41085271] ; [123.41085271 116.58914729],0
p11,1,0.463641,0.53709,[124  24] ; [211  33],[126.47959184  21.52040816] ; [208.52040816  35.47959184],0
b1,1,0.470006,0.521963,[57 91] ; [103 141],[60.40816327 87.59183673] ; [ 99.59183673 144.40816327],0
d2,1,0.47094,0.519769,[74 73] ; [132 112],[77.44757033 69.55242967] ; [128.55242967 115.44757033],0
a3,1,0.52346,0.407071,[114  34] ; [193  49],[116.5025641  31.4974359] ; [190.4974359  51.5025641],0
s7,1,0.560696,0.3385,[80 58] ; [141  90],[82.6504065 55.3495935] ; [138.3495935  92.6504065],0
p1,1,0.610402,0.25959,[ 21 127] ; [ 30 212],[ 19.35384615 128.64615385] ; [ 31.64615385 210.35384615],0
s6,1,0.64695,0.209767,[103  40] ; [178  62],[104.91644909  38.08355091] ; [176.08355091  63.91644909],0
s1,1,0.684524,0.165078,[  4 144] ; [  5 237],[  3.41538462 144.58461538] ; [  5.58461538 236.41538462],0
