Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3e-06,22.083863,[17 81] ; [16  9],[26.29268293 71.70731707] ; [ 6.70731707 18.29268293],1
p3,1,2.5e-05,17.751586,[17 82] ; [15 11],[25.344 73.656] ; [ 6.656 19.344],1
p6,1,0.002237,9.343799,[ 8 90] ; [ 8 18],[12.64516129 85.35483871] ; [ 3.35483871 22.64516129],0
p4,1,0.007703,7.101294,[18 79] ; [11 14],[23.05737705 73.94262295] ; [ 5.94262295 19.05737705],0
v2,1,0.012324,6.263699,[32 61] ; [15  9],[37.35897436 55.64102564] ; [ 9.64102564 14.35897436],0
p10,1,0.06244,3.471351,[43 53] ; [17  9],[47.21311475 48.78688525] ; [12.78688525 13.21311475],0
v4,1,0.064881,3.408011,[70 29] ; [23  3],[73.656 25.344] ; [19.344  6.656],0
p5,1,0.0709,3.262057,[ 3 96] ; [ 3 23],[ 4.752 94.248] ; [ 1.248 24.752],0
a4,1,0.079628,3.072483,[41 57] ; [ 6 20],[37.14516129 60.85483871] ; [ 9.85483871 16.14516129],0
r4,1,0.081329,3.03814,[62 37] ; [21  5],[65.736 33.264] ; [17.264  8.736],0
s7,1,0.081396,3.036803,[28 65] ; [ 3 21],[24.64102564 68.35897436] ; [ 6.35897436 17.64102564],0
r3,1,0.094565,2.794902,[72 27] ; [23  3],[75.24 23.76] ; [19.76  6.24],0
s2,1,0.09715,2.751723,[22 76] ; [10 16],[25.29032258 72.70967742] ; [ 6.70967742 19.29032258],0
b1,1,0.099835,2.708179,[56 43] ; [10 16],[52.272 46.728] ; [13.728 12.272],0
n4,1,0.116823,2.459411,[66 33] ; [13 13],[62.568 36.432] ; [16.432  9.568],0
b3,1,0.124245,2.362977,[24 40] ; [ 2 11],[21.61038961 42.38961039] ; [4.38961039 8.61038961],0
b2,1,0.124245,2.362977,[24 40] ; [ 2 11],[21.61038961 42.38961039] ; [4.38961039 8.61038961],0
a2,1,0.136053,2.222047,[20 79] ; [ 2 24],[17.424 81.576] ; [ 4.576 21.424],0
s4,1,0.136053,2.222047,[20 79] ; [ 2 24],[17.424 81.576] ; [ 4.576 21.424],0
d2,1,0.163093,1.945313,[48 48] ; [ 9 17],[44.85245902 51.14754098] ; [12.14754098 13.85245902],0
p11,1,0.164202,1.935097,[42 57] ; [15 11],[45.144 53.856] ; [11.856 14.144],0
a6,1,0.194317,1.684579,[54 44] ; [18  8],[56.90322581 41.09677419] ; [15.09677419 10.90322581],0
