Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.001533,10.038756,[ 5 12] ; [35 13],[10.46153846  6.53846154] ; [29.53846154 18.46153846],0
n6,1,0.020936,5.332085,[11  6] ; [42  5],[14.078125  2.921875] ; [38.921875  8.078125],0
s2,1,0.041131,4.170611,[ 3 13] ; [22 24],[6.4516129 9.5483871] ; [18.5483871 27.4516129],0
r3,1,0.048268,3.900636,[13  4] ; [45  3],[15.16923077  1.83076923] ; [42.83076923  5.16923077],0
d5,1,0.060011,3.537075,[9 8] ; [37 11],[12.03076923  4.96923077] ; [33.96923077 14.03076923],0
d4,1,0.065094,3.402588,[10  7] ; [39  9],[12.81538462  4.18461538] ; [36.18461538 11.81538462],0
v1,1,0.069105,3.30415,[ 4 13] ; [23 24],[7.171875 9.828125] ; [19.828125 27.171875],0
d2,1,0.078125,3.103484,[9 8] ; [14 34],[ 6.01538462 10.98461538] ; [16.98461538 31.01538462],0
r4,1,0.110026,2.553847,[12  5] ; [42  6],[14.12307692  2.87692308] ; [39.87692308  8.12307692],0
a5,1,0.111266,2.536148,[8 9] ; [33 15],[10.72307692  6.27692308] ; [30.27692308 17.72307692],0
v2,1,0.11128,2.535949,[ 5 11] ; [25 21],[7.74193548 8.25806452] ; [22.25806452 23.74193548],0
d3,1,0.13017,2.29048,[9 8] ; [35 13],[11.50769231  5.49230769] ; [32.49230769 15.50769231],0
p4,1,0.137499,2.205726,[ 6 11] ; [27 21],[8.63076923 8.36923077] ; [24.36923077 23.63076923],0
p9,1,0.16414,1.935662,[11  6] ; [39  9],[13.07692308  3.92307692] ; [36.92307692 11.07692308],0
s8,1,0.197668,1.659518,[ 2 15] ; [13 35],[ 3.92307692 13.07692308] ; [11.07692308 36.92307692],0
r2,1,0.247621,1.336675,[13  3] ; [44  4],[14.25  1.75] ; [42.75  5.25],0
a6,1,0.266905,1.232585,[8 9] ; [30 18],[9.93846154 7.06153846] ; [28.06153846 19.93846154],0
r1,1,0.279296,1.170513,[10  7] ; [35 13],[11.76923077  5.23076923] ; [33.23076923 14.76923077],0
d1,1,0.295932,1.092437,[ 6 11] ; [24 24],[7.84615385 9.15384615] ; [22.15384615 25.84615385],0
a2,1,0.348039,0.880593,[ 1 16] ; [ 7 41],[ 2.09230769 14.90769231] ; [ 5.90769231 42.09230769],0
s5,1,0.355228,0.854693,[6 9] ; [12 32],[ 4.57627119 10.42372881] ; [13.42372881 30.57627119],0
a3,1,0.357243,0.847561,[ 7 10] ; [26 22],[8.63076923 8.36923077] ; [24.36923077 23.63076923],0
p12,1,0.435715,0.607542,[ 1 16] ; [ 1 47],[ 0.52307692 16.47692308] ; [ 1.47692308 46.52307692],0
n3,1,0.443939,0.586081,[6 2] ; [7 5],[5.2 2.8] ; [7.8 4.2],0
b2,1,0.457439,0.552155,[1 8] ; [ 5 17],[1.74193548 7.25806452] ; [ 4.25806452 17.74193548],0
b3,1,0.457439,0.552155,[1 8] ; [ 5 17],[1.74193548 7.25806452] ; [ 4.25806452 17.74193548],0
p10,1,0.470661,0.520425,[12  5] ; [38 10],[13.07692308  3.92307692] ; [36.92307692 11.07692308],0
p2,1,0.522411,0.40913,[11  6] ; [35 13],[12.03076923  4.96923077] ; [33.96923077 14.03076923],0
n1,1,0.550097,0.357143,[3 5] ; [3 9],[2.4 5.6] ; [3.6 8.4],0
b4,1,0.561126,0.337758,[10  7] ; [32 16],[10.98461538  6.01538462] ; [31.01538462 16.98461538],0
s6,1,0.690071,0.159008,[11  5] ; [34 12],[11.61290323  4.38709677] ; [33.38709677 12.61290323],0
p8,1,0.71483,0.1335,[ 7 10] ; [17 30],[ 6.375 10.625] ; [17.625 29.375],0
p7,1,0.721771,0.126802,[9 8] ; [23 25],[8.36923077 8.63076923] ; [23.63076923 24.36923077],0
u2,1,0.725359,0.123416,[3 7] ; [ 8 14],[3.4375 6.5625] ; [ 7.5625 14.4375],0
p11,1,0.7593,0.093881,[11  6] ; [33 15],[11.50769231  5.49230769] ; [32.49230769 15.50769231],0
p1,1,0.772028,0.083939,[ 1 16] ; [ 2 46],[ 0.78461538 16.21538462] ; [ 2.21538462 45.78461538],0
p6,1,0.774475,0.082097,[ 4 13] ; [13 35],[ 4.44615385 12.55384615] ; [12.55384615 35.44615385],0
v3,1,0.800273,0.064006,[ 3 13] ; [10 36],[ 3.35483871 12.64516129] ; [ 9.64516129 36.35483871],0
u3,1,0.811235,0.057041,[5 5] ; [12 10],[5.3125 4.6875] ; [11.6875 10.3125],0
n2,1,0.84822,0.03663,[5 3] ; [8 4],[5.2 2.8] ; [7.8 4.2],0
b1,1,0.853727,0.033991,[ 5 12] ; [13 35],[ 4.70769231 12.29230769] ; [13.29230769 34.70769231],0
a4,1,0.883274,0.021556,[ 6 11] ; [16 32],[ 5.75384615 11.24615385] ; [16.24615385 31.75384615],0
s3,1,0.941394,0.005405,[8 8] ; [24 23],[8.12698413 7.87301587] ; [23.87301587 23.12698413],0
p5,1,0.956772,0.002938,[ 1 16] ; [ 3 45],[ 1.04615385 15.95384615] ; [ 2.95384615 45.04615385],0
p3,1,0.971884,0.001242,[ 7 10] ; [20 28],[7.06153846 9.93846154] ; [19.93846154 28.06153846],0
n4,1,0.971884,0.001242,[10  7] ; [28 20],[9.93846154 7.06153846] ; [28.06153846 19.93846154],0
n5,1,0.984767,0.000365,[12  5] ; [34 14],[12.03076923  4.96923077] ; [33.96923077 14.03076923],0
