Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,74.730515,[21 43] ; [158  21],[47.14403292 16.85596708] ; [131.85596708  47.14403292],1
n6,1,0.0,43.750939,[37 27] ; [166  12],[53.68595041 10.31404959] ; [149.31404959  28.68595041],1
p3,1,0.003615,8.46787,[12 52] ; [ 69 109],[21.4214876 42.5785124] ; [ 59.5785124 118.4214876],0
p11,1,0.004569,8.042534,[42 22] ; [148  31],[50.04115226 13.95884774] ; [139.95884774  39.04115226],0
p4,1,0.013321,6.125908,[20 44] ; [88 91],[28.44444444 35.55555556] ; [79.55555556 99.44444444],0
a2,1,0.034545,4.467526,[ 6 58] ; [ 38 141],[11.58847737 52.41152263] ; [ 32.41152263 146.58847737],0
d2,1,0.034705,4.459636,[22 42] ; [88 89],[29.21161826 34.78838174] ; [80.78838174 96.21161826],0
a5,1,0.034778,4.456055,[39 25] ; [134  45],[45.56378601 18.43621399] ; [127.43621399  51.56378601],0
a8,1,0.038525,4.281704,[ 1 58] ; [ 17 150],[ 4.69911504 54.30088496] ; [ 13.30088496 153.69911504],0
s7,1,0.048363,3.897341,[19 45] ; [75 96],[25.6 38.4] ; [ 68.4 102.6],0
s4,1,0.049459,3.859701,[15 49] ; [ 23 154],[10.09128631 53.90871369] ; [ 27.90871369 149.09128631],0
b1,1,0.050382,3.828692,[15 49] ; [ 66 113],[21.33333333 42.66666667] ; [ 59.66666667 119.33333333],0
u1,1,0.066167,3.37564,[ 5 59] ; [ 31 148],[ 9.48148148 54.51851852] ; [ 26.51851852 152.48148148],0
p2,1,0.072318,3.229616,[42 22] ; [138  41],[47.40740741 16.59259259] ; [132.59259259  46.40740741],0
a4,1,0.114189,2.495268,[21 43] ; [ 79 100],[26.33744856 37.66255144] ; [ 73.66255144 105.33744856],0
n2,1,0.116699,2.461074,[13  7] ; [38  8],[15.45454545  4.54545455] ; [35.54545455 10.45454545],0
r4,1,0.116721,2.460781,[51 13] ; [157  22],[54.781893  9.218107] ; [153.218107  25.781893],0
a3,1,0.122299,2.387626,[36 28] ; [120  59],[41.08641975 22.91358025] ; [114.91358025  64.08641975],0
p12,1,0.125521,2.347043,[ 3 61] ; [ 20 158],[ 6.08264463 57.91735537] ; [ 16.91735537 161.08264463],0
u2,1,0.135067,2.233275,[19  9] ; [30 29],[15.77011494 12.22988506] ; [33.22988506 25.77011494],0
s8,1,0.170245,1.880783,[19 45] ; [ 70 108],[23.53719008 40.46280992] ; [ 65.46280992 112.53719008],0
n3,1,0.203144,1.619629,[11  8] ; [34 12],[13.15384615  5.84615385] ; [31.84615385 14.15384615],0
s5,1,0.211191,1.563244,[20 39] ; [ 43 126],[16.30263158 42.69736842] ; [ 46.69736842 122.30263158],0
p9,1,0.223415,1.482302,[58  6] ; [168   9],[60.01659751  3.98340249] ; [165.98340249  11.01659751],0
u3,1,0.228189,1.452117,[19  9] ; [32 27],[16.4137931 11.5862069] ; [34.5862069 24.4137931],0
v3,1,0.248131,1.333795,[17 45] ; [ 60 109],[20.66666667 41.33333333] ; [ 56.33333333 112.66666667],0
a7,1,0.268016,1.226873,[50 14] ; [127  52],[46.61728395 17.38271605] ; [130.38271605  48.61728395],0
b3,1,0.360767,0.835221,[13 15] ; [35 60],[10.92682927 17.07317073] ; [37.07317073 57.92682927],0
b2,1,0.360767,0.835221,[13 15] ; [35 60],[10.92682927 17.07317073] ; [37.07317073 57.92682927],0
p8,1,0.365876,0.817624,[15 48] ; [ 53 125],[17.77593361 45.22406639] ; [ 50.22406639 127.77593361],0
s6,1,0.389809,0.739537,[36 27] ; [112  65],[38.85 24.15] ; [109.15  67.85],0
d1,1,0.418773,0.653755,[32 32] ; [100  79],[34.7654321 29.2345679] ; [97.2345679 81.7654321],0
d5,1,0.436852,0.604538,[51 13] ; [134  45],[48.72427984 15.27572016] ; [136.27572016  42.72427984],0
v1,1,0.439939,0.596441,[27 36] ; [83 88],[29.61538462 33.38461538] ; [80.38461538 90.61538462],0
d3,1,0.526192,0.40174,[39 25] ; [117  62],[41.08641975 22.91358025] ; [114.91358025  64.08641975],0
b5,1,0.526192,0.40174,[39 25] ; [117  62],[41.08641975 22.91358025] ; [114.91358025  64.08641975],0
a6,1,0.54973,0.357801,[41 23] ; [122  57],[42.93004115 21.06995885] ; [120.06995885  58.93004115],0
r1,1,0.549809,0.35766,[44 19] ; [132  47],[45.81818182 17.18181818] ; [130.18181818  48.81818182],0
s3,1,0.585149,0.297984,[32 32] ; [95 81],[33.86666667 30.13333333] ; [93.13333333 82.86666667],0
a1,1,0.586047,0.29656,[ 1 63] ; [  5 174],[ 1.58024691 62.41975309] ; [  4.41975309 174.58024691],0
s2,1,0.615227,0.252633,[29 34] ; [88 89],[30.7125 32.2875] ; [86.2875 90.7125],0
v4,1,0.622653,0.242156,[58  5] ; [168  11],[58.83471074  4.16528926] ; [167.16528926  11.83471074],0
d4,1,0.673713,0.177289,[52 12] ; [141  38],[50.83127572 13.16872428] ; [142.16872428  36.83127572],0
p5,1,0.686347,0.163069,[ 4 59] ; [ 14 163],[ 4.725 58.275] ; [ 13.275 163.725],0
s1,1,0.758593,0.094451,[ 2 62] ; [  7 169],[ 2.4 61.6] ; [  6.6 169.4],0
n1,1,0.780106,0.077942,[ 9 11] ; [19 27],[ 8.48484848 11.51515152] ; [19.51515152 26.48484848],0
r2,1,0.78519,0.07429,[60  4] ; [166  13],[59.52263374  4.47736626] ; [166.47736626  12.52263374],0
