Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,92.07912,[197  94] ; [ 31 124],[148.76233184 142.23766816] ; [79.23766816 75.76233184],1
p6,1,0.0,51.955634,[148 141] ; [ 24 127],[112.97272727 176.02727273] ; [59.02727273 91.97272727],1
p2,1,0.0,26.558171,[267  23] ; [115  40],[248.94382022  41.05617978] ; [133.05617978  21.94382022],1
p8,1,0.0,25.437369,[181 108] ; [56 94],[156.02050114 132.97949886] ; [80.97949886 69.02050114],1
p7,1,3.4e-05,17.181231,[210  77] ; [76 67],[190.88837209  96.11162791] ; [95.11162791 47.88837209],1
a5,1,0.000132,14.60949,[237  54] ; [101  54],[220.53363229  70.46636771] ; [117.46636771  37.53363229],1
p5,1,0.000134,14.58011,[ 50 239] ; [  7 147],[ 37.18510158 251.81489842] ; [ 19.81489842 134.18510158],1
d1,1,0.000151,14.36063,[203  88] ; [80 75],[184.64798206 106.35201794] ; [98.35201794 56.64798206],1
n4,1,0.0003,13.069025,[237  53] ; [103  52],[221.57303371  68.42696629] ; [118.42696629  36.57303371],1
n5,1,0.000396,12.553167,[235  54] ; [102  52],[219.84875847  69.15124153] ; [117.15124153  36.84875847],1
r4,1,0.0014,10.206184,[280  11] ; [137  18],[272.07847534  18.92152466] ; [144.92152466  10.07847534],0
p10,1,0.002085,9.473497,[254  34] ; [117  35],[242.83636364  45.16363636] ; [128.16363636  23.83636364],0
p11,1,0.002179,9.392008,[238  53] ; [107  48],[225.10089686  65.89910314] ; [119.89910314  35.10089686],0
d2,1,0.00227,9.317519,[159 131] ; [61 93],[143.69369369 146.30630631] ; [76.30630631 77.69369369],0
d3,1,0.005797,7.612351,[239  52] ; [109  45],[227.56853933  63.43146067] ; [120.43146067  33.56853933],0
u1,1,0.006254,7.475536,[ 85 206] ; [ 27 128],[ 73.07623318 217.92376682] ; [ 38.92376682 116.07623318],0
v1,1,0.011944,6.319208,[174 110] ; [72 76],[161.72222222 122.27777778] ; [84.27777778 63.72222222],0
d5,1,0.014056,6.031077,[256  35] ; [122  32],[247.18651685  43.81348315] ; [130.81348315  23.18651685],0
n6,1,0.027859,4.836762,[258  31] ; [126  28],[250.51015801  38.48984199] ; [133.48984199  20.51015801],0
a8,1,0.03412,4.488663,[ 32 230] ; [ 28 111],[ 39.20199501 222.79800499] ; [ 20.79800499 118.20199501],0
r3,1,0.037693,4.318802,[285   5] ; [145   8],[281.48984199   8.51015801] ; [148.51015801   4.48984199],0
a4,1,0.037704,4.318322,[141 149] ; [59 95],[130.63063063 159.36936937] ; [69.36936937 84.63063063],0
d4,1,0.045907,3.985011,[258  33] ; [126  28],[251.11011236  39.88988764] ; [132.88988764  21.11011236],0
p12,1,0.052694,3.753592,[ 36 255] ; [ 10 144],[ 30.08089888 260.91910112] ; [ 15.91910112 138.08089888],0
s8,1,0.053347,3.733009,[162 127] ; [72 83],[152.31081081 136.68918919] ; [81.68918919 73.31081081],0
r1,1,0.061742,3.489957,[252  37] ; [124  30],[245.29119639  43.70880361] ; [130.70880361  23.29119639],0
p1,1,0.063435,3.445229,[ 30 259] ; [  8 146],[ 24.79006772 264.20993228] ; [ 13.20993228 140.79006772],0
p9,1,0.068846,3.310315,[260  29] ; [126  24],[254.10933941  34.89066059] ; [131.89066059  18.10933941],0
s7,1,0.071459,3.249186,[169 104] ; [81 72],[160.21126761 112.78873239] ; [89.78873239 63.21126761],0
a1,1,0.072574,3.223813,[ 19 272] ; [  4 151],[ 15.00672646 275.99327354] ; [  7.99327354 147.00672646],0
a2,1,0.074247,3.186546,[ 97 194] ; [ 39 116],[ 88.73542601 202.26457399] ; [ 47.26457399 107.73542601],0
s5,1,0.092274,2.834242,[126 159] ; [53 95],[117.81755196 167.18244804] ; [61.18244804 86.81755196],0
s2,1,0.117834,2.445879,[196  93] ; [93 61],[188.53498871 100.46501129] ; [100.46501129  53.53498871],0
a3,1,0.139933,2.178694,[217  74] ; [104  49],[210.38513514  80.61486486] ; [110.61486486  42.38513514],0
n2,1,0.237449,1.395673,[37 14] ; [38  8],[39.43298969 11.56701031] ; [35.56701031 10.43298969],0
a6,1,0.249453,1.326367,[229  62] ; [113  40],[224.14864865  66.85135135] ; [117.85135135  35.14864865],0
s3,1,0.349004,0.877077,[196  90] ; [110  41],[200.26544622  85.73455378] ; [105.73455378  45.26544622],0
v4,1,0.367844,0.810934,[284   7] ; [147   6],[282.47972973   8.52027027] ; [148.52027027   4.47972973],0
v2,1,0.432723,0.615503,[176 108] ; [83 60],[172.26229508 111.73770492] ; [86.73770492 56.26229508],0
u2,1,0.450823,0.568583,[49 24] ; [29 19],[47.05785124 25.94214876] ; [30.94214876 17.05785124],0
b5,1,0.468209,0.526199,[191 100] ; [107  48],[194.43497758  96.56502242] ; [103.56502242  51.43497758],0
b4,1,0.510101,0.433859,[182 109] ; [92 63],[178.77578475 112.22421525] ; [95.22421525 59.77578475],0
r2,1,0.543551,0.368997,[279  10] ; [144   7],[277.83409091  11.16590909] ; [145.16590909   5.83409091],0
n1,1,0.552746,0.352421,[17 34] ; [18 28],[18.40206186 32.59793814] ; [16.59793814 29.40206186],0
s4,1,0.55707,0.344802,[ 61 225] ; [ 29 124],[ 58.6332574 227.3667426] ; [ 31.3667426 121.6332574],0
v3,1,0.569622,0.323316,[112 167] ; [56 94],[109.25874126 169.74125874] ; [58.74125874 91.25874126],0
u3,1,0.658599,0.19523,[50 21] ; [34 17],[48.8852459 22.1147541] ; [35.1147541 15.8852459],0
u4,1,0.759481,0.093735,[  9 282] ; [  4 151],[  8.48206278 282.51793722] ; [  4.51793722 150.48206278],0
b1,1,0.920063,0.010071,[ 99 192] ; [ 52 103],[ 98.52242152 192.47757848] ; [ 52.47757848 102.52242152],0
n3,1,0.946503,0.004502,[38 13] ; [34 12],[37.8556701 13.1443299] ; [34.1443299 11.8556701],0
s1,1,0.947213,0.004383,[ 11 277] ; [  6 146],[ 11.12727273 276.87272727] ; [  5.87272727 146.12727273],0
b2,1,0.980436,0.000601,[ 61 119] ; [28 55],[ 60.91254753 119.08745247] ; [28.08745247 54.91254753],0
b3,1,0.980436,0.000601,[ 61 119] ; [28 55],[ 60.91254753 119.08745247] ; [28.08745247 54.91254753],0
